Timestamp;GazePoint
636215521499,112;
1167610458,05223;1021.44:537.192
1167610458,08876;1005.024:533.952
1167610458,12126;995.712:536.49
1167610458,1596;998.304:524.07
1167610458,19274;991.776:513.054
1167610458,23008;1015.2:529.686
1167610458,26278;1003.392:511.92
1167610458,30108;638.4:548.532
1167610458,33418;562.56:574.614
1167610458,37184;526.08:579.312
1167610458,40487;564.864:577.206
1167610458,44213;545.472:590.112
1167610458,47541;635.808:578.772
1167610458,51382;669.216:576.882
1167610458,55039;635.328:561.6
1167610458,58768;660.48:562.734
1167610458,61937;647.232:576.882
1167610458,65198;644.256:581.202
1167610458,68429;604.32:462.726
1167610458,71659;600.48:466.02
1167610458,74922;622.656:471.42
1167610458,78134;590.592:463.914
1167610458,81292;607.68:461.484
1167610458,84439;603.936:477.522
1167610458,8761;597.696:450.9
1167610458,9078;600.864:441.774
1167610458,93948;601.92:441.828
1167610458,97115;610.56:443.988
1167610459,00253;590.208:432.162
1167610459,03528;524.448:247.05
1167610459,06809;540.576:100.818
1167610459,09972;525.408:70.686
1167610459,13206;538.56:72.252
1167610459,16416;536.64:72.252
1167610459,19652;503.52:65.61
1167610459,22886;455.616:88.236
1167610459,2611;459.744:85.482
1167610459,29393;460.32:95.526
1167610459,32663;471.168:90.558
1167610459,35878;472.896:102.222
1167610459,39036;452.352:96.282
1167610459,42296;451.872:93.852
1167610459,45562;461.184:67.554
1167610459,48784;464.256:100.548
1167610459,52063;451.296:93.474
1167610459,55686;466.176:73.224
1167610459,58985;373.44:300.996
1167610459,62285;353.952:320.382
1167610459,656;313.92:318.438
1167610459,69172;316.224:310.5
1167610459,72458;317.664:304.02
1167610459,75747;310.08:323.622
1167610459,78925;256.224:460.674
1167610459,82015;252.576:444.474
1167610459,85266;262.944:445.068
1167610459,88853;245.856:455.652
1167610459,92115;249.696:467.208
1167610459,95785;240.48:439.398
1167610459,99116;257.76:710.046
1167610460,03025;268.896:709.992
1167610460,06514;264.768:724.68
1167610460,10388;258.432:702.108
1167610460,13685;259.584:698.976
1167610460,1753;221.568:715.068
1167610460,20871;221.088:696.654
1167610460,24621;233.088:723.06
1167610460,27897;235.584:711.342
1167610460,31622;373.728:645.192
1167610460,34894;407.04:610.47
1167610460,38714;401.088:615.222
1167610460,42011;394.752:588.222
1167610460,45822;399.36:604.8
1167610460,48991;403.968:617.652
1167610460,52242;410.4:621.432
1167610460,55484;413.28:603.18
1167610460,58753;415.584:610.848
1167610460,61915;404.832:610.254
1167610460,65136;399.168:617.22
1167610460,68374;410.016:601.56
1167610460,71562;416.928:609.066
1167610460,74712;583.392:533.736
1167610460,77956;589.056:514.134
1167610460,81119;572.64:519.48
1167610460,84392;559.872:509.652
1167610460,87625;603.84:526.878
1167610460,90792;656.448:602.802
1167610460,93999;650.496:594.054
1167610460,97334;659.232:603.288
1167610461,00581;655.872:601.398
1167610461,03966;642.336:616.14
1167610461,07364;653.28:581.418
1167610461,10818;657.888:575.37
1167610461,1408;631.872:585.792
1167610461,17525;679.68:622.242
1167610461,21085;697.92:496.692
1167610461,25537;668.352:551.988
1167610461,30512;708.864:593.784
1167610461,35127;750.432:532.548
1167610461,39935;664.704:543.996
1167610461,44731;612.0:427.302
1167610461,49398;578.976:319.194
1167610461,54484;607.392:332.694
1167610461,59144;612.576:370.278
1167610461,63951;595.2:349.812
1167610461,68412;704.256:300.996
1167610461,72882;586.848:396.522
1167610461,77807;635.328:348.516
1167610461,83197;566.208:446.04
1167610461,88562;607.104:464.67
1167610461,92664;606.432:538.596
1167610461,97779;629.472:434.16
1167610462,02126;594.72:444.204
1167610462,07083;625.632:381.51
1167610462,11581;623.136:280.692
1167610462,16722;571.488:490.374
1167610462,21283;552.096:448.74
1167610462,24881;569.856:446.148
1167610462,28024;546.432:444.258
1167610462,318;556.512:429.786
1167610462,34969;476.544:150.498
1167610462,3867;475.68:148.122
