Timestamp;GazePoint
636215521159,743;
1167610424,12608;950.976:549.288
1167610424,15928;944.736:565.434
1167610424,19181;942.336:551.502
1167610424,22768;945.984:550.044
1167610424,26033;956.16:541.944
1167610424,2954;940.992:546.264
1167610424,32792;933.312:546.534
1167610424,36599;948.096:552.852
1167610424,39885;940.128:556.038
1167610424,43607;927.36:556.47
1167610424,46827;727.296:698.652
1167610424,50697;
1167610424,53968;
1167610424,56831;
1167610424,59573;
1167610424,6241;
1167610424,64959;
1167610424,6794;726.048:407.592
1167610424,70493;697.536:433.404
1167610424,7388;704.544:419.634
1167610424,76981;707.616:425.844
1167610424,80159;692.352:432.54
1167610424,83339;702.624:428.112
1167610424,86506;711.552:415.8
1167610424,89655;702.24:433.296
1167610424,92811;695.712:433.998
1167610424,96057;703.2:410.562
1167610424,99324;698.688:421.254
1167610425,02534;700.608:405.432
1167610425,05765;701.568:430.704
1167610425,09022;708.384:343.548
1167610425,12262;718.368:314.442
1167610425,15496;709.728:348.192
1167610425,18696;718.464:337.554
1167610425,21998;720.384:336.96
1167610425,25242;719.808:349.866
1167610425,28477;720.864:344.25
1167610425,31655;662.976:324.594
1167610425,34868;343.296:284.364
1167610425,38098;329.568:262.17
1167610425,41406;329.28:270.27
1167610425,44705;
1167610425,47991;393.12:231.228
1167610425,51238;375.072:231.876
1167610425,54611;387.744:245.484
1167610425,58037;392.544:246.996
1167610425,61425;384.672:252.288
1167610425,64813;394.464:244.674
1167610425,68208;90.336:255.15
1167610425,71597;115.104:269.784
1167610425,75007;109.92:244.782
1167610425,78491;101.76:258.984
1167610425,82196;98.304:277.938
1167610425,85506;105.984:264.978
1167610425,88851;69.792:278.262
1167610425,92188;94.56:257.796
1167610425,95758;88.608:289.602
1167610425,99222;86.112:268.704
1167610426,03306;78.528:283.23
1167610426,06829;90.24:307.638
1167610426,10837;84.48:269.082
1167610426,14382;106.176:276.912
1167610426,18812;633.792:339.12
1167610426,22374;641.28:333.396
1167610426,2661;638.688:331.722
1167610426,3003;626.016:327.564
1167610426,34217;709.152:307.53
1167610426,37662;715.584:305.262
1167610426,41796;
1167610426,45365;693.12:295.11
1167610426,48996;699.36:293.112
1167610426,52675;704.256:297.594
1167610426,56824;710.592:295.164
1167610426,60473;708.096:281.772
1167610426,6452;697.344:275.886
1167610426,68153;691.104:274.482
1167610426,7192;709.824:268.488
1167610426,75676;701.568:259.254
1167610426,79441;707.52:283.5
1167610426,83196;698.592:304.668
1167610426,86963;705.12:280.962
1167610426,90455;696.384:270.864
1167610426,94239;703.776:294.948
1167610426,9804;710.496:291.6
1167610427,01862;696.48:273.51
1167610427,0531;697.632:307.638
1167610427,08967;696.288:298.134
1167610427,1261;459.36:302.616
1167610427,16259;246.912:206.874
1167610427,19957;211.296:406.35
1167610427,23656;234.144:342.252
1167610427,27415;215.136:315.252
1167610427,31136;216.0:300.888
1167610427,34813;208.128:304.344
1167610427,38499;207.84:310.932
1167610427,42142;212.16:324.54
1167610427,45789;204.192:299.592
1167610427,49206;205.632:304.02
1167610427,5284;190.368:306.018
1167610427,56506;196.128:302.94
1167610427,60143;191.136:283.878
1167610427,63581;212.64:287.01
1167610427,67214;214.656:299.7
1167610427,70861;
1167610427,74895;214.176:311.526
1167610427,7746;231.264:332.1
1167610427,81113;192.864:309.312
1167610427,8477;211.296:331.83
1167610427,8842;225.312:335.502
1167610427,9241;202.656:349.38
1167610427,96141;197.856:337.446
1167610428,00348;202.944:338.958
1167610428,04193;228.576:308.718
1167610428,086;216.288:328.158
1167610428,12366;222.336:337.014
1167610428,16615;227.808:347.382
1167610428,20217;234.24:342.522
1167610428,24476;214.752:369.198
1167610428,28176;297.792:596.808
1167610428,32611;324.288:596.322
1167610428,36481;302.112:599.886
1167610428,40521;308.256:590.922
1167610428,43962;389.184:474.12
1167610428,47886;386.304:489.564
1167610428,51415;377.568:493.776
1167610428,55528;386.496:496.962
1167610428,59206;413.76:461.484
1167610428,62629;390.24:454.572
1167610428,66238;385.248:462.294
1167610428,69769;385.632:468.018
1167610428,73435;390.72:452.952
1167610428,76888;387.552:461.754
1167610428,804;417.408:461.646
1167610428,84411;416.832:459.648
1167610428,89391;396.384:446.256
1167610428,9819;402.816:441.774
1167610429,08056;389.28:445.176
1167610429,21068;
1167610429,28536;470.112:500.526
1167610429,34026;473.184:504.684
1167610429,37419;480.96:509.166
1167610429,41051;472.128:504.198
1167610429,4467;472.608:497.826
1167610429,48271;524.256:526.446
1167610429,51914;516.096:524.124
1167610429,55574;524.256:521.91
1167610429,59212;519.456:534.654
1167610429,63049;835.2:509.922
1167610429,66484;1234.176:459.594
1167610429,70158;1252.032:479.898
1167610429,73692;1245.792:478.656
1167610429,7732;1252.128:470.286
1167610429,80922;1158.048:430.704
1167610429,84909;1543.2:449.226
1167610429,8873;1644.384:458.082
1167610429,92588;1632.96:448.038
1167610429,96282;1615.104:452.628
1167610430,00458;1621.248:435.24
1167610430,03997;1689.024:455.166
1167610430,08021;1657.632:469.8
1167610430,11585;1703.616:447.66
1167610430,15594;1705.632:465.804
1167610430,19185;1713.024:461.268
1167610430,23255;1688.832:472.932
1167610430,26753;1709.76:471.258
1167610430,30741;1708.128:462.24
1167610430,34273;1700.544:470.934
1167610430,38279;1696.032:472.014
1167610430,41871;1698.816:465.318
1167610430,45808;1690.368:458.298
1167610430,49333;1704.96:456.084
1167610430,52939;1687.584:467.91
1167610430,56562;1677.024:478.44
1167610430,60313;1679.52:469.746
1167610430,64068;1680.96:461.214
1167610430,67797;1684.8:478.494
1167610430,71319;1694.496:474.768
1167610430,75078;1682.4:483.462
1167610430,78666;1704.96:470.34
1167610430,82417;1687.968:471.582
1167610430,86184;1689.504:488.43
1167610430,89776;1693.824:476.766
1167610430,93409;1697.664:462.024
1167610430,97006;1680.288:471.528
1167610431,00632;1693.632:476.712
1167610431,04247;1677.408:471.744
1167610431,07861;1694.688:466.884
1167610431,11434;1478.592:508.788
1167610431,15;1242.528:543.24
1167610431,18545;1216.896:551.61
1167610431,22293;1219.488:558.846
1167610431,26058;1201.728:557.172
1167610431,29835;1194.624:591.408
1167610431,3363;1181.184:564.516
1167610431,37422;1179.264:581.958
1167610431,41035;1194.816:589.734
1167610431,44824;1191.744:582.282
1167610431,48399;1178.112:592.434
1167610431,51971;932.64:618.084
1167610431,55879;908.544:606.474
1167610431,59524;900.576:594.216
1167610431,63089;906.624:606.258
1167610431,66541;909.6:598.266
1167610431,69983;912.576:610.416
1167610431,73861;967.008:607.446
1167610431,77193;945.6:599.67
1167610431,81073;977.856:604.152
1167610431,84594;964.992:610.146
1167610431,88513;955.008:615.33
1167610431,91833;946.56:606.744
1167610431,9559;948.576:591.462
1167610431,99216;948.384:586.98
1167610432,03209;947.424:607.716
1167610432,06647;957.504:597.672
1167610432,10499;949.248:604.638
1167610432,13816;944.064:604.368
1167610432,17558;876.48:625.698
1167610432,20882;782.4:811.404
1167610432,24713;730.176:800.928
1167610432,28113;764.352:806.814
1167610432,31829;750.144:797.904
1167610432,35071;776.832:801.144
1167610432,38364;742.08:799.47
1167610432,41706;741.984:797.256
1167610432,45052;640.8:787.806
1167610432,48381;633.024:798.228
1167610432,51713;630.72:792.936
1167610432,5505;621.6:788.346
1167610432,58406;611.904:777.06
1167610432,61733;500.352:881.118
1167610432,64978;490.464:914.112
1167610432,68393;493.536:908.712
1167610432,71809;473.184:883.278
1167610432,7521;485.088:881.658
1167610432,78573;502.752:891.972
1167610432,82082;676.416:758.646
1167610432,85665;607.776:751.41
1167610432,89244;597.888:759.942
1167610432,92688;612.192:765.666
1167610432,96327;577.056:760.644
1167610432,99981;599.52:756.756
1167610433,03608;415.296:818.586
1167610433,07233;421.824:823.986
1167610433,10613;422.688:825.282
1167610433,13987;442.944:831.654
1167610433,1738;434.496:816.696
1167610433,20813;439.296:818.1
1167610433,24184;617.472:767.988
1167610433,27516;618.624:777.492
1167610433,30918;615.072:772.416
1167610433,34408;620.832:776.682
1167610433,37845;623.904:781.272
1167610433,41615;617.856:774.792
1167610433,44999;614.496:778.14
1167610433,48443;622.944:735.048
1167610433,51836;619.392:736.938
1167610433,55238;626.88:754.596
1167610433,58588;609.888:747.306
1167610433,62255;618.912:747.576
1167610433,65612;617.568:743.85
1167610433,69279;332.64:885.6
1167610433,72583;316.32:912.222
1167610433,76441;352.128:918.162
1167610433,79692;337.824:921.078
1167610433,83399;323.904:913.41
1167610433,86678;348.192:926.586
1167610433,90497;321.888:908.982
1167610433,93827;317.76:923.184
1167610433,97524;345.408:936.63
1167610434,00763;290.976:935.064
1167610434,04485;259.68:921.942
1167610434,07874;280.224:926.64
1167610434,11722;279.456:950.616
1167610434,15036;285.312:928.908
1167610434,18721;276.48:910.602
1167610434,21893;374.88:932.364
1167610434,25338;376.512:970.38
1167610434,28964;365.184:962.28
1167610434,33317;343.584:953.154
1167610434,36767;349.536:977.778
1167610434,40194;366.528:957.366
