Timestamp;GazePoint
636215521834,761;
1167610491,61013;597.6:1135.404
1167610491,64583;584.736:1140.966
1167610491,67919;944.256:1129.356
1167610491,71509;1002.048:1113.372
1167610491,75014;997.44:1116.504
1167610491,78313;986.496:1104.948
1167610491,81698;990.432:1108.458
1167610491,85076;985.344:1124.874
1167610491,88473;976.608:547.56
1167610491,91994;935.424:484.542
1167610491,95318;938.976:476.928
1167610491,98668;937.056:480.816
1167610492,02022;943.008:475.038
1167610492,05363;506.208:446.742
1167610492,08721;440.064:423.198
1167610492,12473;489.408:434.646
1167610492,15783;
1167610492,19458;484.608:433.944
1167610492,21963;467.52:437.292
1167610492,25085;530.016:453.762
1167610492,28318;595.776:398.412
1167610492,31915;592.704:396.792
1167610492,35116;604.992:409.05
1167610492,38355;612.96:407.16
1167610492,41914;602.304:395.55
1167610492,45142;588.192:398.79
1167610492,48757;596.352:408.078
1167610492,51996;602.304:393.336
1167610492,55792;590.688:407.592
1167610492,59028;605.856:388.962
1167610492,62831;612.0:406.35
1167610492,65992;570.432:385.938
1167610492,69875;597.12:422.172
1167610492,73131;601.152:392.04
1167610492,7687;475.872:454.14
1167610492,80167;476.352:435.456
1167610492,83878;476.064:458.406
1167610492,872;495.456:457.92
1167610492,91391;501.12:451.224
1167610492,94667;468.384:447.174
1167610492,98444;482.304:457.542
1167610493,01698;494.304:439.29
1167610493,04992;470.592:434.214
1167610493,08329;466.368:364.77
1167610493,11662;451.008:346.032
1167610493,14999;475.2:350.082
1167610493,18431;468.0:348.786
1167610493,218;472.608:345.978
1167610493,25183;461.28:341.604
1167610493,28593;473.952:345.276
1167610493,32039;439.296:364.986
1167610493,35538;415.872:344.034
1167610493,38967;436.896:356.454
1167610493,42383;523.104:386.154
1167610493,45886;425.376:359.478
1167610493,49219;433.248:355.644
1167610493,52622;415.392:367.632
1167610493,55978;400.32:344.034
1167610493,59389;423.744:353.43
1167610493,628;506.496:385.236
1167610493,66212;511.584:358.452
1167610493,70023;530.88:365.472
1167610493,73865;499.968:362.34
1167610493,77306;507.744:376.92
1167610493,81313;499.68:344.358
1167610493,85278;506.88:371.304
1167610493,88697;503.808:375.516
1167610493,92695;504.096:383.562
1167610493,96715;498.144:366.768
1167610494,00809;495.264:354.024
1167610494,04911;395.616:361.746
1167610494,09314;418.08:369.9
1167610494,12743;401.184:372.654
1167610494,16373;398.4:363.798
1167610494,20153;396.576:373.302
1167610494,23716;404.448:351.648
1167610494,27556;408.096:338.796
1167610494,31095;391.008:371.682
1167610494,35164;387.264:386.154
1167610494,39032;381.888:375.246
1167610494,43079;397.152:387.612
1167610494,46732;385.632:357.804
1167610494,50809;368.352:383.67
1167610494,54258;244.992:336.528
1167610494,58713;223.2:359.316
1167610494,62225;216.096:338.742
1167610494,6671;211.392:342.144
1167610494,70389;231.744:346.572
1167610494,74738;229.632:349.326
1167610494,78483;223.296:350.73
1167610494,82684;271.968:355.05
1167610494,86223;430.368:290.412
1167610494,90597;428.352:289.494
1167610494,94029;434.304:277.776
1167610494,97585;443.808:286.146
1167610495,01113;438.624:297.054
1167610495,04584;442.272:287.658
1167610495,07991;447.072:287.064
1167610495,11339;441.408:261.144
1167610495,14645;584.736:279.504
1167610495,17839;
1167610495,21017;
1167610495,23528;
1167610495,26038;
1167610495,28545;606.528:557.442
1167610495,32199;595.104:227.178
1167610495,35684;
1167610495,39166;610.176:117.774
1167610495,41661;626.016:116.316
1167610495,4517;620.928:104.922
1167610495,48619;607.008:108.864
1167610495,51965;586.176:85.428
1167610495,55478;583.776:95.472
1167610495,58821;590.688:106.056
1167610495,62143;597.312:110.808
1167610495,65485;593.568:92.124
1167610495,69081;586.464:94.392
1167610495,72428;588.576:94.878
1167610495,75811;596.736:100.71
1167610495,7918;572.352:100.008
1167610495,82532;564.096:80.622
1167610495,86018;572.256:64.098
1167610495,89369;574.272:79.218
1167610495,92716;573.408:83.592
1167610495,9603;571.584:66.852
1167610495,99798;568.704:86.13
1167610496,03207;
1167610496,06492;589.344:92.934
1167610496,10228;568.896:78.57
1167610496,1372;575.232:86.346
1167610496,17008;576.48:69.39
1167610496,20601;582.144:83.97
1167610496,23886;687.648:104.274
1167610496,27713;728.928:126.846
1167610496,31015;712.704:141.642
1167610496,34855;722.4:123.66
1167610496,38356;716.256:136.08
1167610496,42008;720.96:133.11
1167610496,4534;727.68:129.276
1167610496,49224;725.184:135.972
1167610496,52611;726.432:155.25
1167610496,564;742.944:117.288
1167610496,59784;721.92:142.074
1167610496,63553;
1167610496,6701;724.8:131.436
1167610496,70051;795.456:98.874
1167610496,73527;891.744:61.668
1167610496,77285;900.288:78.624
1167610496,80685;890.88:41.688
1167610496,84263;890.88:80.676
1167610496,87772;890.976:74.898
1167610496,91554;358.944:451.872
1167610496,94966;349.248:425.196
1167610496,98344;359.712:449.712
1167610497,01866;358.656:431.514
1167610497,05209;352.992:441.072
1167610497,08722;364.032:452.034
1167610497,12276;367.392:450.684
1167610497,15708;351.84:435.996
1167610497,1912;369.504:444.906
1167610497,22515;353.664:449.172
1167610497,25913;365.952:472.608
1167610497,29276;348.192:425.088
1167610497,32711;349.152:444.69
1167610497,36076;338.112:459.054
1167610497,39431;343.488:431.514
1167610497,42776;463.104:441.558
1167610497,46119;469.632:463.104
1167610497,49415;461.856:458.298
1167610497,52716;479.136:441.126
1167610497,56051;473.568:445.824
1167610497,59361;464.448:443.124
1167610497,62667;705.792:721.332
1167610497,65977;725.376:813.834
1167610497,69282;726.24:813.294
1167610497,72524;721.344:825.228
1167610497,75786;734.784:803.79
1167610497,79023;731.904:823.014
1167610497,82279;734.976:815.292
1167610497,85932;675.456:848.664
1167610497,89165;618.528:889.38
1167610497,92417;608.16:885.168
1167610497,95698;581.664:875.448
1167610497,98943;598.848:889.326
1167610498,02188;292.992:864.81
1167610498,05733;308.928:846.99
1167610498,08946;305.568:885.816
1167610498,12566;297.12:891.0
1167610498,15826;301.92:882.036
1167610498,19628;259.968:865.404
1167610498,22971;276.384:877.068
1167610498,26723;273.6:879.228
1167610498,30053;262.56:873.558
1167610498,33931;256.8:863.406
1167610498,37342;262.56:857.844
1167610498,4102;264.288:837.648
1167610498,44306;254.112:854.712
1167610498,48151;298.656:869.292
1167610498,51414;273.024:862.758
1167610498,55208;687.648:775.602
1167610498,58712;737.28:766.314
1167610498,62582;722.304:735.912
1167610498,65811;708.0:761.238
1167610498,69364;727.488:776.844
1167610498,72708;739.488:769.23
1167610498,76135;732.576:765.072
1167610498,79461;721.44:781.866
1167610498,82801;739.008:773.28
1167610498,86195;740.064:775.278
1167610498,89466;663.936:793.53
1167610498,92761;260.256:835.326
1167610498,96043;259.68:858.6
1167610498,99221;251.04:837.972
1167610499,02381;267.36:850.554
1167610499,05484;281.568:860.652
1167610499,08625;260.256:852.12
1167610499,1179;407.808:836.136
1167610499,15031;690.336:764.694
1167610499,18234;711.264:743.472
1167610499,21595;694.656:742.176
1167610499,24929;719.424:756.972
1167610499,28192;709.536:754.002
1167610499,31561;715.488:761.832
1167610499,34838;722.208:774.522
1167610499,38129;732.672:760.914
1167610499,41459;916.416:779.76
1167610499,44778;1482.912:798.444
1167610499,48112;1467.936:804.168
1167610499,51378;1470.144:794.61
1167610499,54722;1476.864:802.116
1167610499,58088;1469.472:800.334
1167610499,61361;1574.592:848.61
1167610499,64622;1606.272:834.84
1167610499,67892;1589.376:836.946
1167610499,7148;1593.984:852.336
1167610499,7471;1590.816:840.024
1167610499,77976;1849.344:661.662
1167610499,8132;1864.032:655.992
1167610499,8468;1898.688:647.622
1167610499,88011;1885.344:650.808
1167610499,91875;1887.456:657.666
1167610499,95248;1853.76:659.232
1167610499,99072;1868.544:661.5
