Timestamp;Action;ActionArgs;LeftEye;RightEye
380,78084;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610380,82347;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610380,86722;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610380,90521;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610380,94891;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610380,99047;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,0303;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,07007;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,10988;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,14928;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,18906;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,22899;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,2683;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,30824;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,34818;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,38744;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,42737;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,47296;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,51854;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,56405;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,60977;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,64973;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,6952;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610381,73637;EyeTracking;BothEyesTracked;[0,1754,0,2687];[0,1194,0,1143]
1167610381,77516;EyeTracking;BothEyesTracked;[0,1922,0,3118];[0,1141,0,2500]
1167610381,82976;EyeTracking;BothEyesTracked;[0,1517,0,3297];[0,1912,0,1431]
1167610381,87711;EyeTracking;BothEyesTracked;[0,1715,0,3841];[0,1566,0,2163]
1167610381,92518;EyeTracking;BothEyesTracked;[0,1371,0,3212];[0,1423,0,2179]
1167610381,97575;EyeTracking;BothEyesTracked;[0,1896,0,3990];[0,1182,0,2414]
1167610382,026;EyeTracking;BothEyesTracked;[0,1659,0,3593];[0,1512,0,1303]
