Timestamp;GazePoint
636172482513,873;
1167610389,67095;954.24:1221.21
1167610389,71059;958.464:1229.634
1167610389,7543;951.168:1229.904
1167610389,79437;949.152:1225.908
1167610389,8388;958.944:1219.752
1167610389,88709;942.72:1220.562
1167610389,93171;783.648:416.88
1167610389,97413;781.248:423.63
1167610390,01721;772.992:410.67
1167610390,05909;782.304:428.868
1167610390,10318;778.752:422.604
1167610390,14768;1405.632:483.894
1167610390,1919;1437.216:474.552
1167610390,23947;1437.504:493.56
1167610390,28613;1438.368:483.354
1167610390,33154;1432.416:496.53
1167610390,37491;1420.992:493.776
1167610390,42709;1430.016:477.198
1167610390,47028;1433.856:482.004
1167610390,5248;1419.168:503.874
1167610390,58284;1498.656:307.26
1167610390,62592;1493.664:323.406
1167610390,66808;1500.48:316.386
1167610390,71031;1494.912:341.28
1167610390,75339;1504.224:344.844
1167610390,79584;1517.568:359.478
1167610390,83912;1511.52:372.276
1167610390,88232;1516.416:372.816
1167610390,92492;1517.472:373.464
1167610390,96711;1510.656:370.008
1167610391,00962;1512.96:379.134
1167610391,05136;1516.32:374.058
1167610391,10034;1518.048:376.758
1167610391,13975;1520.16:382.374
1167610391,18375;
1167610391,23013;1433.952:407.808
1167610391,27746;1441.824:413.694
1167610391,32557;1452.768:405.972
1167610391,37132;1451.232:406.188
1167610391,41384;
1167610391,45667;1436.64:407.106
1167610391,49511;1444.32:609.822
1167610391,54672;1380.768:703.998
1167610391,59151;1374.72:707.454
1167610391,63799;1382.016:714.258
1167610391,68322;1380.48:724.626
1167610391,72893;1386.336:720.09
1167610391,77463;1362.432:808.002
1167610391,82844;1337.568:860.382
1167610391,87866;1328.832:872.37
1167610391,9242;1336.032:853.578
1167610391,96867;1334.88:855.522
1167610392,01444;1341.6:845.316
1167610392,05983;1335.264:872.262
1167610392,10517;1329.024:856.656
1167610392,14943;1324.416:860.382
1167610392,19924;1336.608:852.93
1167610392,24236;1038.336:520.614
1167610392,28515;676.224:242.352
1167610392,32711;639.84:231.552
1167610392,3773;638.496:234.468
1167610392,4195;652.416:238.896
1167610392,47107;648.096:226.962
1167610392,51461;
1167610392,57042;655.392:230.202
1167610392,60186;593.472:211.788
1167610392,65084;502.656:189.054
1167610392,70011;529.344:187.056
1167610392,74016;488.16:219.78
1167610392,78124;
1167610392,83063;
1167610392,87081;
1167610392,90619;
1167610392,94215;
1167610392,98509;
1167610393,02895;
1167610393,07259;
1167610393,10694;
1167610393,15089;
1167610393,19411;
1167610393,23079;
1167610393,27284;
1167610393,31117;
1167610393,35223;
1167610393,39198;
1167610393,43154;1507.68:362.34
1167610393,47113;
1167610393,50994;1513.344:362.502
1167610393,53933;1513.248:350.298
1167610393,58315;
1167610393,63074;1523.328:356.724
1167610393,66318;1530.528:351.324
1167610393,71023;1523.136:358.074
1167610393,76158;1532.256:355.806
1167610393,81123;1531.008:352.728
1167610393,86209;1531.584:346.842
1167610393,90683;1521.12:352.026
1167610393,95642;1519.008:356.508
