Timestamp;GazePoint
636172481815,053;
1167610319,77796;1374.912:1248.102
1167610319,81898;1373.376:1262.196
1167610319,85914;1245.6:1240.812
1167610319,90013;1369.44:1261.17
1167610319,94169;1365.888:1276.776
1167610319,98376;1372.704:1267.164
1167610320,02986;1367.232:1254.636
1167610320,07428;1006.848:568.89
1167610320,1214;972.0:445.284
1167610320,16082;975.36:466.236
1167610320,20814;967.968:455.112
1167610320,25614;977.472:457.326
1167610320,29647;578.592:525.636
1167610320,33728;566.688:524.448
1167610320,37718;580.8:539.676
1167610320,41696;589.248:539.298
1167610320,45809;587.616:541.512
1167610320,49916;584.544:548.37
1167610320,53882;582.624:539.46
1167610320,5794;586.944:546.048
1167610320,62014;591.36:548.91
1167610320,66018;591.072:538.002
1167610320,70065;601.536:548.046
1167610320,74239;598.272:539.082
1167610320,78375;594.72:460.404
1167610320,82688;591.072:451.332
1167610320,87142;
1167610320,93221;593.664:452.952
1167610320,9711;606.24:454.95
1167610321,00945;1447.296:403.92
1167610321,05035;1422.432:483.57
1167610321,1028;1437.696:497.556
1167610321,15866;1429.44:489.402
1167610321,21011;1440.0:495.99
1167610321,25527;1453.248:463.86
1167610321,29792;1439.52:445.446
1167610321,35083;1444.224:454.95
1167610321,40064;1441.728:470.286
1167610321,44518;1447.392:454.032
1167610321,49616;1437.504:453.87
1167610321,5412;1480.704:156.708
1167610321,58543;1469.472:178.578
1167610321,63168;1480.992:180.36
1167610321,68623;1461.12:175.068
1167610321,72937;1467.168:178.416
1167610321,77318;1457.184:168.372
1167610321,81764;1461.12:181.926
1167610321,86377;1458.24:173.178
1167610321,90898;1472.64:171.018
1167610321,95436;1454.592:162.756
1167610322,01213;1343.328:215.19
1167610322,0622;1347.552:216.324
1167610322,10657;1348.512:207.63
1167610322,15431;1353.12:228.69
1167610322,19847;1353.312:225.99
1167610322,2409;1352.064:221.076
1167610322,28288;1340.736:213.678
1167610322,32675;
1167610322,37095;1344.672:224.586
1167610322,40399;1344.384:227.124
1167610322,44678;1344.576:212.112
1167610322,49513;1341.888:220.806
1167610322,53977;1339.104:214.974
1167610322,58422;1477.92:454.68
1167610322,63013;1485.312:453.114
1167610322,68384;1474.944:464.292
1167610322,72828;1500.864:431.838
1167610322,77216;1485.888:448.038
1167610322,8174;1483.008:439.29
1167610322,86189;1480.416:437.94
1167610322,90809;1572.192:558.846
1167610322,95549;1578.912:486.108
1167610323,00274;1589.376:470.502
1167610323,05252;1602.816:460.458
1167610323,10846;1589.088:478.602
1167610323,15567;1580.928:480.33
1167610323,21125;1587.168:459.648
1167610323,27244;1588.992:457.974
1167610323,31942;918.24:370.116
1167610323,36557;557.184:361.206
1167610323,41306;
1167610323,47317;
1167610323,52126;
1167610323,55957;521.088:377.406
1167610323,5993;520.704:383.562
1167610323,66107;460.704:187.596
1167610323,72078;471.072:179.01
1167610323,77324;468.768:196.668
1167610323,82057;462.24:192.24
1167610323,8651;471.168:200.394
1167610323,91622;358.656:317.358
1167610323,96336;359.712:312.12
1167610324,02239;370.176:305.802
1167610324,0755;374.304:301.212
1167610324,12213;582.24:495.288
1167610324,16649;584.256:495.882
1167610324,21366;593.28:497.502
1167610324,25837;578.592:501.984
1167610324,30331;593.952:489.726
1167610324,35793;542.784:581.31
1167610324,40397;428.544:668.466
1167610324,44888;445.536:668.952
1167610324,49723;438.528:665.55
1167610324,5408;439.104:671.328
1167610324,59897;445.344:627.912
1167610324,64637;433.92:133.002
1167610324,6899;437.376:109.026
1167610324,74421;439.104:103.95
1167610324,79774;453.12:98.172
1167610324,85008;417.6:145.422
1167610324,8935;411.264:132.894
1167610324,93909;417.312:149.418
1167610324,99156;428.064:143.694
1167610325,03591;428.928:149.256
1167610325,07978;405.504:146.502
1167610325,12411;422.88:146.826
1167610325,17659;429.312:142.182
1167610325,22257;424.416:144.45
1167610325,26797;411.84:142.074
1167610325,31417;413.28:142.56
1167610325,35912;422.4:139.536
1167610325,40396;580.32:609.822
1167610325,45012;
1167610325,49085;632.352:920.322
1167610325,5311;719.712:662.094
1167610325,57171;708.192:524.34
1167610325,61533;723.168:511.758
1167610325,66854;713.088:511.866
1167610325,71519;724.512:504.252
1167610325,76489;960.672:514.566
1167610325,81288;982.272:538.002
1167610325,85966;985.536:538.974
1167610325,91258;972.96:536.166
1167610325,9572;982.368:554.148
1167610326,01119;976.224:549.666
1167610326,05689;979.008:553.284
1167610326,10265;975.552:559.764
1167610326,14787;953.472:545.724
1167610326,19289;954.144:552.366
1167610326,23669;932.448:552.636
1167610326,28054;955.2:549.72
1167610326,3328;947.616:542.16
1167610326,37596;946.752:540.594
1167610326,41862;946.56:558.522
1167610326,46024;935.136:564.678
1167610326,52089;941.376:551.124
1167610326,65582;944.64:552.96
1167610326,75563;944.064:543.78
1167610326,91032;953.184:543.402
1167610326,956;953.952:539.46
1167610327,01227;944.832:559.386
1167610327,05587;455.904:702.486
1167610327,09894;399.456:753.516
1167610327,14131;401.376:766.584
1167610327,18438;400.8:737.154
1167610327,22665;409.152:742.284
1167610327,26986;404.928:742.23
1167610327,31324;462.816:894.942
1167610327,35676;480.96:905.364
1167610327,39969;464.64:893.16
1167610327,44258;467.04:877.554
1167610327,4865;472.512:885.978
1167610327,53725;491.04:929.232
1167610327,58794;483.168:941.868
1167610327,63094;471.552:936.468
1167610327,6736;491.136:948.456
1167610327,72412;479.52:936.468
1167610327,76817;475.68:937.872
1167610327,81213;481.44:943.164
1167610327,85873;475.872:938.304
1167610327,90278;467.04:940.464
1167610327,94796;468.096:939.06
1167610327,99343;448.416:824.472
1167610328,03806;409.824:649.782
1167610328,08523;416.256:627.21
1167610328,1324;412.416:632.232
1167610328,17893;412.224:650.538
1167610328,22358;405.888:645.3
1167610328,26975;400.704:647.028
1167610328,31389;414.432:637.794
1167610328,36369;400.512:656.748
1167610328,40919;401.76:651.618
1167610328,45779;385.44:638.712
1167610328,50131;390.72:626.076
1167610328,54608;387.36:630.504
1167610328,59015;377.856:621.81
1167610328,64005;378.528:618.786
1167610328,68928;379.584:607.446
1167610328,73908;382.656:611.01
1167610328,78847;384.96:608.742
1167610328,83758;393.696:612.792
1167610328,88594;397.056:615.33
1167610328,93587;1136.256:225.45
1167610328,97961;1375.488:162.54
1167610329,02614;1356.864:173.826
1167610329,07912;1396.416:166.698
1167610329,13259;1391.424:130.248
1167610329,18079;1351.008:187.488
1167610329,22875;1350.432:198.018
1167610329,28114;1343.328:198.504
1167610329,33315;1348.416:189.702
1167610329,38199;1349.376:198.666
1167610329,42713;1342.464:205.524
1167610329,47989;1348.512:180.63
1167610329,53653;1351.392:192.888
1167610329,58306;1359.648:184.788
1167610329,6293;1355.424:188.946
1167610329,67639;1354.176:213.408
1167610329,72541;1354.368:176.85
1167610329,79071;1340.448:180.576
1167610329,84024;1037.664:428.706
1167610329,89193;992.064:568.35
1167610329,94283;993.6:595.296
1167610329,99311;1000.704:586.386
1167610330,04064;1003.776:542.214
1167610330,08684;999.84:529.146
1167610330,1333;1001.28:559.548
1167610330,17916;1006.56:556.362
1167610330,2238;995.712:551.178
1167610330,26753;995.232:551.34
1167610330,31058;1006.944:561.6
1167610330,35288;1007.52:561.87
1167610330,39545;1003.584:560.304
1167610330,43817;1115.04:458.73
1167610330,48192;1408.896:190.026
1167610330,52184;1417.056:196.56
1167610330,5643;1421.952:186.516
1167610330,60699;1426.464:197.64
1167610330,65053;1349.76:201.582
1167610330,69327;1353.504:207.9
1167610330,7367;1358.784:210.6
1167610330,78025;1355.424:204.12
1167610330,82323;1361.088:206.172
1167610330,86514;1360.416:200.178
1167610330,90854;1355.904:196.02
1167610330,95249;1354.368:201.42
1167610330,99749;1353.312:187.758
1167610331,04446;1355.04:188.568
1167610331,09083;
1167610331,15236;1351.68:186.462
1167610331,22727;1353.792:186.138
1167610331,29409;1344.576:196.398
1167610331,34992;1350.816:186.192
1167610331,40233;1354.56:207.792
1167610331,45247;1349.184:231.66
1167610331,50463;1358.688:227.502
1167610331,5648;1349.664:221.994
1167610331,61683;1355.232:226.638
1167610331,6668;1359.264:213.516
1167610331,71498;1693.92:187.974
1167610331,76538;1711.008:199.854
1167610331,81754;1707.936:206.874
1167610331,86661;1711.2:195.48
1167610331,91555;1685.28:203.418
1167610331,96556;1690.176:203.04
1167610332,01675;1691.136:191.214
1167610332,06683;1688.16:199.422
1167610332,11724;1692.576:180.954
1167610332,16887;1696.896:186.624
1167610332,21787;1707.072:165.942
1167610332,26771;1687.104:212.274
1167610332,32997;1699.392:207.036
1167610332,38509;
1167610332,43569;1514.208:59.562
1167610332,48387;1504.416:97.848
1167610332,53599;1507.68:90.936
1167610332,59113;1522.368:69.498
1167610332,6513;1461.312:434.916
1167610332,70782;1460.256:442.206
1167610332,75962;1464.96:441.828
1167610332,81947;1458.336:447.984
1167610332,88135;1449.792:438.804
1167610332,93479;1454.016:446.526
1167610332,98536;1510.08:482.706
1167610333,03639;1496.928:502.416
1167610333,08926;1499.136:509.76
1167610333,14888;1510.848:485.568
1167610333,21078;1501.44:495.342
1167610333,26379;1504.128:508.464
1167610333,31466;1505.568:484.326
1167610333,37357;1500.384:504.144
1167610333,42442;1492.992:500.904
1167610333,48128;1501.056:477.684
1167610333,53844;1498.368:494.91
1167610333,58764;1490.208:492.696
1167610333,64547;1495.968:491.67
1167610333,69331;1503.744:493.182
1167610333,74223;1467.072:477.468
1167610333,79151;1467.648:443.394
1167610333,84983;1465.632:449.874
1167610333,90194;1477.44:461.862
1167610333,95323;1460.928:471.582
1167610334,00452;1456.128:465.21
1167610334,06545;1458.048:456.57
1167610334,12434;1491.552:485.784
1167610334,17343;1481.28:470.124
1167610334,23177;1494.816:473.04
1167610334,29084;1491.168:463.266
1167610334,35007;1490.592:464.022
1167610334,40207;1493.28:475.902
1167610334,45472;
1167610334,51646;
1167610334,59853;
1167610334,62772;
1167610334,68259;1484.256:307.692
1167610334,73517;
1167610334,78732;1516.608:227.34
1167610334,81144;1513.632:205.146
1167610334,87794;1500.672:196.83
1167610334,92871;1515.744:66.096
1167610334,98057;
1167610335,02866;1509.6:70.848
1167610335,07574;1494.912:84.402
1167610335,12733;
1167610335,17811;1510.176:63.504
1167610335,23259;1505.28:90.504
1167610335,27936;1514.208:93.906
1167610335,3306;1505.376:94.392
1167610335,38246;1499.712:96.066
1167610335,43389;1525.824:64.098
1167610335,48499;1514.112:72.954
1167610335,53685;1516.32:77.004
1167610335,58588;
1167610335,63294;
1167610335,68408;1525.632:70.092
1167610335,73367;1523.424:70.47
1167610335,78506;
1167610335,83535;1512.0:64.476
1167610335,88724;1526.016:58.05
1167610335,94023;1523.424:56.916
1167610335,99171;
1167610336,04259;1526.112:55.674
1167610336,09754;
1167610336,15111;
1167610336,20216;1522.272:68.958
1167610336,25787;1526.976:80.082
1167610336,31158;
1167610336,3689;
1167610336,42195;
1167610336,44818;
1167610336,47646;
1167610336,50589;
1167610336,54406;1417.728:490.482
1167610336,60557;
1167610336,65563;
1167610336,69759;1316.832:171.45
1167610336,73963;
1167610336,79225;1344.768:167.886
1167610336,84717;
1167610336,90589;1331.232:165.888
1167610336,95523;
1167610337,00594;
1167610337,05715;
1167610337,10794;
1167610337,15988;1450.176:53.946
1167610337,21198;507.552:109.242
1167610337,26577;482.784:128.412
1167610337,31722;499.488:135.486
1167610337,36682;516.48:132.084
1167610337,42758;400.992:93.312
1167610337,47553;414.144:88.938
1167610337,52976;414.624:91.746
1167610337,5805;430.368:89.262
1167610337,6317;402.72:92.286
1167610337,68392;410.688:114.264
1167610337,7425;327.264:265.032
1167610337,79593;339.264:270.54
1167610337,85199;319.68:283.068
1167610337,90151;337.44:275.184
