Timestamp;GazePoint
636172481429,811;
1167610281,25724;944.256:551.07
1167610281,29554;941.856:550.692
1167610281,33358;945.12:571.86
1167610281,37228;947.328:563.166
1167610281,41012;943.008:546.156
1167610281,44808;944.832:567.702
1167610281,48577;951.456:563.058
1167610281,52357;943.776:552.96
1167610281,56046;942.528:551.826
1167610281,59814;951.456:549.288
1167610281,63618;953.28:546.804
1167610281,67408;886.272:616.734
1167610281,71206;880.224:618.03
1167610281,74999;888.192:620.73
1167610281,78868;889.92:608.526
1167610281,82714;886.08:614.52
1167610281,86477;878.88:618.57
1167610281,90237;896.352:605.124
1167610281,94097;885.312:614.304
1167610281,97819;907.968:592.65
1167610282,01608;895.2:609.282
1167610282,05384;896.352:614.196
1167610282,09193;909.984:608.958
1167610282,1308;883.296:608.688
1167610282,16878;892.032:614.682
1167610282,20827;890.592:618.03
1167610282,24688;900.384:606.096
1167610282,28485;896.16:599.292
1167610282,32285;889.536:605.124
1167610282,36229;888.192:615.276
1167610282,40318;880.032:610.524
1167610282,44556;914.112:591.786
1167610282,48634;1099.488:542.916
1167610282,52684;1164.48:542.538
1167610282,57223;1141.632:546.912
1167610282,61321;1164.48:521.694
1167610282,65547;1149.024:532.764
1167610282,70214;1510.272:483.192
1167610282,74475;1646.496:481.248
1167610282,78556;1663.968:488.538
1167610282,83305;1668.768:477.954
1167610282,87576;1675.104:479.088
1167610282,9142;1664.256:495.288
1167610282,95514;1670.88:491.616
1167610282,99432;
1167610283,03341;
1167610283,0678;
1167610283,11311;
1167610283,15816;512.064:482.166
1167610283,19531;471.168:465.642
1167610283,2385;483.072:481.194
1167610283,28755;445.44:469.638
1167610283,3291;216.576:367.092
1167610283,36984;207.648:371.952
1167610283,41268;207.648:368.118
1167610283,45793;205.344:369.036
1167610283,49648;221.088:376.002
1167610283,5362;194.88:360.45
1167610283,57583;200.928:389.448
1167610283,62182;460.32:310.932
1167610283,66255;478.848:298.62
1167610283,70941;491.904:301.482
1167610283,74925;480.288:309.096
1167610283,79037;471.168:306.882
1167610283,83144;489.792:314.604
1167610283,87266;329.76:295.758
1167610283,91369;321.6:278.694
1167610283,95524;326.4:280.152
1167610283,9971;
1167610284,03995;
1167610284,06927;
1167610284,10028;
1167610284,13644;
1167610284,17345;
