Timestamp;GazePoint
636172483622,816;
1167610500,52648;669.216:1594.944
1167610500,5611;
1167610500,60285;
1167610500,63878;
1167610500,6785;620.736:1695.816
1167610500,71314;
1167610500,75479;625.248:1702.026
1167610500,79095;
1167610500,8326;785.184:572.4
1167610500,86816;803.904:524.718
1167610500,91208;788.352:540.54
1167610500,95254;794.112:544.698
1167610500,99456;776.256:553.446
1167610501,0373;582.144:566.514
1167610501,07859;584.352:572.616
1167610501,1189;585.6:573.318
1167610501,15955;591.456:573.264
1167610501,19987;590.688:568.89
1167610501,24031;588.96:571.86
1167610501,2811;643.776:590.868
1167610501,32797;646.464:599.076
1167610501,37531;643.584:604.638
1167610501,41629;636.192:601.56
1167610501,45571;688.32:594.378
1167610501,49446;677.664:607.284
1167610501,53356;671.328:621.0
1167610501,57263;680.64:613.71
1167610501,61121;667.008:612.522
1167610501,64981;679.872:612.846
1167610501,68736;674.496:611.226
1167610501,72675;404.64:688.392
1167610501,76481;394.656:692.334
1167610501,80554;405.792:689.202
1167610501,8444;398.592:699.084
1167610501,88539;407.328:695.844
1167610501,92373;394.848:699.192
1167610501,96393;
1167610502,00229;
1167610502,04082;
1167610502,0707;
1167610502,10068;668.064:619.164
1167610502,14057;
1167610502,17911;
1167610502,20866;
1167610502,23793;
1167610502,27657;
1167610502,31325;677.76:606.69
1167610502,34337;688.8:564.894
1167610502,38491;673.632:571.59
1167610502,42642;673.344:580.122
1167610502,46851;677.664:559.44
1167610502,51011;673.536:560.844
1167610502,55151;691.68:606.852
1167610502,59487;691.968:602.37
1167610502,63726;690.336:606.474
1167610502,67908;699.264:589.68
1167610502,72146;683.616:610.362
1167610502,76386;669.408:598.266
1167610502,8054;690.432:607.284
1167610502,85316;670.752:604.314
1167610502,89417;674.208:592.056
1167610502,94198;689.088:604.098
1167610502,98316;635.136:360.342
1167610503,02422;632.832:312.498
1167610503,0679;632.256:325.944
1167610503,10967;633.216:330.372
1167610503,15292;627.36:328.644
1167610503,19653;646.656:347.598
1167610503,23936;656.64:342.414
1167610503,28083;648.48:351.108
1167610503,32212;660.576:357.804
1167610503,36467;660.192:356.724
1167610503,40724;656.832:349.434
1167610503,45081;666.24:355.59
1167610503,49275;616.416:298.728
1167610503,53445;627.84:300.78
1167610503,57615;634.08:294.948
1167610503,61783;626.976:292.356
1167610503,65861;672.864:347.652
1167610503,7002;673.728:367.47
1167610503,741;668.16:366.174
1167610503,78332;670.272:373.68
