Timestamp;Action;ActionArgs;LeftEye;RightEye
073,02099;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610073,06561;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610073,10459;EyeTracking;BothEyesTracked;[0,3017,0,2218];[0,1883,0,2365]
1167610073,14312;EyeTracking;BothEyesTracked;[0,3081,0,2337];[0,1936,0,2508]
1167610073,22307;EyeTracking;BothEyesTracked;[0,1474,0,2805];[0,0218,0,2826]
1167610073,28374;EyeTracking;BothEyesTracked;[0,1470,0,2717];[-0,0014,0,2691]
1167610073,33944;EyeTracking;BothEyesTracked;[0,1359,0,2274];[0,0802,0,1394]
1167610073,39777;EyeTracking;BothEyesTracked;[0,1750,0,1053];[0,0976,0,0672]
1167610073,47126;EyeTracking;BothEyesTracked;[0,1441,0,2496];[0,0509,0,1875]
1167610073,52766;EyeTracking;BothEyesTracked;[0,1533,0,1684];[0,0430,0,2878]
1167610073,59536;EyeTracking;BothEyesTracked;[0,1612,0,2465];[0,0538,0,1960]
1167610073,65245;EyeTracking;BothEyesTracked;[0,1863,0,1043];[0,0602,0,1783]
1167610073,71449;EyeTracking;BothEyesTracked;[0,1789,0,0948];[0,0460,0,2378]
1167610073,78431;EyeTracking;BothEyesTracked;[0,1651,0,2497];[0,0671,0,2573]
1167610073,8435;EyeTracking;BothEyesTracked;[0,1784,0,1528];[0,0591,0,2154]
1167610073,89877;EyeTracking;BothEyesTracked;[0,1987,0,1026];[0,0490,0,2468]
1167610073,96716;EyeTracking;BothEyesTracked;[0,1665,0,1895];[0,0427,0,2675]
1167610074,02109;EyeTracking;BothEyesTracked;[0,1918,0,1143];[0,0686,0,2281]
1167610074,07822;EyeTracking;BothEyesTracked;[0,1387,0,2708];[0,0328,0,2859]
1167610074,13072;EyeTracking;BothEyesTracked;[0,1389,0,2572];[0,0422,0,2849]
1167610074,16759;EyeTracking;BothEyesTracked;[0,3353,0,3258];[0,2718,0,3610]
1167610074,20121;EyeTracking;BothEyesTracked;[0,4360,0,3349];[0,3510,0,3928]
1167610074,25812;EyeTracking;BothEyesTracked;[0,4363,0,3575];[0,3596,0,3187]
1167610074,31231;EyeTracking;BothEyesTracked;[0,4201,0,3589];[0,3404,0,3977]
1167610074,37351;EyeTracking;BothEyesTracked;[0,4205,0,3709];[0,3575,0,3915]
1167610074,41211;EyeTracking;BothEyesTracked;[0,4156,0,3601];[0,3523,0,4034]
1167610074,44854;EyeTracking;BothEyesTracked;[0,4288,0,3683];[0,3530,0,4051]
1167610074,48509;EyeTracking;BothEyesTracked;[0,4249,0,3596];[0,3589,0,3872]
1167610074,52158;EyeTracking;BothEyesTracked;[0,4213,0,3566];[0,3559,0,4022]
1167610074,55815;EyeTracking;BothEyesTracked;[0,4249,0,3576];[0,3567,0,3979]
1167610074,5947;EyeTracking;BothEyesTracked;[0,4194,0,3449];[0,3585,0,3851]
1167610074,63122;EyeTracking;BothEyesTracked;[0,4262,0,3517];[0,3565,0,3965]
1167610074,66868;EyeTracking;BothEyesTracked;[0,4204,0,3571];[0,3515,0,4083]
1167610074,70611;EyeTracking;BothEyesTracked;[0,4192,0,3576];[0,3546,0,3990]
1167610074,74357;EyeTracking;BothEyesTracked;[0,3647,0,3605];[0,3009,0,3883]
1167610074,7813;EyeTracking;BothEyesTracked;[0,3233,0,3408];[0,2479,0,3825]
1167610074,81876;EyeTracking;BothEyesTracked;[0,3209,0,3397];[0,2534,0,3863]
1167610074,85611;EyeTracking;BothEyesTracked;[0,3224,0,3506];[0,2454,0,3689]
1167610074,8926;EyeTracking;BothEyesTracked;[0,3283,0,3478];[0,2488,0,3744]
1167610074,92915;EyeTracking;BothEyesTracked;[0,3201,0,3508];[0,2445,0,3929]
1167610074,96727;EyeTracking;BothEyesTracked;[0,3229,0,3492];[0,2500,0,3912]
1167610075,00066;EyeTracking;BothEyesTracked;[0,3283,0,3418];[0,2490,0,3840]
1167610075,03508;EyeTracking;BothEyesTracked;[0,3265,0,3423];[0,2509,0,3873]
1167610075,07019;EyeTracking;BothEyesTracked;[0,3237,0,3530];[0,2540,0,3832]
1167610075,1063;EyeTracking;BothEyesTracked;[0,3328,0,3482];[0,2477,0,3791]
1167610075,14338;EyeTracking;BothEyesTracked;[0,3242,0,3399];[0,2523,0,3923]
1167610075,17998;EyeTracking;BothEyesTracked;[0,3401,0,3331];[0,2498,0,3763]
1167610075,21693;EyeTracking;BothEyesTracked;[0,3308,0,3389];[0,2510,0,3879]
1167610075,25525;EyeTracking;BothEyesTracked;[0,3225,0,3382];[0,2554,0,3860]
1167610075,29342;EyeTracking;BothEyesTracked;[0,3313,0,3407];[0,2510,0,3835]
1167610075,33098;EyeTracking;BothEyesTracked;[0,3267,0,3373];[0,2514,0,3836]
