Timestamp;GazePoint
636199269910,972;
1167610108,96436;990.048:620.298
1167610109,0077;980.064:620.946
1167610109,04981;976.896:595.674
1167610109,09357;970.464:605.556
1167610109,13531;979.584:616.464
1167610109,17512;986.112:616.842
1167610109,21733;986.592:609.336
1167610109,25866;978.144:608.958
1167610109,29895;1264.608:652.212
1167610109,34014;1273.344:649.512
1167610109,39115;1280.64:653.778
1167610109,44316;1276.032:661.5
1167610109,48514;1368.672:679.536
1167610109,53485;1364.928:683.046
1167610109,57852;1359.264:703.458
1167610109,62562;1364.064:683.856
1167610109,66916;1333.056:719.82
1167610109,71715;1327.584:738.936
1167610109,76;1322.208:725.976
1167610109,81594;1334.88:725.436
1167610109,85912;1341.984:824.364
1167610109,9144;1361.952:829.548
1167610109,95699;1349.28:824.094
1167610110,00645;1345.632:837.972
1167610110,05661;1349.28:884.844
1167610110,10389;1351.776:874.8
1167610110,14577;1356.0:902.61
1167610110,19293;1360.128:900.72
1167610110,23512;1345.44:890.244
1167610110,28246;1345.152:888.84
1167610110,32364;1350.336:898.938
1167610110,37073;1356.192:885.438
1167610110,41206;1348.704:879.876
1167610110,45414;1378.656:897.588
1167610110,49667;1377.216:919.242
1167610110,53976;1376.736:894.834
1167610110,59121;1374.912:888.462
1167610110,63359;1374.432:888.84
1167610110,67499;1366.464:897.426
1167610110,71687;1352.256:887.166
1167610110,75808;1360.224:881.928
1167610110,8002;1353.408:894.402
1167610110,84189;1370.208:891.918
1167610110,89151;1416.768:669.978
1167610110,93185;1405.152:689.364
1167610110,9741;1408.224:690.552
1167610111,01542;1397.376:690.228
1167610111,05845;1396.512:693.144
1167610111,10174;1412.736:696.168
1167610111,14523;1407.168:735.21
1167610111,19088;1405.344:722.034
1167610111,2355;1398.72:726.246
1167610111,29054;1409.664:729.918
1167610111,34263;1440.096:622.674
1167610111,38909;1433.664:619.056
1167610111,44307;1428.0:627.48
1167610111,48851;1435.2:620.784
1167610111,54092;1411.68:601.56
1167610111,58626;1429.248:597.672
1167610111,63516;1409.76:600.804
1167610111,68941;1501.152:429.246
1167610111,7416;1500.48:427.41
1167610111,79858;1490.976:433.89
1167610111,86125;1156.224:381.024
1167610111,92076;1160.832:386.37
1167610111,98156;1150.08:391.77
1167610112,0368;1113.216:430.758
1167610112,09581;1100.448:434.538
1167610112,15533;1103.712:436.914
1167610112,20543;1107.936:425.196
1167610112,26253;
1167610112,31588;
1167610112,36523;500.256:203.958
1167610112,42773;496.032:180.576
1167610112,49634;
1167610112,54555;503.04:215.028
1167610112,57509;885.888:241.542
1167610112,63184;528.768:205.848
1167610112,68278;1107.456:375.948
1167610112,73334;1132.512:385.236
1167610112,78351;1120.416:383.508
1167610112,83238;1121.184:409.914
1167610112,88192;1141.728:429.84
1167610112,93277;1155.552:423.954
1167610112,98152;1138.656:423.468
1167610113,03277;1224.48:442.692
1167610113,08484;1274.208:451.818
1167610113,13769;1247.232:447.444
1167610113,19181;1258.848:449.064
1167610113,24468;471.648:207.738
1167610113,29156;463.776:194.994
1167610113,3473;466.464:202.5
1167610113,40018;478.656:212.112
1167610113,45195;517.344:196.614
1167610113,50381;494.112:191.322
1167610113,55624;500.448:200.826
1167610113,61008;499.872:203.202
1167610113,66074;496.992:217.728
1167610113,71491;
1167610113,76458;489.216:205.2
1167610113,8024;496.704:226.206
1167610113,85018;515.904:234.306
1167610113,9041;509.76:236.25
1167610113,95815;517.248:229.986
1167610114,01278;515.328:216.324
1167610114,06017;515.232:236.034
1167610114,1164;497.856:213.3
1167610114,17098;515.232:228.204
1167610114,22323;497.664:230.094
1167610114,27155;490.176:236.412
1167610114,32395;491.328:222.804
1167610114,37066;121.824:190.782
1167610114,42191;123.648:209.79
1167610114,46864;160.128:214.326
1167610114,51946;163.2:215.622
1167610114,57218;164.064:214.002
1167610114,62548;164.448:219.186
1167610114,67546;666.048:278.532
1167610114,73144;180.672:205.902
1167610114,77932;200.544:186.192
1167610114,83278;178.176:176.958
1167610114,87828;196.896:165.24
1167610114,93325;183.648:165.24
1167610114,99006;622.08:284.04
1167610115,042;202.464:172.692
1167610115,09686;196.224:177.282
1167610115,15048;164.256:157.086
1167610115,20479;
1167610115,26018;1290.816:135.702
1167610115,31377;
1167610115,35983;
1167610115,38639;
1167610115,44612;1000.416:381.456
1167610115,48945;1019.616:356.562
1167610115,54225;1012.8:217.188
1167610115,59379;1780.608:162.324
1167610115,64621;
1167610115,69611;1648.896:140.454
1167610115,73185;1642.464:148.554
1167610115,78352;1660.896:113.076
1167610115,84398;1653.408:120.474
1167610115,89567;1648.512:116.91
1167610115,9472;1794.912:188.568
1167610116,00354;1818.336:186.462
1167610116,05297;
1167610116,10576;1823.52:186.3
1167610116,15106;
1167610116,20958;1732.992:567.216
1167610116,24217;1657.92:920.808
