Timestamp;GazePoint
636199271236,398;
1167610241,47097;996.576:577.476
1167610241,5138;996.48:575.964
1167610241,56322;1005.6:573.156
1167610241,60847;1011.36:575.478
1167610241,65864;1019.712:590.382
1167610241,70345;1022.4:599.076
1167610241,75582;1036.608:610.254
1167610241,80296;1023.552:605.664
1167610241,85556;1030.368:602.694
1167610241,90443;655.776:605.232
1167610241,95693;674.112:612.522
1167610242,00495;668.736:596.808
1167610242,0564;657.696:604.26
1167610242,10632;653.088:577.368
1167610242,16013;655.68:587.628
1167610242,21193;659.616:612.576
1167610242,27176;610.272:538.218
1167610242,31964;614.112:537.246
1167610242,37034;608.064:530.712
1167610242,41829;590.112:549.396
1167610242,46693;602.208:542.268
1167610242,51493;590.88:549.558
1167610242,56325;585.6:539.946
1167610242,61035;437.76:659.664
1167610242,65996;430.08:668.034
1167610242,70193;436.992:657.612
1167610242,75065;442.848:661.122
1167610242,79744;440.16:668.952
1167610242,84681;424.992:660.636
1167610242,89455;435.744:647.136
1167610242,94312;428.928:648.972
1167610242,99084;429.216:655.452
1167610243,0391;425.664:649.512
1167610243,08171;343.872:731.43
1167610243,12776;293.28:777.276
1167610243,17429;285.888:785.052
1167610243,22129;290.784:760.698
1167610243,26853;251.136:774.684
1167610243,3173;239.04:776.79
1167610243,36511;247.392:773.712
1167610243,41422;227.616:776.142
1167610243,4654;241.44:770.526
1167610243,51249;233.568:778.032
1167610243,56086;237.408:787.374
1167610243,60875;242.976:776.574
1167610243,65933;241.824:801.414
1167610243,70794;239.52:788.346
1167610243,75909;242.592:785.592
1167610243,8049;244.992:783.918
1167610243,85712;255.264:797.094
1167610243,90323;578.88:905.958
1167610243,95458;582.528:906.552
1167610244,00229;586.176:910.98
1167610244,0556;595.68:893.322
1167610244,10418;597.12:896.778
1167610244,15795;594.816:890.946
1167610244,20773;511.008:933.93
1167610244,26311;484.416:954.288
1167610244,31215;918.528:674.838
1167610244,36484;1572.48:378.648
1167610244,41687;1561.152:383.508
1167610244,4723;1458.816:329.94
1167610244,52337;1448.352:351.324
1167610244,57613;1448.16:349.974
1167610244,62856;1437.504:409.428
1167610244,68118;1423.968:484.38
1167610244,73234;1431.84:467.154
1167610244,80243;1428.768:470.664
1167610244,94742;1314.72:231.336
1167610245,10175;1318.272:263.142
1167610245,19969;1671.264:235.386
1167610245,25352;1654.56:244.242
1167610245,30459;1654.752:242.73
1167610245,35575;1636.608:250.668
1167610245,40534;1668.0:510.138
1167610245,45348;1688.928:514.512
1167610245,50236;1685.28:495.612
1167610245,5525;1681.728:501.66
1167610245,59998;1698.432:510.3
1167610245,64739;1692.864:508.14
1167610245,69463;1702.08:498.258
1167610245,74757;1492.896:886.95
1167610245,79557;1487.904:915.354
1167610245,85023;1479.072:899.316
1167610245,89862;1471.68:883.224
1167610245,95444;1475.616:887.112
1167610246,00324;1491.936:977.832
1167610246,05611;1484.64:984.852
1167610246,10463;1489.056:970.65
1167610246,16051;1486.752:975.402
1167610246,20736;1481.376:989.496
1167610246,25957;858.048:749.196
1167610246,3077;
1167610246,36226;409.152:564.732
1167610246,41081;391.008:565.596
1167610246,46486;475.008:212.652
1167610246,51646;451.104:63.45
1167610246,57467;
1167610246,62006;
1167610246,66816;444.192:90.99
1167610246,71533;409.248:109.782
1167610246,76112;417.12:116.586
1167610246,80666;418.464:109.026
1167610246,85295;423.072:121.122
1167610246,89884;420.864:149.85
1167610246,94457;
1167610246,98993;593.088:577.098
1167610247,02261;601.536:570.672
1167610247,06693;578.4:556.146
1167610247,11226;598.752:561.762
1167610247,16661;971.136:302.94
1167610247,21821;
1167610247,27082;
1167610247,29988;
1167610247,33015;
1167610247,36037;
1167610247,3907;
1167610247,421;
1167610247,45139;
1167610247,48171;
1167610247,51207;
1167610247,54241;
1167610247,57274;
1167610247,603;
1167610247,63439;
1167610247,66472;
1167610247,70931;
1167610247,75392;
1167610247,79862;
1167610247,8376;
1167610247,88214;
1167610247,91562;
1167610247,94617;
1167610248,00766;
1167610248,04072;
1167610248,10347;
1167610248,14127;
1167610248,17638;
1167610248,2167;
1167610248,2535;
1167610248,29144;
1167610248,32778;
1167610248,37228;
1167610248,40565;
1167610248,4735;
1167610248,50386;
1167610248,55319;
1167610248,57979;
1167610248,63371;
1167610248,6587;
1167610248,70491;
1167610248,74974;
1167610248,7944;
1167610248,83769;
1167610248,8752;
1167610248,91852;
1167610248,95686;1501.824:518.4
1167610248,99522;
1167610249,05032;
1167610249,08219;
1167610249,11211;
1167610249,14243;915.36:993.546
1167610249,19658;847.008:643.194
1167610249,25486;
1167610249,30776;757.344:638.334
1167610249,33235;666.912:652.644
1167610249,39627;656.064:655.722
1167610249,44853;649.248:674.514
1167610249,50159;672.192:652.212
1167610249,5555;673.248:644.436
1167610249,60588;690.336:638.82
1167610249,65688;649.44:661.77
1167610249,70677;657.216:654.588
1167610249,76492;682.656:655.56
1167610249,8175;677.568:654.318
1167610249,86599;669.024:650.268
1167610249,9175;698.016:638.874
1167610249,9652;693.888:630.612
1167610250,01437;702.624:648.0
1167610250,05925;538.368:629.91
1167610250,10984;448.032:645.462
1167610250,15427;437.856:642.978
1167610250,20373;465.888:647.514
1167610250,24811;401.952:648.918
1167610250,29859;400.992:657.126
1167610250,34378;403.68:660.636
1167610250,39339;513.504:563.058
1167610250,43643;604.8:426.114
1167610250,48563;601.824:502.902
1167610250,5313;609.792:500.58
1167610250,5831;609.888:524.178
1167610250,62713;607.392:509.706
1167610250,67751;613.92:527.742
1167610250,72347;611.424:516.672
1167610250,76995;618.912:548.1
1167610250,81666;614.688:546.156
1167610250,86337;618.912:554.04
1167610250,91091;599.808:559.44
1167610250,95718;613.152:561.6
1167610251,00422;593.376:549.126
1167610251,04876;617.184:553.554
1167610251,10109;1543.392:558.522
1167610251,14444;1538.784:555.39
1167610251,20058;1488.192:503.118
1167610251,25357;1491.648:522.45
1167610251,30067;1494.528:524.34
1167610251,34695;1487.328:508.734
1167610251,39978;1472.544:533.682
1167610251,44526;1480.896:548.316
1167610251,48998;1473.024:551.988
1167610251,53591;1486.944:564.624
1167610251,59162;1477.632:538.11
1167610251,64798;1466.784:540.81
1167610251,6948;1445.28:526.77
1167610251,74511;1433.568:474.552
1167610251,79041;1436.736:461.322
1167610251,83694;1427.52:455.166
1167610251,88234;1418.784:462.564
1167610251,92839;1434.24:449.604
1167610251,97874;1451.52:508.14
1167610252,02749;1437.504:513.648
1167610252,07956;1446.144:511.974
1167610252,12887;1449.792:521.316
1167610252,18255;1465.632:515.106
1167610252,23162;1452.288:449.766
1167610252,28606;1457.856:447.282
1167610252,33597;1440.096:469.206
1167610252,39137;484.416:524.016
1167610252,43972;462.816:531.792
1167610252,49357;619.488:537.462
1167610252,54325;629.28:529.578
1167610252,59862;635.04:514.944
1167610252,64566;572.736:453.816
1167610252,69799;566.592:460.026
1167610252,7467;568.224:465.696
1167610252,79783;575.904:477.9
1167610252,84548;559.2:467.694
1167610252,89349;574.752:459.054
1167610252,94225;570.336:247.914
1167610252,98931;582.912:239.22
1167610253,0359;581.76:262.656
1167610253,08075;586.464:260.766
1167610253,12726;570.432:264.384
1167610253,17445;580.8:268.488
1167610253,22111;483.936:137.592
1167610253,26847;471.552:118.908
1167610253,31546;478.464:119.34
1167610253,36251;471.936:122.904
1167610253,41088;443.328:125.118
1167610253,45977;444.096:126.198
1167610253,50713;448.224:122.148
1167610253,5534;454.848:133.974
1167610253,59916;482.88:145.098
1167610253,64462;1525.344:240.354
1167610253,68833;1564.704:258.012
1167610253,7359;1459.296:225.288
1167610253,77905;1451.232:222.534
1167610253,82763;1461.984:197.046
1167610253,87493;1464.288:200.07
1167610253,91998;1447.776:221.832
1167610253,96689;1416.672:815.292
1167610254,02298;1406.592:869.13
1167610254,07422;1401.6:868.158
1167610254,11864;1413.6:878.742
1167610254,17023;1397.856:885.438
1167610254,21912;1475.52:968.706
1167610254,2724;1467.36:964.278
1167610254,31896;1480.032:981.018
1167610254,36912;1483.2:980.046
1167610254,42153;1474.56:986.418
1167610254,47329;1480.608:986.634
1167610254,5177;1413.792:1188.054
1167610254,56754;1172.064:1186.866
1167610254,60998;1438.464:1201.176
1167610254,65721;1362.144:1269.648
1167610254,70044;1387.584:1262.736
1167610254,74988;1386.528:1274.022
1167610254,79376;1381.536:1281.69
1167610254,84182;1409.76:1257.822
1167610254,88317;1446.816:1191.348
1167610254,92529;1228.704:1184.922
1167610254,96707;1441.248:1190.592
1167610255,01026;1414.176:1269.702
1167610255,05729;1445.568:1172.502
1167610255,10548;1450.944:1178.28
1167610255,15106;1429.44:1173.096
1167610255,1958;1433.952:1181.898
1167610255,23968;1377.696:1270.998
1167610255,28428;981.312:1140.102
1167610255,32939;994.464:1138.806
1167610255,37596;967.68:1159.812
1167610255,42811;952.8:1141.506
1167610255,4739;963.072:1153.656
1167610255,52084;996.192:1151.658
1167610255,5686;1025.28:1189.62
1167610255,61907;
1167610255,67393;
1167610255,70224;
1167610255,7325;
1167610255,78489;
1167610255,83673;
1167610255,87458;
1167610255,93715;
1167610255,9974;
1167610256,03113;
1167610256,06945;
1167610256,10775;
1167610256,14605;
1167610256,18443;
1167610256,22273;
1167610256,26073;
1167610256,29874;
1167610256,32613;
1167610256,37071;
1167610256,41532;
1167610256,45988;
1167610256,50452;
1167610256,54344;
1167610256,58799;
1167610256,63259;
1167610256,67228;
1167610256,71042;
1167610256,76206;
1167610256,81048;
1167610256,86112;
1167610256,90579;
1167610256,96735;
1167610257,02073;1552.32:515.484
1167610257,07427;1557.792:525.528
1167610257,12771;1444.8:501.336
1167610257,17999;
1167610257,24348;1413.792:516.24
1167610257,28024;1421.664:453.654
1167610257,33197;1429.056:442.53
1167610257,38436;1443.264:514.404
1167610257,43732;1659.072:447.768
1167610257,48883;1656.576:522.72
1167610257,5484;1673.184:423.036
1167610257,60113;1601.184:672.678
1167610257,65473;1575.456:915.678
1167610257,70686;
1167610257,76337;
1167610257,80043;1583.424:914.274
1167610257,83689;1485.696:940.464
1167610257,89083;1470.048:931.824
1167610257,94597;1485.888:919.134
1167610257,99812;1505.28:891.702
1167610258,04953;318.72:913.68
1167610258,10241;306.336:912.816
1167610258,15949;451.392:917.46
1167610258,2124;451.488:910.278
1167610258,27009;474.048:915.138
1167610258,32377;516.672:919.62
1167610258,38273;
1167610258,43412;308.928:758.16
1167610258,47414;327.36:745.686
1167610258,53645;318.432:755.244
1167610258,59336;378.144:660.096
1167610258,65572;
1167610258,71161;
1167610258,74633;
1167610258,78772;
1167610258,83221;
1167610258,88032;
1167610258,91607;
1167610258,95674;
1167610258,99794;
1167610259,04051;
1167610259,08426;
1167610259,11949;404.544:666.738
1167610259,16425;431.328:641.034
1167610259,21308;423.36:651.294
1167610259,26207;412.416:662.796
1167610259,31096;
1167610259,35984;429.792:658.368
1167610259,39465;423.456:656.37
1167610259,43974;436.896:651.456
1167610259,4874;440.736:646.326
1167610259,53493;440.832:656.91
1167610259,58349;442.08:654.966
1167610259,63048;402.624:663.984
1167610259,6814;414.72:661.986
1167610259,73032;430.08:655.074
1167610259,78312;379.2:731.754
1167610259,83228;
1167610259,8869;
1167610259,93136;
1167610259,9574;
1167610259,98352;
1167610260,00952;
1167610260,03614;
1167610260,06305;
1167610260,08997;
1167610260,11698;
1167610260,14406;
1167610260,17105;
1167610260,19829;
1167610260,22577;
1167610260,25294;
1167610260,28022;
1167610260,29966;
1167610260,32449;
1167610260,3744;
1167610260,41863;
1167610260,46251;
1167610260,50056;
1167610260,54428;
1167610260,58804;
1167610260,63188;
1167610260,67572;
1167610260,71947;
1167610260,75755;
1167610260,80129;
1167610260,84504;
1167610260,88888;
1167610260,93269;
1167610260,97684;
1167610261,01533;
1167610261,05954;
1167610261,10386;
1167610261,14815;
1167610261,19237;
1167610261,23657;
1167610261,27511;
1167610261,31935;
1167610261,36354;
1167610261,40786;
1167610261,45213;
1167610261,49509;
1167610261,53221;
1167610261,57509;
1167610261,61798;
1167610261,66093;
1167610261,70387;
1167610261,74681;
1167610261,7839;
1167610261,82682;
1167610261,86976;
1167610261,91263;
1167610261,95546;
1167610261,99876;
1167610262,03631;
1167610262,0796;
1167610262,12393;
1167610262,16733;
1167610262,21078;
1167610262,25411;
1167610262,29168;
1167610262,33497;
1167610262,36299;
1167610262,3937;
1167610262,42593;
1167610262,4592;
1167610262,49233;
1167610262,52553;
1167610262,55891;
1167610262,59245;
1167610262,62581;
1167610262,65927;
1167610262,69266;
1167610262,72609;
1167610262,75946;
1167610262,79292;
1167610262,83787;
1167610262,88241;
1167610262,92672;
1167610262,97054;
1167610263,00855;
1167610263,05228;
1167610263,09605;
1167610263,13399;
1167610263,17212;
1167610263,21561;930.528:718.146
1167610263,29265;1397.184:789.696
1167610263,33052;1383.936:779.436
1167610263,3802;1375.296:785.646
1167610263,42499;1388.64:1001.646
1167610263,47213;
1167610263,51313;
1167610263,54384;1384.224:1000.35
1167610263,58884;1398.048:1131.57
1167610263,6281;1408.992:1127.25
1167610263,67533;1411.392:1133.568
1167610263,72294;1417.344:1151.766
1167610263,77235;1470.72:1168.992
1167610263,82271;1463.904:1171.152
1167610263,86674;1461.408:1160.946
1167610263,91695;1444.128:1162.35
1167610263,96624;1456.032:824.472
1167610264,01882;1475.232:625.158
1167610264,06578;1478.88:658.746
1167610264,1149;1460.928:624.294
1167610264,16795;1787.136:1011.528
1167610264,22166;1454.688:657.558
1167610264,27337;1429.056:1065.042
1167610264,32389;1422.816:1139.94
1167610264,37765;1411.104:1136.7
1167610264,43469;1413.312:1123.416
1167610264,48182;1435.2:1168.884
1167610264,53566;1432.224:1168.398
1167610264,58495;1452.672:1174.446
1167610264,63829;1444.8:1170.45
1167610264,68767;1452.384:1174.932
1167610264,74425;
1167610264,79411;
1167610264,85281;693.504:1178.01
1167610264,89911;656.64:1196.37
1167610264,94377;674.976:1182.06
1167610264,99017;668.352:1196.532
1167610265,03816;655.488:1185.732
1167610265,0957;616.224:1188.378
1167610265,13992;601.44:1190.808
1167610265,18233;616.032:1202.85
1167610265,28964;628.032:1191.726
1167610265,45331;977.472:1151.712
1167610265,62023;
1167610265,68443;1214.592:1335.204
1167610265,71754;
1167610265,76282;
1167610265,81412;1221.12:1182.276
1167610265,84753;1185.408:1167.966
1167610265,89987;1333.344:1167.858
1167610265,95211;1452.576:1167.318
1167610266,00337;1441.056:1171.206
1167610266,05824;
1167610266,11206;1418.4:1163.916
1167610266,16999;1424.928:1173.798
1167610266,21976;1432.32:1175.526
1167610266,27382;1401.696:1173.96
1167610266,3254;1431.264:1174.608
1167610266,38195;898.08:1162.242
1167610266,45014;665.376:1170.828
1167610266,5125;649.056:1173.96
1167610266,55738;624.384:1173.582
1167610266,60966;565.632:1184.652
1167610266,65416;590.304:1169.478
1167610266,70518;580.608:1183.086
1167610266,74961;587.616:1173.798
1167610266,80074;600.192:1192.86
1167610266,84595;610.56:1172.664
1167610266,90116;598.752:1171.368
1167610266,94513;591.84:1173.69
1167610266,99483;642.336:706.59
1167610267,03962;657.024:747.954
1167610267,08633;634.752:759.618
1167610267,13446;646.464:776.358
1167610267,18239;
1167610267,23912;
1167610267,26558;
1167610267,29631;1376.544:917.676
1167610267,336;1364.352:789.102
1167610267,38015;1353.696:759.942
1167610267,43124;1366.56:730.89
1167610267,48314;1316.352:727.812
1167610267,52739;1320.864:753.678
1167610267,57209;1322.4:730.35
1167610267,62108;1331.616:736.182
1167610267,67045;1453.92:1139.508
1167610267,7236;1429.248:1142.154
1167610267,76583;1447.392:1142.964
1167610267,80816;1446.432:1139.238
1167610267,85172;1456.8:1148.094
1167610267,89463;1424.064:1162.674
1167610267,93795;1423.776:1267.488
1167610267,98024;1444.032:1169.532
1167610268,02245;1467.744:1178.28
1167610268,06944;1440.096:1164.672
1167610268,11239;997.824:1164.78
1167610268,15472;
1167610268,19753;
1167610268,23496;
1167610268,27909;
1167610268,31505;
1167610268,35632;
1167610268,39114;
1167610268,43091;
1167610268,46558;
1167610268,50419;
1167610268,53872;
1167610268,58959;1017.216:1182.546
1167610268,6291;1014.912:1176.606
1167610268,67614;1034.304:1186.11
1167610268,72382;1003.488:1173.204
1167610268,78034;999.648:1173.69
1167610268,83088;1031.424:1171.908
1167610268,88628;993.696:1171.368
1167610268,93751;1020.288:1173.42
1167610268,98762;1021.44:1170.558
1167610269,04548;1026.048:1177.956
1167610269,09785;1014.816:1174.446
1167610269,15134;992.64:1181.574
1167610269,20598;
1167610269,25362;1148.832:777.87
1167610269,28764;
1167610269,34423;1157.28:736.452
1167610269,41491;593.568:235.872
1167610269,47395;582.912:264.438
1167610269,52842;
1167610269,58166;
1167610269,63771;
1167610269,66523;495.744:403.758
1167610269,72317;471.168:240.192
1167610269,77473;
1167610269,82816;469.728:232.956
1167610269,85237;418.56:149.364
1167610269,90766;425.76:138.888
1167610269,95785;459.744:168.21
1167610270,00573;459.552:148.176
1167610270,0529;458.592:152.766
1167610270,10129;701.76:145.908
1167610270,14759;749.952:100.008
1167610270,19106;754.56:77.22
1167610270,23891;
1167610270,29072;
1167610270,33624;
1167610270,36287;
1167610270,40759;
1167610270,47411;1329.984:191.97
1167610270,53479;
1167610270,59031;1447.68:276.048
1167610270,61583;1373.568:282.366
1167610270,68223;
1167610270,73247;
1167610270,77287;
1167610270,80459;
1167610270,83753;
1167610270,86673;
1167610270,89614;
1167610270,92579;
1167610270,96192;
1167610271,00118;
1167610271,04153;
1167610271,07037;
1167610271,11424;646.944:106.002
1167610271,1704;540.48:125.442
1167610271,21259;
1167610271,26549;545.76:248.022
1167610271,32327;525.12:247.428
1167610271,37913;
1167610271,43414;
