Timestamp;GazePoint
636199268727,394;
1167609990,61308;952.8:566.352
1167609990,66332;951.168:580.122
1167609990,70736;936.576:580.068
1167609990,7558;959.712:598.374
1167609990,7982;953.856:587.034
1167609990,84752;960.096:598.482
1167609990,89166;954.816:598.644
1167609990,93963;971.52:614.79
1167609990,98275;951.744:592.326
1167609991,03112;963.84:603.45
1167609991,07551;1053.888:460.836
1167609991,12552;1069.632:491.562
1167609991,17042;1065.408:488.052
1167609991,22006;1180.608:495.666
1167609991,2726;1165.248:469.368
1167609991,31769;1181.28:491.832
1167609991,36181;1174.752:497.664
1167609991,40653;1175.424:501.984
1167609991,45066;747.936:445.608
1167609991,4938;684.288:450.576
1167609991,53795;
1167609991,58172;686.688:462.564
1167609991,61307;683.424:452.034
1167609991,6619;679.68:490.32
1167609991,70864;697.536:499.986
1167609991,75037;674.208:490.806
1167609991,79368;690.048:516.24
1167609991,83707;666.912:780.138
1167609991,87957;666.528:786.834
1167609991,92356;668.352:780.516
1167609991,96888;686.592:773.118
1167609992,01328;713.856:877.662
1167609992,06662;732.288:880.092
1167609992,11129;739.488:892.35
1167609992,15921;718.272:877.986
1167609992,20763;485.184:706.752
1167609992,24967;520.128:707.4
1167609992,29834;509.472:707.616
1167609992,35671;502.368:720.738
1167609992,40813;464.448:681.372
1167609992,45112;459.072:677.376
1167609992,50141;469.536:680.832
1167609992,54645;472.704:689.634
1167609992,59759;478.368:649.674
1167609992,64827;455.424:596.214
1167609992,70544;455.712:609.822
1167609992,75773;460.224:613.332
1167609992,81328;458.784:607.392
1167609992,86372;309.408:691.848
1167609992,91806;326.88:692.226
1167609992,96799;312.48:696.114
1167609993,01707;320.928:697.302
1167609993,0649;314.688:699.624
1167609993,11214;309.6:698.922
1167609993,15907;309.216:700.056
1167609993,21076;323.328:703.188
1167609993,25455;299.136:708.426
1167609993,3025;307.68:697.194
1167609993,34928;297.792:697.356
1167609993,39691;301.632:703.566
1167609993,44484;296.928:704.106
1167609993,49313;300.768:701.028
1167609993,5404;300.384:702.108
1167609993,58773;302.784:710.208
1167609993,63472;305.184:698.436
1167609993,68128;302.016:709.128
1167609993,72813;303.84:701.568
1167609993,77464;304.608:878.256
1167609993,82057;307.68:871.992
1167609993,86708;310.176:871.182
1167609993,91275;304.896:873.18
1167609993,95855;309.024:871.776
1167609994,00411;299.04:870.426
1167609994,0503;292.8:876.96
1167609994,09627;424.8:561.816
1167609994,14274;433.056:558.576
1167609994,19019;424.416:573.156
1167609994,23837;690.432:465.696
1167609994,28642;679.008:470.61
1167609994,33075;681.888:465.426
1167609994,37968;671.232:467.748
1167609994,42346;663.36:461.16
1167609994,47193;724.512:482.706
1167609994,521;725.088:476.874
1167609994,57088;752.352:377.028
1167609994,62241;755.424:378.27
1167609994,67141;756.864:378.108
1167609994,7204;752.544:383.076
1167609994,77171;751.872:375.3
1167609994,82124;778.656:376.92
1167609994,87467;1239.648:358.938
1167609994,92091;1237.632:372.276
1167609994,97612;1263.168:399.816
1167609995,02712;1306.176:354.564
1167609995,07824;1290.24:370.008
1167609995,12898;1305.216:366.768
1167609995,18272;1417.632:341.604
1167609995,23094;1634.592:330.318
1167609995,28231;1641.984:323.784
1167609995,33007;1608.48:333.288
1167609995,38309;1611.84:335.61
1167609995,44049;1615.68:340.47
1167609995,49387;1555.68:335.178
1167609995,54257;1567.296:339.174
1167609995,59154;1552.224:336.96
1167609995,64211;1561.632:334.962
1167609995,69052;1539.456:326.43
1167609995,73834;
1167609995,78682;1529.664:335.988
1167609995,8222;1539.072:330.858
1167609995,8713;1536.096:326.862
1167609995,92223;1530.24:335.448
1167609995,97336;1545.6:330.48
1167609996,02327;1538.976:341.064
1167609996,07184;1533.792:343.656
1167609996,12157;1342.944:385.668
1167609996,17076;1306.56:378.594
1167609996,2198;1301.088:390.474
1167609996,26765;1298.4:398.574
1167609996,3154;1293.984:378.702
1167609996,36372;1352.16:553.176
1167609996,41536;1418.112:655.722
1167609996,46318;1404.096:650.916
1167609996,5125;1405.536:656.1
1167609996,56571;1406.784:647.568
1167609996,6148;1404.192:619.218
1167609996,6642;1408.128:612.63
1167609996,71233;1412.448:618.03
1167609996,76468;1407.552:619.92
1167609996,81462;1411.392:618.3
1167609996,86657;1408.992:700.866
1167609996,91576;1413.6:706.266
1167609996,96942;1407.264:711.234
1167609997,01722;1413.6:710.424
1167609997,06887;1406.496:696.06
1167609997,11538;1687.488:549.99
1167609997,16816;1686.72:552.582
1167609997,21678;1693.44:541.026
1167609997,26945;1707.552:584.388
1167609997,31763;1701.408:583.686
1167609997,37092;1711.584:592.974
1167609997,41983;1709.28:585.9
1167609997,4737;1714.176:586.71
1167609997,52334;1703.424:587.304
1167609997,57694;1705.248:597.834
1167609997,62726;1707.552:595.998
1167609997,67714;1703.136:588.762
1167609997,72824;1464.192:658.098
1167609997,77783;1457.28:662.418
1167609997,82855;1449.888:656.964
1167609997,87852;1429.824:675.0
1167609997,94384;1391.52:706.32
1167609997,99299;1386.048:703.512
1167609998,04196;1403.808:711.234
1167609998,09127;1385.088:709.992
1167609998,14164;1452.576:695.25
1167609998,1918;1446.72:688.986
1167609998,24231;1453.92:695.844
1167609998,29255;1451.616:688.122
1167609998,34277;1450.176:695.736
1167609998,39138;1387.2:684.828
1167609998,43979;1207.296:671.112
1167609998,48771;1205.088:671.814
1167609998,53796;1215.648:665.172
1167609998,58366;1207.584:671.49
1167609998,63021;1198.944:676.242
1167609998,68023;1174.272:686.988
1167609998,73017;1187.904:681.966
1167609998,78164;1190.688:690.876
1167609998,82969;1185.408:688.986
1167609998,88182;1049.952:823.824
