Timestamp;GazePoint
636199269573,433;
1167610075,19775;976.224:613.008
1167610075,24913;971.808:610.416
1167610075,29078;973.44:611.766
1167610075,33213;976.896:606.636
1167610075,37831;973.344:588.06
1167610075,42009;970.944:592.758
1167610075,46225;957.792:588.384
1167610075,50441;964.8:619.164
1167610075,54647;969.6:597.618
1167610075,59322;681.6:573.696
1167610075,63594;541.152:559.71
1167610075,68824;521.184:555.876
1167610075,73425;
1167610075,77579;561.792:542.538
1167610075,80672;539.328:562.842
1167610075,85593;404.064:456.84
1167610075,89757;419.808:456.732
1167610075,94458;434.208:420.984
1167610075,99411;439.392:428.382
1167610076,04942;441.408:432.648
1167610076,09515;450.816:426.438
1167610076,1475;448.032:422.226
1167610076,19006;440.928:406.35
1167610076,24648;439.008:378.432
1167610076,28972;439.008:378.27
1167610076,34681;443.712:407.43
1167610076,38989;460.992:556.848
1167610076,43835;472.608:561.06
1167610076,485;476.16:552.258
1167610076,53842;494.016:566.838
1167610076,58846;492.096:598.914
1167610076,63909;478.368:603.936
1167610076,69072;482.976:594.162
1167610076,74711;493.728:588.438
1167610076,79833;487.008:588.762
1167610076,84582;481.344:584.928
1167610076,89795;650.688:656.316
1167610076,94988;684.864:646.704
1167610077,00091;665.376:660.258
1167610077,0478;696.864:647.676
1167610077,09953;708.192:649.998
1167610077,14814;706.752:647.73
1167610077,19386;703.392:655.884
1167610077,23924;703.2:665.766
1167610077,28245;701.664:652.968
1167610077,32615;706.656:663.174
1167610077,37122;600.0:692.712
1167610077,41797;442.944:727.542
1167610077,46495;425.184:717.876
1167610077,51156;430.272:725.976
1167610077,56237;443.52:719.118
1167610077,61178;428.16:735.534
1167610077,6538;422.688:746.226
1167610077,69571;425.952:748.656
1167610077,73789;423.936:738.828
1167610077,77898;364.224:691.362
1167610077,82545;282.144:635.31
1167610077,86652;283.872:643.788
1167610077,90909;281.088:637.632
1167610077,95149;284.928:626.886
1167610077,99439;244.224:631.638
1167610078,04053;243.168:627.318
1167610078,08326;253.728:623.808
1167610078,13161;245.376:629.37
1167610078,17449;244.608:627.048
1167610078,22594;312.192:532.224
1167610078,26999;315.168:537.894
1167610078,32088;321.408:555.336
1167610078,36667;311.328:544.104
1167610078,41785;309.024:549.018
1167610078,463;509.664:577.638
1167610078,52726;501.696:571.104
1167610078,57422;499.584:581.31
1167610078,62529;499.584:595.944
1167610078,67589;516.096:603.558
1167610078,72973;525.984:608.742
1167610078,77998;544.224:600.318
1167610078,83513;523.968:606.096
1167610078,88068;438.528:508.896
1167610078,92827;460.32:488.322
1167610078,97935;465.504:504.414
1167610079,02206;466.56:508.41
1167610079,06435;461.952:509.058
1167610079,1067;457.824:512.028
1167610079,15113;440.64:522.666
1167610079,19611;425.952:520.668
1167610079,23997;440.832:525.474
1167610079,28874;445.248:532.656
1167610079,33513;533.568:592.974
1167610079,38011;519.552:592.38
1167610079,42459;528.192:602.64
1167610079,46833;515.808:597.132
1167610079,51223;505.152:597.564
1167610079,55954;524.064:613.71
1167610079,61391;528.672:590.868
1167610079,66584;500.256:605.502
1167610079,71206;505.728:608.742
1167610079,76593;520.608:605.232
1167610079,82049;503.616:612.738
