Timestamp;Action;ActionArgs;LeftEye;RightEye
9882,4369;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609882,47449;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609882,51778;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609882,5502;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609882,5853;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609882,84574;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609882,88342;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609882,9738;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609883,00632;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609883,14994;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609883,18723;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609883,65241;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609883,69704;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609883,74178;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609883,78643;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609883,8253;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609883,86995;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609883,91462;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609883,95464;EyeTracking;BothEyesTracked;[0,1794,0,4150];[0,1312,0,4812]
1167609883,99293;EyeTracking;BothEyesTracked;[0,1721,0,3068];[0,1196,0,4719]
1167609884,08563;EyeTracking;BothEyesTracked;[0,2059,0,4099];[0,1596,0,4617]
1167609884,1633;EyeTracking;BothEyesTracked;[0,2000,0,3552];[0,1640,0,4205]
1167609884,22914;EyeTracking;BothEyesTracked;[0,1990,0,3270];[0,1517,0,5193]
1167609884,3046;EyeTracking;BothEyesTracked;[0,1903,0,3414];[0,1524,0,3835]
1167609884,3662;EyeTracking;BothEyesTracked;[0,4477,0,3774];[0,4039,0,3918]
1167609884,43312;EyeTracking;BothEyesTracked;[0,4415,0,3510];[0,4103,0,4691]
1167609884,49921;EyeTracking;BothEyesTracked;[0,4448,0,3801];[0,3934,0,4441]
1167609884,57492;EyeTracking;BothEyesTracked;[0,4363,0,3136];[0,4103,0,3894]
1167609884,63655;EyeTracking;BothEyesTracked;[0,4401,0,3281];[0,4047,0,4895]
1167609884,68968;EyeTracking;BothEyesTracked;[0,4410,0,3811];[0,4101,0,4372]
1167609884,75528;EyeTracking;BothEyesTracked;[0,4635,0,1594];[0,4129,0,4810]
1167609884,8198;EyeTracking;BothEyesTracked;[0,4297,0,2119];[0,3997,0,5155]
1167609884,87653;EyeTracking;BothEyesTracked;[0,4488,0,3893];[0,4203,0,5267]
1167609884,94758;EyeTracking;BothEyesTracked;[0,4361,0,2874];[0,4164,0,4845]
1167609885,02141;EyeTracking;BothEyesTracked;[0,4515,0,3831];[0,4042,0,4547]
1167609885,10292;EyeTracking;BothEyesTracked;[0,4443,0,4024];[0,3969,0,5452]
1167609885,18427;EyeTracking;BothEyesTracked;[0,4497,0,3572];[0,3852,0,4789]
1167609885,254;EyeTracking;BothEyesTracked;[0,4546,0,4168];[0,3883,0,4732]
1167609885,32729;EyeTracking;BothEyesTracked;[0,4331,0,4153];[0,3962,0,5170]
1167609885,3987;EyeTracking;BothEyesTracked;[0,4495,0,4492];[0,4023,0,5471]
1167609885,45184;EyeTracking;BothEyesTracked;[0,5960,1,0545];[0,5694,1,0663]
1167609885,49488;EyeTracking;BothEyesTracked;[0,6194,1,0710];[0,5710,1,0637]
1167609885,54706;EyeTracking;BothEyesTracked;[0,5993,1,0508];[0,5918,1,0588]
1167609885,59113;EyeTracking;BothEyesTracked;[0,6026,1,0544];[0,5766,1,0610]
1167609885,63806;EyeTracking;BothEyesTracked;[0,6000,1,0609];[0,5702,1,0616]
1167609885,68508;EyeTracking;BothEyesTracked;[0,5991,1,0562];[0,5715,1,0683]
1167609885,73379;EyeTracking;BothEyesTracked;[0,7013,1,0966];[0,6370,1,2078]
1167609885,78395;EyeTracking;BothEyesTracked;[0,7595,1,1213];[0,6941,1,2386]
1167609885,82594;EyeTracking;BothEyesTracked;[0,7536,1,1110];[0,6825,1,2154]
1167609885,86819;EyeTracking;BothEyesTracked;[0,7436,1,1141];[0,6884,1,2272]
1167609885,90784;EyeTracking;BothEyesTracked;[0,7515,1,1135];[0,6776,1,2233]
1167609885,94972;EyeTracking;BothEyesTracked;[0,7483,1,1102];[0,6788,1,2239]
1167609885,98699;EyeTracking;BothEyesTracked;[0,7491,1,1059];[0,6858,1,2206]
1167609886,03316;EyeTracking;BothEyesTracked;[0,7523,1,1163];[0,6760,1,2236]
1167609886,07097;EyeTracking;BothEyesTracked;[0,6758,0,8697];[0,6448,0,9271]
1167609886,11313;EyeTracking;BothEyesTracked;[0,4668,0,4136];[0,4166,0,5031]
1167609886,15892;EyeTracking;BothEyesTracked;[0,4719,0,4172];[0,4319,0,5093]
1167609886,20488;EyeTracking;BothEyesTracked;[0,4844,0,4082];[0,4417,0,5064]
1167609886,25958;EyeTracking;BothEyesTracked;[0,4923,0,4189];[0,4171,0,5218]
1167609886,3004;EyeTracking;BothEyesTracked;[0,4715,0,4071];[0,4163,0,5178]
1167609886,34881;EyeTracking;BothEyesTracked;[0,4929,0,4225];[0,4377,0,5252]
1167609886,40012;EyeTracking;BothEyesTracked;[0,4941,0,4340];[0,4287,0,5222]
1167609886,44452;EyeTracking;BothEyesTracked;[0,5001,0,4333];[0,4463,0,5292]
1167609886,48573;EyeTracking;BothEyesTracked;[0,4925,0,4193];[0,4416,0,5207]
1167609886,53172;EyeTracking;BothEyesTracked;[0,5033,0,4476];[0,4475,0,5165]
1167609886,57197;EyeTracking;BothEyesTracked;[0,4942,0,4395];[0,4390,0,5135]
1167609886,61538;EyeTracking;BothEyesTracked;[0,4961,0,4332];[0,4405,0,5268]
1167609886,6547;EyeTracking;BothEyesTracked;[0,4979,0,4356];[0,4496,0,5101]
1167609886,69478;EyeTracking;BothEyesTracked;[0,4817,0,4524];[0,4262,0,5386]
1167609886,73493;EyeTracking;BothEyesTracked;[0,4477,0,4455];[0,3928,0,5281]
