Timestamp;GazePoint
636216522648,687;
1167610001,49074;
1167610001,52646;
1167610001,56288;
1167610001,60031;
1167610001,63757;1312.992:1185.354
1167610001,67414;1329.12:1189.404
1167610001,70563;1322.4:1193.508
1167610001,73981;1124.448:549.774
1167610001,77382;969.216:349.812
1167610001,80888;944.736:352.35
1167610001,8491;944.64:341.28
1167610001,88528;938.4:367.686
1167610001,92523;935.328:340.092
1167610001,96075;1038.432:384.21
1167610001,99635;1417.152:419.31
1167610002,03197;1406.592:441.828
1167610002,07438;1411.296:433.512
1167610002,11123;1404.192:426.006
1167610002,15366;1420.32:441.504
1167610002,19541;1451.52:453.168
1167610002,23298;1477.248:475.74
1167610002,2709;1473.024:495.828
1167610002,30694;1472.928:482.922
1167610002,34835;1466.016:491.994
1167610002,38297;1524.864:297.27
1167610002,42865;1506.048:322.65
1167610002,4678;1533.696:289.332
1167610002,5132;1528.512:299.322
1167610002,55241;1523.328:299.7
1167610002,60126;1526.4:296.136
1167610002,63595;1487.136:428.058
1167610002,67537;1350.72:808.65
1167610002,71014;1345.824:813.996
1167610002,75094;1344.96:818.64
1167610002,7862;1346.208:810.216
1167610002,82545;1349.664:823.878
1167610002,85971;1348.992:811.728
1167610002,89421;1081.44:639.738
1167610002,92868;
1167610002,96299;
1167610002,98846;
1167610003,01438;
1167610003,05846;
1167610003,0858;560.736:142.614
1167610003,10811;561.6:155.574
1167610003,1488;573.6:153.9
1167610003,1831;566.496:154.224
1167610003,22161;564.768:145.368
1167610003,25988;573.408:155.952
1167610003,29452;668.448:290.682
1167610003,33353;661.152:301.644
1167610003,37216;673.632:305.424
1167610003,41077;679.872:308.016
1167610003,44921;658.272:312.822
1167610003,48753;660.096:309.204
1167610003,52219;671.424:309.744
1167610003,56066;655.872:324.864
1167610003,59912;1089.504:366.552
1167610003,63394;1152.672:357.858
1167610003,66858;1155.744:370.224
1167610003,70293;1153.152:379.296
1167610003,73711;1158.72:374.976
1167610003,77125;1157.856:375.3
1167610003,80554;1154.592:383.292
1167610003,83977;1119.552:371.358
1167610003,8741;1110.336:364.23
1167610003,91183;1116.48:360.288
1167610003,94546;1105.344:364.338
1167610003,97955;1105.248:358.668
1167610004,01374;1113.216:364.014
1167610004,04786;1122.24:366.498
1167610004,08213;1167.84:353.7
1167610004,12005;1235.232:354.294
1167610004,15486;1240.128:342.414
1167610004,19429;1250.976:361.53
1167610004,22995;1240.224:345.546
1167610004,2711;1244.544:344.142
1167610004,30625;1174.752:347.814
1167610004,34531;595.008:388.26
1167610004,37946;600.864:397.872
1167610004,41911;606.912:394.254
1167610004,45392;607.296:407.7
1167610004,49344;599.424:396.9
1167610004,5283;613.728:402.354
1167610004,56686;565.824:423.198
1167610004,60235;561.696:417.96
1167610004,6413;567.36:408.24
1167610004,67574;559.872:402.57
1167610004,71398;550.56:412.182
1167610004,74754;502.176:130.572
1167610004,78176;516.48:120.96
1167610004,81733;
1167610004,8521;
1167610004,87762;
1167610004,90792;497.76:116.802
1167610004,93424;496.128:172.152
1167610004,96809;470.304:166.266
1167610005,00639;478.944:165.834
1167610005,04157;483.264:171.666
1167610005,08023;487.68:177.282
1167610005,11822;346.464:178.632
1167610005,15261;
1167610005,1909;207.36:184.248
1167610005,21628;205.824:180.036
1167610005,25092;182.688:181.548
1167610005,28515;180.0:186.84
1167610005,31915;189.12:187.596
1167610005,3533;184.896:147.528
1167610005,3875;183.36:152.226
1167610005,42206;182.976:163.404
1167610005,45637;183.936:150.174
1167610005,49076;174.336:167.886
1167610005,52492;181.536:153.414
1167610005,55886;175.008:165.888
1167610005,5931;369.12:429.732
1167610005,62709;388.992:423.036
1167610005,66057;381.696:425.736
1167610005,69464;376.32:428.49
1167610005,72862;380.928:425.736
1167610005,76227;387.264:443.772
1167610005,79949;376.608:426.06
1167610005,83306;470.4:474.93
1167610005,86799;466.272:462.186
1167610005,90221;469.92:464.076
1167610005,93654;460.224:458.082
1167610005,97188;467.424:470.394
1167610006,01057;465.12:470.826
1167610006,04574;
1167610006,08519;
1167610006,12034;
1167610006,16008;
1167610006,19477;
1167610006,23293;
1167610006,26712;
1167610006,30687;
1167610006,34154;
1167610006,38029;
1167610006,40544;
1167610006,43109;428.928:463.806
1167610006,47008;
1167610006,50592;429.888:439.56
1167610006,53575;441.408:450.63
1167610006,5734;443.232:466.506
1167610006,61187;480.768:462.348
1167610006,64598;480.288:458.082
1167610006,68032;476.352:447.444
1167610006,71478;471.648:477.144
1167610006,74987;431.616:398.088
1167610006,7843;411.168:351.108
1167610006,81878;418.56:354.78
1167610006,85316;417.12:359.478
1167610006,88755;417.408:356.94
1167610006,92208;421.92:345.6
1167610006,95611;417.6:355.482
1167610006,99039;566.976:389.556
1167610007,02489;565.344:380.646
1167610007,05922;570.624:387.612
1167610007,09359;574.464:386.37
1167610007,128;570.336:399.546
1167610007,16231;576.192:394.146
1167610007,19657;594.24:401.112
1167610007,23095;593.856:413.478
1167610007,26629;600.096:403.704
1167610007,30228;597.408:398.466
1167610007,33738;528.96:152.658
1167610007,37168;518.208:143.856
1167610007,40651;520.896:152.334
1167610007,44091;526.944:148.5
1167610007,47516;362.784:176.58
1167610007,50951;181.44:170.586
1167610007,54409;165.504:169.884
1167610007,57878;174.912:177.336
1167610007,61294;183.648:178.47
1167610007,64714;172.896:174.69
1167610007,68093;201.312:151.038
1167610007,71897;197.472:168.534
1167610007,75263;205.536:162.918
1167610007,78686;204.768:165.24
1167610007,82098;196.224:166.59
1167610007,85522;197.568:171.396
1167610007,8932;203.424:168.048
1167610007,92789;204.576:166.914
1167610007,96591;211.776:176.04
1167610008,00087;202.56:152.766
1167610008,04084;203.904:189.162
1167610008,07565;216.096:186.354
1167610008,11452;203.52:178.362
1167610008,14849;205.536:188.622
1167610008,18828;205.632:202.932
1167610008,22291;542.784:244.782
1167610008,2611;1113.792:325.674
1167610008,29528;1109.76:340.308
1167610008,33485;1113.312:328.59
1167610008,37029;1106.688:349.272
1167610008,41119;1113.792:346.032
1167610008,44729;1106.4:359.802
1167610008,48583;1108.608:362.34
1167610008,52028;
1167610008,55466;
1167610008,57976;951.552:521.532
1167610008,60547;946.752:564.786
1167610008,63991;948.864:575.748
1167610008,67352;947.136:583.47
1167610008,70853;946.848:575.478
1167610008,74341;947.904:574.992
1167610008,7779;949.152:585.198
1167610008,81308;742.656:704.052
1167610008,847;731.328:728.676
1167610008,88228;736.128:739.098
1167610008,91723;741.888:721.008
1167610008,95127;740.064:713.988
1167610008,98525;520.896:798.228
1167610009,0193;375.84:835.326
1167610009,05324;390.624:846.342
1167610009,08706;389.472:858.438
1167610009,12075;393.504:877.23
1167610009,15432;385.536:853.848
1167610009,18876;366.432:848.286
1167610009,22297;378.144:849.312
1167610009,25741;324.192:776.682
1167610009,29185;181.92:707.94
1167610009,32529;199.008:707.832
1167610009,35892;188.736:705.996
1167610009,39215;166.464:584.496
1167610009,4253;
1167610009,45868;
1167610009,49267;
1167610009,52631;
1167610009,5638;190.176:58.536
1167610009,597;
1167610009,63065;
1167610009,66417;
1167610009,69759;812.448:85.644
1167610009,7311;1608.0:61.668
1167610009,76872;1589.28:66.096
1167610009,80388;1549.248:84.186
1167610009,8414;1543.68:87.858
1167610009,87906;1550.016:110.7
1167610009,91842;1555.776:107.352
1167610009,95395;1549.536:85.32
1167610009,99745;1561.152:87.588
1167610010,03613;1546.752:89.262
1167610010,07718;1579.872:2.538
1167610010,11284;1576.992:13.338
1167610010,15223;
