Timestamp;GazePoint
636216521953,217;
1167609931,96193;986.4:476.28
1167609931,99684;990.72:444.96
1167609932,0355;988.992:455.22
1167609932,06985;993.984:442.26
1167609932,10446;976.224:467.694
1167609932,13909;978.048:475.956
1167609932,1739;984.864:478.926
1167609932,20849;982.368:487.08
1167609932,24692;607.968:380.322
1167609932,28214;558.24:346.626
1167609932,32128;561.024:356.67
1167609932,35718;563.424:353.646
1167609932,39781;566.208:352.782
1167609932,43392;560.064:361.908
1167609932,47292;580.512:408.834
1167609932,50708;575.04:394.092
1167609932,54669;579.36:401.004
1167609932,58115;586.08:403.11
1167609932,61992;576.288:409.266
1167609932,65426;565.536:415.26
1167609932,69281;539.904:344.25
1167609932,72752;452.64:90.774
1167609932,76728;445.344:73.872
1167609932,80225;446.688:80.514
1167609932,84149;434.592:76.842
1167609932,87598;447.456:79.596
1167609932,90992;412.128:97.632
1167609932,94483;424.128:110.376
1167609932,97981;419.136:97.416
1167609933,0141;410.208:100.818
1167609933,04812;422.4:90.342
1167609933,0821;427.968:99.036
1167609933,11613;425.088:102.006
1167609933,14979;418.368:94.5
1167609933,18339;1085.856:179.604
1167609933,21723;1451.616:141.642
1167609933,25166;1448.064:144.45
1167609933,28532;1448.448:160.65
1167609933,31937;1450.848:147.69
1167609933,35323;1455.264:158.868
1167609933,38699;1451.904:154.278
1167609933,42055;1447.008:170.316
1167609933,45442;1448.064:160.65
1167609933,48793;1362.528:194.508
1167609933,52186;1355.328:204.66
1167609933,55594;1355.136:198.72
1167609933,58959;1356.576:206.442
1167609933,62383;1371.072:195.21
1167609933,65799;1351.872:198.45
1167609933,6922;516.48:491.076
1167609933,72643;473.088:546.264
1167609933,76146;467.712:528.12
1167609933,79611;470.112:540.27
1167609933,83062;484.128:554.904
1167609933,8655;469.152:565.542
1167609933,90053;652.224:517.806
1167609933,9391;668.64:523.422
1167609933,97239;664.512:538.272
1167609934,00735;669.024:530.442
1167609934,041;667.488:525.744
1167609934,07499;668.928:533.682
1167609934,10897;663.744:548.424
1167609934,14587;661.92:537.084
