Timestamp;GazePoint
636216523536,648;
1167610090,2788;970.176:413.208
1167610090,3138;967.008:410.4
1167610090,35308;958.848:411.534
1167610090,3876;968.256:412.722
1167610090,42696;978.24:418.176
1167610090,46258;956.544:404.676
1167610090,50252;959.616:415.152
1167610090,53625;959.904:406.566
1167610090,57144;721.824:440.262
1167610090,60719;661.248:433.296
1167610090,64194;654.336:425.682
1167610090,67708;648.576:430.056
1167610090,71194;643.392:421.74
1167610090,74712;656.64:437.778
1167610090,7821;656.064:435.456
1167610090,81721;590.784:671.112
1167610090,85249;595.296:686.232
1167610090,88763;600.192:698.922
1167610090,9227;590.208:702.756
1167610090,95779;579.456:688.986
1167610090,99285;495.936:668.196
1167610091,0277;417.888:628.452
1167610091,06252;424.704:615.924
1167610091,0968;413.184:619.326
1167610091,13135;430.944:627.912
1167610091,16563;557.376:700.434
1167610091,20384;551.328:713.502
1167610091,2381;555.744:696.222
1167610091,273;561.696:710.91
1167610091,30734;550.752:701.082
1167610091,34146;549.408:704.538
1167610091,37573;545.088:743.31
1167610091,40998;553.728:761.346
1167610091,44436;561.984:752.49
1167610091,47856;548.448:755.298
1167610091,51294;550.272:761.292
1167610091,54816;128.064:611.01
1167610091,58624;69.216:590.436
1167610091,62141;143.424:585.576
1167610091,65713;141.792:598.32
1167610091,69319;132.96:577.314
1167610091,72838;130.464:603.504
1167610091,76392;142.752:600.696
1167610091,80291;148.224:591.84
1167610091,83923;248.544:630.828
1167610091,8785;583.2:726.948
1167610091,91281;580.416:746.064
1167610091,95327;586.752:734.832
1167610091,98872;586.272:729.108
1167610092,02809;590.016:729.27
1167610092,06362;591.552:732.726
1167610092,10511;600.0:728.514
1167610092,14059;573.408:726.3
1167610092,18022;570.528:726.408
1167610092,21507;571.584:728.19
1167610092,2544;577.056:727.758
1167610092,28991;577.344:710.262
1167610092,33026;576.864:715.608
1167610092,36556;558.816:731.592
1167610092,40509;561.12:724.788
1167610092,43945;568.32:723.276
1167610092,47447;566.976:723.438
1167610092,50986;585.408:735.588
1167610092,54477;574.752:733.05
1167610092,57999;579.936:746.766
1167610092,615;583.68:739.098
1167610092,65013;578.208:748.71
1167610092,68554;591.072:748.764
1167610092,72109;370.464:691.254
1167610092,75588;132.384:616.626
1167610092,79148;125.568:626.238
1167610092,82763;124.608:613.656
1167610092,86359;124.608:617.868
1167610092,8991;127.104:608.958
1167610092,93483;140.064:634.392
1167610092,97048;137.088:633.69
1167610093,00647;
1167610093,04213;109.248:600.966
1167610093,06787;
1167610093,10209;
1167610093,13118;
1167610093,16257;124.416:607.878
1167610093,19511;125.376:595.89
1167610093,2312;134.304:590.652
1167610093,26726;122.208:603.126
1167610093,30279;123.648:604.692
1167610093,33894;136.32:595.134
1167610093,37443;115.392:609.174
1167610093,41053;121.44:593.46
1167610093,44599;128.448:610.146
1167610093,48539;120.192:609.12
1167610093,52056;121.824:588.384
1167610093,55669;121.056:606.15
1167610093,59217;871.584:634.5
1167610093,6275;1596.672:654.642
1167610093,66323;1570.752:663.768
1167610093,7018;1581.984:645.894
1167610093,73712;1582.464:625.86
1167610093,77718;1569.12:658.206
1167610093,8142;1648.608:702.0
1167610093,85541;1653.504:719.334
1167610093,89139;1648.608:717.066
1167610093,93111;1659.456:701.568
1167610093,96634;1653.024:706.428
