Timestamp;GazePoint
636216524230,358;
1167610159,63158;972.864:528.714
1167610159,66595;969.408:526.5
1167610159,69944;982.176:528.012
1167610159,73354;987.168:528.984
1167610159,76683;976.896:530.172
1167610159,80032;974.688:521.046
1167610159,8343;970.848:515.7
1167610159,86823;982.272:530.928
1167610159,90211;979.872:515.538
1167610159,93596;1272.768:425.034
1167610159,96999;1343.712:439.236
1167610160,00414;1338.432:447.768
1167610160,03832;1337.184:432.27
1167610160,07207;1334.688:451.224
1167610160,10627;1182.72:442.314
1167610160,14017;483.36:455.922
1167610160,17413;481.344:447.606
1167610160,20866;491.52:450.576
1167610160,2431;486.912:465.156
1167610160,27715;492.384:459.108
1167610160,31114;508.224:472.878
1167610160,34888;673.728:562.464
1167610160,3818;675.936:569.052
1167610160,41991;665.28:553.5
1167610160,45389;669.888:574.074
1167610160,48747;679.392:573.588
1167610160,52141;667.776:553.392
1167610160,55892;664.032:331.128
1167610160,59321;669.408:343.872
1167610160,63243;656.352:344.142
1167610160,66783;653.664:342.792
1167610160,70793;655.008:347.166
1167610160,7435;
1167610160,78339;
1167610160,81313;
1167610160,84279;646.176:554.634
1167610160,86979;650.496:564.192
1167610160,91376;658.848:571.212
1167610160,94786;653.088:556.632
1167610160,98748;654.816:553.608
1167610161,02311;654.048:558.036
1167610161,06333;648.096:554.148
1167610161,09944;663.072:565.704
1167610161,13853;668.544:573.912
1167610161,17721;652.032:549.882
1167610161,21252;658.56:558.468
1167610161,24799;672.192:568.836
1167610161,284;
1167610161,31937;
1167610161,34448;
1167610161,3697;662.304:553.716
1167610161,39527;629.568:294.408
1167610161,42994;642.912:326.916
1167610161,4658;628.704:325.026
1167610161,5015;625.152:322.272
1167610161,53745;622.464:321.894
1167610161,57274;627.264:317.844
1167610161,60858;630.336:311.958
1167610161,64497;635.232:361.746
1167610161,68072;
1167610161,71711;
1167610161,74753;
1167610161,77449;
1167610161,80249;
1167610161,83468;
1167610161,86044;
1167610161,88646;
1167610161,91219;
1167610161,93806;
1167610161,96453;
1167610161,99188;
1167610162,03053;
1167610162,05988;
1167610162,09033;
1167610162,12082;
1167610162,15141;
1167610162,19014;
1167610162,22922;
1167610162,26784;
1167610162,3128;
1167610162,35773;
1167610162,39689;
1167610162,44183;
1167610162,48674;
1167610162,52775;1239.936:537.192
1167610162,56621;1224.672:540.0
1167610162,61586;
1167610162,66476;
1167610162,69523;1499.136:251.748
1167610162,7291;1500.576:234.63
1167610162,76476;1505.664:234.144
1167610162,80543;1496.736:245.106
1167610162,84144;1467.744:236.412
1167610162,88064;1462.944:248.508
1167610162,91612;1477.824:255.636
1167610162,96076;1470.912:242.514
1167610162,99613;1237.152:381.024
1167610163,03741;1224.96:395.604
1167610163,07327;1218.432:390.582
1167610163,11374;1217.952:388.098
1167610163,1499;1412.928:194.238
1167610163,1863;1466.88:213.516
1167610163,224;1449.12:226.8
1167610163,26044;1463.616:221.238
1167610163,30332;1462.656:224.1
1167610163,34014;1466.88:211.734
1167610163,3823;1471.392:215.622
1167610163,41809;1470.528:223.668
1167610163,45449;1429.248:221.94
1167610163,49632;1438.08:210.384
1167610163,53372;1442.304:209.52
1167610163,5706;1429.92:209.952
1167610163,60694;1438.848:206.28
1167610163,64477;1048.992:655.452
1167610163,6818;977.76:900.288
1167610163,7185;961.056:914.436
1167610163,75316;946.752:911.412
1167610163,78839;948.096:908.442
1167610163,82399;947.616:917.73
1167610163,86035;1223.04:880.2
1167610163,8965;1608.768:857.358
1167610163,93207;1617.408:872.91
1167610163,9681;
1167610164,00524;
1167610164,03126;1625.664:861.246
1167610164,06647;1624.128:868.158
1167610164,10095;1604.544:958.068
1167610164,13682;
1167610164,17105;
1167610164,19655;
1167610164,22239;1868.064:627.966
1167610164,26123;
1167610164,29714;1867.584:625.212
1167610164,32314;1862.016:634.176
1167610164,36385;1874.112:623.052
1167610164,40225;1865.856:641.466
1167610164,43742;1855.2:624.132
1167610164,47658;1479.264:471.744
1167610164,51211;1476.864:470.502
1167610164,55552;1484.736:478.17
1167610164,5923;1491.552:464.454
1167610164,63215;1482.048:479.682
1167610164,66799;1488.0:472.014
1167610164,71477;1484.256:484.812
1167610164,75073;1327.296:1092.258
1167610164,79051;1317.024:1428.084
1167610164,8271;
1167610164,87167;
1167610164,91346;1322.592:1413.72
1167610164,94729;
1167610164,98396;1383.744:1184.49
1167610165,02265;1399.296:1187.244
1167610165,05831;1387.584:1192.536
1167610165,09284;1400.64:1170.234
1167610165,12918;1389.408:1181.736
1167610165,1634;1395.072:1194.21
1167610165,19954;1311.84:1238.706
1167610165,23386;1325.088:1248.102
1167610165,27059;1315.68:1253.502
1167610165,30819;1317.504:1244.646
1167610165,34379;
1167610165,37941;
1167610165,41159;1311.072:1253.394
1167610165,44397;1316.064:1267.434
1167610165,48134;1300.32:1303.074
1167610165,5165;1293.504:1323.972
1167610165,55357;1288.896:1332.882
1167610165,59075;1296.0:1334.664
1167610165,63031;
1167610165,668;
1167610165,70397;
1167610165,74068;
1167610165,77794;
1167610165,81646;
1167610165,85383;
1167610165,8936;
1167610165,93376;
1167610165,97624;
1167610166,01863;
1167610166,06224;
1167610166,10558;
1167610166,15734;
1167610166,2048;
1167610166,24433;
1167610166,28287;
1167610166,33539;1292.16:1300.968
1167610166,38275;1282.56:1292.922
1167610166,42347;1282.176:1307.88
1167610166,46592;1305.312:1306.206
1167610166,51343;
1167610166,55946;
1167610166,60139;
1167610166,63985;
1167610166,67896;
1167610166,72365;1306.656:1326.564
1167610166,76882;1316.736:1306.368
1167610166,81133;1316.16:1359.018
1167610166,85072;1312.032:1345.68
1167610166,89767;1311.456:1351.89
1167610166,9421;1314.336:1340.172
1167610166,98956;1279.008:1338.714
1167610167,03073;
1167610167,07747;1210.368:1327.806
1167610167,10529;
1167610167,14334;
1167610167,1792;
1167610167,22799;1281.696:1274.67
1167610167,27252;1460.928:1182.87
1167610167,30916;1454.208:1186.974
1167610167,34674;1459.488:1185.03
1167610167,38378;1451.04:1188.0
1167610167,42105;1461.408:1198.8
1167610167,45825;1457.472:1170.072
1167610167,49549;1456.128:1195.992
1167610167,53269;1457.088:1192.266
1167610167,57122;1387.008:1093.608
1167610167,60691;1384.224:1102.14
1167610167,64374;1393.728:1105.272
