Timestamp;Action;ActionArgs;LeftEye;RightEye
9791,6229;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609791,66552;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609791,7097;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609791,7482;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609791,79241;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609791,83656;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609791,87605;EyeTracking;BothEyesTracked;[0,1922,0,3978];[0,1863,0,3708]
1167609791,91505;EyeTracking;OnlyRightEyeTracked;[-,-];[0,1426,0,3801]
1167609791,97659;EyeTracking;BothEyesTracked;[0,1904,0,4120];[0,1762,0,3739]
1167609792,02468;EyeTracking;BothEyesTracked;[0,1877,0,4118];[0,1875,0,3862]
1167609792,07672;EyeTracking;BothEyesTracked;[0,1900,0,3740];[0,1803,0,3771]
1167609792,12531;EyeTracking;BothEyesTracked;[0,1942,0,3320];[0,1826,0,4020]
1167609792,1776;EyeTracking;BothEyesTracked;[0,1924,0,3882];[0,1806,0,3962]
1167609792,22598;EyeTracking;BothEyesTracked;[0,2157,0,3416];[0,1788,0,4040]
1167609792,27935;EyeTracking;BothEyesTracked;[0,1999,0,3421];[0,1822,0,4061]
1167609792,32693;EyeTracking;BothEyesTracked;[0,2205,0,3314];[0,1916,0,3974]
1167609792,37873;EyeTracking;BothEyesTracked;[0,1391,0,4092];[0,1401,0,3804]
1167609792,42571;EyeTracking;BothEyesTracked;[0,1056,0,4430];[0,0973,0,4620]
1167609792,47916;EyeTracking;BothEyesTracked;[0,0840,0,4305];[0,1038,0,4371]
1167609792,51861;EyeTracking;BothEyesTracked;[0,1022,0,4894];[0,1100,0,4451]
1167609792,57095;EyeTracking;BothEyesTracked;[0,1090,0,3735];[0,0965,0,4540]
1167609792,61889;EyeTracking;BothEyesTracked;[0,1092,0,4338];[0,1085,0,4454]
1167609792,67075;EyeTracking;BothEyesTracked;[0,1130,0,4918];[0,0923,0,4738]
1167609792,71947;EyeTracking;BothEyesTracked;[0,0794,0,4622];[0,1008,0,4494]
1167609792,77182;EyeTracking;BothEyesTracked;[0,1322,0,2022];[0,1359,0,2041]
1167609792,81975;EyeTracking;BothEyesTracked;[0,1395,0,2225];[0,1403,0,1577]
1167609792,87172;EyeTracking;BothEyesTracked;[0,1381,0,2225];[0,1464,0,1743]
1167609792,92147;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609792,95598;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609792,98822;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609793,01489;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609793,04152;EyeTracking;BothEyesTracked;[0,1300,0,2938];[0,1371,0,2499]
1167609793,08215;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609793,11531;EyeTracking;BothEyesTracked;[0,1290,0,3166];[0,1380,0,2445]
1167609793,14036;EyeTracking;BothEyesTracked;[0,1280,0,2894];[0,1246,0,2310]
1167609793,1772;EyeTracking;BothEyesTracked;[0,1193,0,2887];[0,1306,0,2599]
1167609793,21108;EyeTracking;BothEyesTracked;[0,1276,0,2984];[0,1271,0,2627]
1167609793,24612;EyeTracking;BothEyesTracked;[0,1205,0,2947];[0,1245,0,2577]
1167609793,2813;EyeTracking;BothEyesTracked;[0,1256,0,2994];[0,1274,0,2552]
1167609793,31624;EyeTracking;BothEyesTracked;[0,1230,0,2872];[0,1135,0,2584]
