Timestamp;GazePoint
636193819298,881;
1167609786,24455;
1167609786,28267;
1167609786,34068;
1167609786,39193;
1167609786,4761;
1167609786,59034;
1167609786,6415;741.312:665.388
1167609786,66362;702.72:616.896
1167609786,71013;703.968:610.47
1167609786,7497;664.704:624.294
1167609786,79051;600.96:615.384
1167609786,82986;602.016:607.446
1167609786,87414;601.152:617.274
1167609786,91151;601.152:625.914
1167609786,95425;671.136:567.486
1167609786,99023;812.064:492.48
1167609787,03287;792.576:510.138
1167609787,06891;795.456:518.13
1167609787,10954;
1167609787,14511;
1167609787,17515;819.936:529.254
1167609787,20733;796.128:517.158
1167609787,24817;
1167609787,28395;1416.672:533.196
1167609787,31966;1397.088:532.332
1167609787,35516;1417.92:532.602
1167609787,39189;1406.016:530.28
1167609787,42598;1403.808:527.85
1167609787,4598;
1167609787,49384;1371.84:559.656
1167609787,51894;1279.872:772.956
1167609787,55879;1287.072:785.214
1167609787,59296;1250.592:783.486
1167609787,62829;1274.016:784.188
1167609787,66332;1268.352:771.228
1167609787,69867;1278.432:782.244
1167609787,73391;1273.728:783.0
1167609787,76947;1310.688:873.072
1167609787,80465;1291.776:903.744
1167609787,84011;1304.256:898.83
1167609787,87598;1297.44:908.82
1167609787,91324;1289.952:895.86
1167609787,9487;1290.048:911.25
1167609787,99175;1257.6:894.024
1167609788,03363;1272.0:895.428
1167609788,07026;1278.336:888.084
1167609788,10683;1260.672:724.788
1167609788,14377;1234.368:750.222
1167609788,18096;1250.304:749.25
1167609788,21858;1246.176:723.006
1167609788,25577;1242.336:737.046
1167609788,29324;1240.32:742.392
1167609788,33081;1375.296:484.758
1167609788,36817;1487.904:261.9
1167609788,40861;1477.728:281.178
1167609788,44467;1473.504:303.318
1167609788,48167;1473.696:322.866
1167609788,52039;1528.992:316.926
1167609788,55598;1523.04:321.948
1167609788,59361;1523.04:329.724
1167609788,63346;1525.824:322.164
1167609788,67089;1525.056:329.076
1167609788,7127;1521.216:369.684
1167609788,75065;1536.0:373.734
1167609788,79495;1517.856:386.478
1167609788,83292;1527.072:378.972
1167609788,8752;1527.936:400.95
1167609788,91236;1531.104:380.862
1167609788,95558;1525.344:381.564
1167609788,99322;1517.856:396.36
1167609789,03612;1395.072:645.516
1167609789,0726;1324.992:806.166
1167609789,11407;1322.88:816.642
1167609789,15294;1320.096:815.724
1167609789,19585;1331.52:818.37
1167609789,23356;1322.88:796.23
1167609789,27516;1319.232:804.816
1167609789,31162;1311.84:728.514
1167609789,34862;1319.232:725.544
1167609789,38459;
1167609789,42072;1308.096:720.63
1167609789,46455;1191.648:584.982
1167609789,50087;1178.016:573.102
1167609789,53758;1183.872:573.048
1167609789,57327;1178.304:536.652
1167609789,60914;1178.112:531.198
1167609789,64612;1214.688:580.122
1167609789,6823;1208.64:554.742
1167609789,72554;1220.736:588.816
1167609789,76226;1219.392:591.894
1167609789,79991;1227.36:612.306
1167609789,83676;1209.6:446.688
1167609789,87382;1204.32:447.714
1167609789,9113;1219.776:444.528
1167609789,94879;
1167609789,98606;
1167609790,01374;
1167609790,0429;
1167609790,0724;
1167609790,10247;
1167609790,13235;
1167609790,16172;
1167609790,19016;
1167609790,22139;
1167609790,25063;
1167609790,27909;
1167609790,31206;
1167609790,34377;
1167609790,38544;
1167609790,43044;
1167609790,49454;
1167609790,5525;
1167609790,64787;
1167609790,76182;
1167609790,84313;
1167609790,88761;
1167609790,92638;
1167609790,97082;
1167609791,01521;
1167609791,05738;
1167609791,10554;
1167609791,14628;
1167609791,18481;
1167609791,22921;
1167609791,30617;
1167609791,38487;
1167609791,45886;
1167609791,52251;
1167609791,63258;
1167609791,65396;
1167609791,69649;
1167609791,73472;
1167609791,77295;
1167609791,80823;
1167609791,8495;
1167609791,88768;
1167609791,93236;
1167609792,01633;
1167609792,05595;
1167609792,09982;
1167609792,17855;
1167609792,28625;
1167609792,33006;
1167609792,36807;
1167609792,41186;
1167609792,45568;
1167609792,49211;
1167609792,53035;
1167609792,69916;
1167609792,74549;
1167609792,99213;
1167609793,07535;
1167609793,12026;
1167609793,17055;
1167609793,22111;
1167609793,26812;
1167609793,31932;
1167609793,35852;
1167609793,39579;
1167609793,438;
1167609793,47514;
1167609793,51762;
1167609793,55569;
1167609793,59918;
1167609793,65948;
1167609793,70121;
1167609793,76208;
1167609793,80179;
1167609793,83886;
1167609793,88147;
1167609793,91954;
1167609793,97516;
1167609794,02234;
1167609794,14161;
1167609794,21618;
1167609794,26157;
1167609794,39706;
1167609794,4349;
1167609794,4895;
1167609794,54363;
1167609794,58288;
1167609794,66635;
1167609794,71076;
1167609794,74531;
1167609794,79198;
1167609794,83113;
1167609794,86762;
1167609794,90247;
1167609794,94091;
1167609794,97933;
1167609795,01716;
1167609795,05436;
1167609795,09458;
1167609795,13486;
1167609795,17205;
1167609795,21052;
1167609795,24886;
1167609795,28734;
1167609795,32887;
1167609795,36882;
1167609795,40834;
1167609795,43615;
1167609795,47156;
1167609795,49829;
1167609795,53155;
1167609795,55818;
1167609795,59022;
1167609795,61698;
1167609795,64619;
1167609795,67295;
1167609795,7028;
1167609795,72983;
1167609795,75291;
1167609795,7809;
1167609795,80912;
1167609795,83619;
1167609795,87075;
1167609795,9005;
1167609795,93554;
1167609795,9665;
1167609796,00198;
1167609796,03218;
1167609796,07329;167.904:884.466
1167609796,09712;163.584:866.376
1167609796,13453;144.48:967.95
1167609796,17012;
1167609796,20514;165.504:1037.07
1167609796,23219;196.128:1068.336
1167609796,26707;177.6:1043.55
1167609796,30323;176.352:1046.034
1167609796,33937;187.392:1050.3
1167609796,37515;189.792:1056.564
1167609796,41132;175.104:1063.53
1167609796,44866;
1167609796,48597;
1167609796,52511;
1167609796,56353;
1167609796,59315;
1167609796,6319;
1167609796,67428;
1167609796,7133;187.392:210.654
1167609796,75311;177.312:208.494
1167609796,78792;165.792:208.98
1167609796,82489;149.088:164.754
1167609796,86514;151.296:186.786
1167609796,90065;145.056:173.178
1167609796,94187;155.232:189.324
1167609796,97816;165.408:180.684
1167609797,0209;568.416:213.03
1167609797,05718;551.04:231.876
1167609797,09663;553.248:232.2
1167609797,13134;560.448:238.572
1167609797,17285;548.352:241.488
1167609797,20813;554.976:242.514
1167609797,24936;558.624:251.262
1167609797,28508;549.696:253.206
1167609797,32514;594.048:249.21
1167609797,3613;811.968:162.378
1167609797,40214;805.92:161.298
1167609797,43819;816.384:157.41
1167609797,47791;820.992:167.292
1167609797,51372;802.272:168.318
1167609797,55022;798.048:175.392
1167609797,58586;787.296:199.206
1167609797,62169;805.728:180.684
1167609797,65706;972.672:192.726
1167609797,69323;1051.68:157.572
1167609797,72924;1053.408:187.542
1167609797,76467;1072.416:162.432
1167609797,80092;1041.408:188.244
1167609797,83712;1056.096:161.352
1167609797,87622;1059.648:175.176
1167609797,91573;1170.336:141.642
1167609797,95449;1338.336:115.668
1167609797,99306;1330.656:117.396
1167609798,02954;1333.92:120.852
1167609798,06722;1314.72:132.786
1167609798,10624;1319.616:132.678
1167609798,14439;1324.416:129.06
1167609798,18369;1320.96:121.878
1167609798,22138;1470.528:322.596
1167609798,25905;1538.496:344.25
1167609798,29683;1546.272:337.014
1167609798,33377;1552.224:368.82
1167609798,37037;1561.344:360.126
1167609798,40831;1555.584:349.65
1167609798,44519;1549.536:362.394
1167609798,48131;1845.504:132.57
1167609798,51723;1822.752:144.072
1167609798,55739;1829.472:146.772
1167609798,59387;1828.032:153.792
1167609798,63625;1834.368:150.984
1167609798,67334;1827.456:158.436
1167609798,71035;1833.504:152.55
1167609798,74712;1799.328:147.474
1167609798,78611;1794.624:152.766
1167609798,82229;1792.704:153.468
1167609798,86215;1802.496:148.23
1167609798,89983;1801.728:148.716
1167609798,94841;1797.984:149.526
1167609798,98473;1812.192:150.39
1167609799,02665;1818.624:207.684
1167609799,06316;1816.416:255.636
1167609799,1048;1813.248:245.916
1167609799,14106;1820.832:244.944
1167609799,18223;1809.504:258.444
1167609799,21942;1838.016:461.646
1167609799,26013;1823.52:460.512
1167609799,29813;1814.112:453.816
1167609799,34094;1821.6:448.524
1167609799,37847;1815.936:481.68
1167609799,41995;1812.96:460.188
1167609799,4566;1841.856:640.008
1167609799,49392;1857.792:763.992
1167609799,53207;1834.944:783.54
1167609799,56917;1841.76:775.17
1167609799,60652;1828.8:781.542
1167609799,64429;1859.808:673.758
1167609799,68226;1850.016:682.614
1167609799,7204;1861.44:677.862
1167609799,75734;1851.456:692.01
1167609799,79532;1858.464:703.89
1167609799,83294;1857.408:677.754
1167609799,87156;1847.136:695.358
1167609799,90949;1861.92:690.876
1167609799,94826;1842.24:687.258
1167609799,98584;1861.728:692.496
1167609800,02388;1875.36:683.586
1167609800,06173;1866.72:680.778
1167609800,09866;1858.176:679.698
1167609800,136;1856.928:696.708
1167609800,1728;1846.464:692.604
1167609800,21006;1845.312:699.57
1167609800,24721;1855.584:684.504
1167609800,28515;1854.528:702.0
1167609800,32229;1843.2:703.836
1167609800,35947;1825.92:714.312
1167609800,39647;1842.72:743.094
1167609800,43318;1828.032:737.856
1167609800,47053;1847.424:730.836
1167609800,51134;1851.84:742.392
1167609800,54793;1871.232:726.03
1167609800,58537;1857.024:724.842
1167609800,62264;1848.96:726.786
1167609800,65984;1857.312:742.608
1167609800,70099;1822.848:697.896
1167609800,73845;1815.552:690.498
1167609800,77892;
1167609800,81757;1855.296:720.954
1167609800,85096;1656.576:701.46
1167609800,88987;1636.032:718.632
1167609800,9323;1619.712:704.538
1167609800,97113;1629.504:716.31
1167609801,01022;1630.56:712.908
