Timestamp;GazePoint
636193819988,99;
1167609855,21349;939.648:591.84
1167609855,25327;937.92:596.916
1167609855,2874;948.864:602.154
1167609855,32244;937.824:608.526
1167609855,35757;938.496:600.912
1167609855,39307;931.104:611.118
1167609855,42834;926.496:614.574
1167609855,46369;940.8:586.98
1167609855,49931;671.808:604.53
1167609855,53486;508.032:583.632
1167609855,57053;519.168:589.356
1167609855,60574;517.728:583.686
1167609855,64045;511.488:583.524
1167609855,67555;520.896:582.444
1167609855,71008;559.392:597.132
1167609855,74563;636.0:641.574
1167609855,7812;619.872:608.742
1167609855,81674;
1167609855,85232;
1167609855,87842;
1167609855,90434;
1167609855,93153;
1167609855,9589;
1167609855,99297;
1167609856,0212;385.824:642.708
1167609856,06621;397.632:646.542
1167609856,1097;
1167609856,14878;390.624:644.706
1167609856,17592;375.552:627.102
1167609856,21411;385.824:655.236
1167609856,25188;390.528:649.998
1167609856,289;379.392:651.996
1167609856,33009;379.392:650.322
1167609856,36737;379.776:649.728
1167609856,40457;395.808:647.676
1167609856,44211;387.264:653.13
1167609856,47974;411.552:348.462
1167609856,51913;431.808:211.842
1167609856,56062;435.456:207.306
1167609856,59935;435.168:215.19
1167609856,64246;449.376:217.188
1167609856,68115;444.672:213.624
1167609856,72532;434.592:204.12
1167609856,76395;201.888:793.26
1167609856,80767;287.904:991.764
1167609856,8484;302.688:986.58
1167609856,89326;288.288:803.034
1167609856,93266;269.28:805.518
1167609856,97645;
1167609857,01474;
1167609857,04769;
1167609857,08396;
1167609857,11031;
1167609857,13683;
1167609857,16637;
1167609857,20318;
1167609857,22606;
1167609857,25457;
1167609857,28228;
1167609857,31097;
1167609857,34068;
1167609857,37177;
1167609857,40994;
1167609857,4487;1466.592:436.644
1167609857,48255;
1167609857,52056;1415.424:468.18
1167609857,55856;1406.4:462.888
1167609857,59741;1367.616:291.438
1167609857,63514;
1167609857,67295;1358.688:290.682
1167609857,70514;1366.272:304.074
1167609857,74222;1370.208:290.628
1167609857,77955;1372.224:288.738
1167609857,81698;1673.472:257.364
1167609857,85453;1666.656:271.836
1167609857,89196;1667.712:266.652
1167609857,9302;1663.2:253.152
1167609857,96823;1668.96:230.958
1167609858,00622;1701.984:254.232
1167609858,04448;1694.88:271.782
1167609858,08276;1699.968:262.278
1167609858,1205;1706.496:232.794
1167609858,15855;1710.336:269.568
1167609858,19721;1705.632:256.824
1167609858,23971;1719.072:235.818
1167609858,27822;1705.248:258.552
1167609858,31706;1704.576:259.578
1167609858,35498;1697.184:252.72
1167609858,39382;1694.688:259.2
1167609858,43428;1697.856:261.954
1167609858,47437;1696.224:263.52
1167609858,51178;1705.248:251.208
1167609858,55522;1689.6:263.088
1167609858,59437;1701.6:250.182
1167609858,63821;1682.976:285.768
1167609858,677;1500.0:481.896
1167609858,71887;1488.576:493.182
1167609858,75613;1490.784:503.334
1167609858,79888;1454.016:475.578
1167609858,83743;1445.856:481.464
1167609858,87982;1448.16:483.948
1167609858,91767;1446.144:477.792
1167609858,96021;1448.064:476.982
1167609858,99832;1440.288:489.564
1167609859,04228;1432.992:477.684
1167609859,08123;1613.472:447.12
1167609859,12409;1727.232:417.42
1167609859,16136;1731.936:420.984
1167609859,20023;1722.144:427.086
1167609859,23856;1721.472:425.952
1167609859,2765;1728.096:416.664
1167609859,31477;1722.816:423.738
1167609859,35199;1728.48:415.908
1167609859,38956;1720.512:415.638
1167609859,42585;1710.816:478.062
1167609859,46273;1715.616:866.97
1167609859,49972;1715.04:888.624
1167609859,53773;1708.32:869.4
1167609859,57452;1693.44:907.092
1167609859,61117;1700.064:812.97
1167609859,64778;1686.624:815.778
1167609859,68435;1683.072:823.716
1167609859,72013;1688.256:826.74
1167609859,75616;1621.056:871.992
1167609859,79256;1477.728:967.788
1167609859,82875;1466.496:976.698
1167609859,86452;1462.656:980.532
1167609859,90026;1455.072:998.082
1167609859,93699;1467.168:985.176
1167609859,97475;1455.648:981.504
1167609860,01126;1459.104:976.968
1167609860,04696;1468.704:967.572
1167609860,08417;1471.584:958.284
1167609860,12073;1444.8:971.19
1167609860,15784;1454.016:972.162
1167609860,19808;1464.48:961.74
1167609860,23355;1461.12:972.324
1167609860,26906;1448.832:982.746
1167609860,30466;1452.48:968.868
1167609860,34011;1449.024:971.19
1167609860,37579;1445.088:964.008
1167609860,4151;1458.72:952.398
1167609860,45068;1432.992:969.84
1167609860,49016;1437.312:966.708
1167609860,5258;1449.792:965.412
1167609860,56782;1445.76:960.498
1167609860,60442;1456.608:958.122
1167609860,64454;1448.064:941.112
1167609860,68057;1459.2:934.848
1167609860,72191;1128.192:822.744
1167609860,75881;
1167609860,79987;
1167609860,82631;
1167609860,85278;
1167609860,88099;
1167609860,90692;
1167609860,93411;
1167609860,96173;
1167609860,98948;
1167609861,02782;
1167609861,07021;
1167609861,09797;
1167609861,13114;
1167609861,17544;
1167609861,21879;
1167609861,26747;
1167609861,31182;
1167609861,35827;
1167609861,40536;
1167609861,44055;
1167609861,47634;
1167609861,51712;
1167609861,55607;
1167609861,59298;943.104:418.824
1167609861,61813;950.304:420.012
1167609861,66062;959.04:424.224
1167609861,69843;949.92:422.604
1167609861,73646;1337.088:645.786
1167609861,773;1471.392:844.452
1167609861,81014;1480.128:864.378
1167609861,84618;1475.136:848.988
1167609861,88155;1421.28:873.774
1167609861,91655;1477.056:1108.296
1167609861,95106;1451.136:1163.754
1167609861,9853;1442.688:1118.07
1167609862,01899;1474.848:1117.854
1167609862,05514;1420.896:1135.512
1167609862,08739;
1167609862,12029;
1167609862,1454;
1167609862,17278;
1167609862,1986;
1167609862,22939;1309.152:1274.184
1167609862,26396;1293.792:1263.924
1167609862,29926;1335.072:1230.768
1167609862,33868;1350.528:1214.406
1167609862,37364;1286.4:1264.248
1167609862,41294;1298.592:1256.364
1167609862,44723;1308.48:1236.33
1167609862,48588;1335.936:1228.608
1167609862,51975;1274.88:1258.092
1167609862,55976;951.744:1187.784
1167609862,59469;912.0:1208.034
1167609862,6339;904.128:1201.446
1167609862,66782;916.608:1191.078
1167609862,70642;898.56:1218.564
1167609862,74118;918.816:1301.562
1167609862,78081;
1167609862,81574;940.032:1201.878
1167609862,84517;959.712:1204.146
1167609862,87928;937.632:1216.458
1167609862,91358;921.504:1226.34
1167609862,94882;
1167609862,98313;
1167609863,00872;940.224:1250.856
1167609863,03584;
1167609863,07221;951.552:1267.11
1167609863,09816;938.592:1260.468
1167609863,13364;960.768:1252.152
1167609863,16894;947.712:1281.042
1167609863,20412;951.936:1241.028
1167609863,23956;909.504:1226.286
1167609863,275;576.0:881.82
1167609863,31047;444.576:854.982
1167609863,34611;472.608:866.322
1167609863,38341;467.136:868.914
1167609863,42069;470.112:850.608
1167609863,45797;466.08:867.564
1167609863,49477;571.68:904.392
1167609863,53207;556.32:934.794
1167609863,56818;569.856:923.67
1167609863,60421;565.44:924.642
1167609863,64069;580.224:911.844
1167609863,6768;479.424:951.318
1167609863,71287;450.528:995.49
1167609863,74924;452.544:966.708
1167609863,78485;484.8:972.756
1167609863,82075;451.776:963.036
1167609863,85655;466.272:963.306
