Timestamp;GazePoint
636193818271,322;
1167609683,48212;937.056:603.828
1167609683,5154;931.296:612.468
1167609683,54867;920.256:600.102
1167609683,58218;909.12:619.056
1167609683,61579;928.704:609.66
1167609683,64909;930.144:600.804
1167609683,68272;919.968:621.27
1167609683,71598;939.936:601.938
1167609683,74988;935.328:612.09
1167609683,78321;884.352:582.984
1167609683,81695;633.792:503.928
1167609683,85079;624.48:506.574
1167609683,88458;623.712:523.638
1167609683,91895;624.768:516.024
1167609683,95525;635.328:504.576
1167609683,98848;603.936:450.306
1167609684,02215;604.032:474.444
1167609684,056;599.424:465.048
1167609684,08981;585.216:474.714
1167609684,12749;585.504:494.694
1167609684,16192;575.808:480.114
1167609684,1997;418.464:293.274
1167609684,23442;400.512:279.45
1167609684,27407;398.784:299.7
1167609684,3083;395.136:289.656
1167609684,34671;379.2:281.232
1167609684,3806;374.016:287.604
1167609684,42007;385.248:263.682
1167609684,45312;377.28:283.068
1167609684,49243;373.728:283.554
1167609684,52722;376.416:280.044
1167609684,56664;341.664:305.154
1167609684,60106;85.536:273.294
1167609684,64073;82.848:270.432
1167609684,67586;98.4:293.328
1167609684,71414;103.584:293.922
1167609684,74787;84.192:269.838
1167609684,7827;332.352:363.258
1167609684,81745;711.072:405.054
1167609684,85275;698.016:391.986
1167609684,8877;706.08:387.774
1167609684,9222;710.4:392.04
1167609684,95788;695.616:402.084
1167609684,99413;735.36:397.116
1167609685,03062;754.848:400.086
1167609685,06554;750.144:391.284
1167609685,10063;734.976:401.004
1167609685,13475;760.992:379.944
1167609685,16898;739.104:398.844
1167609685,20317;736.032:387.396
1167609685,2376;867.072:379.512
1167609685,27271;1273.056:321.624
1167609685,30759;1268.352:316.386
1167609685,34335;1257.312:342.738
1167609685,37811;1259.52:340.848
1167609685,41308;1249.536:339.714
1167609685,44781;1255.776:357.426
1167609685,48427;1251.84:347.22
1167609685,51859;1175.616:352.458
1167609685,55469;517.056:317.466
1167609685,58961;357.792:304.938
1167609685,62412;363.648:299.484
1167609685,65874;351.36:322.056
1167609685,69377;363.36:297.648
1167609685,72812;363.936:320.49
1167609685,76308;355.296:315.306
1167609685,80182;246.528:360.342
1167609685,83614;212.16:360.45
1167609685,87131;209.952:365.85
1167609685,90586;223.2:365.094
1167609685,94035;215.52:378.54
1167609685,9754;220.128:354.186
1167609686,01394;224.16:365.634
1167609686,0491;202.464:360.126
