Timestamp;GazePoint
636193818962,922;
1167609752,65181;531.936:1248.048
1167609752,68557;520.992:1237.356
1167609752,71875;536.928:1247.13
1167609752,75245;502.944:1267.758
1167609752,78613;542.208:1240.272
1167609752,81968;505.152:1262.25
1167609752,85309;537.216:1236.546
1167609752,88641;559.488:1088.37
1167609752,9194;772.704:614.142
1167609752,95329;781.344:591.084
1167609752,98826;789.312:592.218
1167609753,02221;766.752:604.422
1167609753,05596;765.504:593.946
1167609753,09008;769.632:605.664
1167609753,12471;568.224:549.288
1167609753,15858;536.16:565.974
1167609753,19292;540.96:568.674
1167609753,2264;
1167609753,25969;552.576:554.256
1167609753,28507;582.24:568.026
1167609753,31851;663.84:618.732
1167609753,35195;663.264:646.704
1167609753,38949;673.536:649.62
1167609753,42254;647.808:659.016
1167609753,45632;664.8:642.87
1167609753,49097;649.632:652.104
1167609753,52463;667.2:609.552
1167609753,55894;666.528:643.302
1167609753,59663;667.008:639.144
1167609753,63211;527.232:595.134
1167609753,67128;473.856:578.88
1167609753,70617;495.744:610.794
1167609753,74571;563.04:581.526
1167609753,78091;570.24:575.586
1167609753,83056;505.44:577.8
1167609753,88527;708.672:499.986
1167609753,94878;837.408:549.882
1167609754,00569;832.8:543.456
1167609754,06058;784.608:526.986
1167609754,10834;691.2:600.156
1167609754,15997;680.736:553.986
1167609754,20748;869.568:425.574
1167609754,26343;707.328:595.728
1167609754,32433;854.976:494.748
1167609754,37701;830.976:510.786
1167609754,42593;1043.616:144.99
1167609754,48336;1075.68:90.342
1167609754,5392;1031.616:170.316
1167609754,59134;1005.792:181.656
1167609754,64384;1045.536:159.354
1167609754,69517;850.368:137.322
1167609754,74483;855.84:157.086
1167609754,79619;644.352:167.832
1167609754,8487;
1167609754,88467;623.712:180.198
1167609754,91164;614.4:173.556
1167609754,94485;628.896:171.558
1167609754,97849;542.304:324.216
1167609755,01293;518.496:507.87
1167609755,04712;512.544:506.034
1167609755,08152;502.944:513.486
1167609755,11541;499.584:516.834
1167609755,14986;509.184:511.434
1167609755,1854;503.04:520.02
1167609755,22086;549.312:562.734
1167609755,25566;627.36:634.5
1167609755,29017;643.2:653.724
1167609755,32469;621.984:666.306
1167609755,35951;637.44:655.236
1167609755,39409;631.872:647.19
1167609755,42816;629.568:640.17
