Timestamp;Action;ActionArgs;LeftEye;RightEye
9609,36909;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,41316;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,45726;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,50139;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,53967;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,58369;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,62785;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,67199;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,71613;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,75955;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,79707;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,8404;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,88371;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,92705;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609609,97039;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,01371;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,05122;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,09453;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,13805;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,18139;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,2247;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,26844;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,30642;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,35017;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,39398;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,43783;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,48165;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,52548;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,56355;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,60728;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,65104;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,69489;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,73872;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,78299;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,8215;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,86569;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,91004;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,95431;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609610,99887;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609611,04422;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609611,08314;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609611,12759;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609611,17235;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609611,21729;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609611,26187;EyeTracking;NoEyesTracked;[-,-];[-,-]
