Timestamp;GazePoint
636191278010,503;
1167610295,13632;957.12:513.324
1167610295,17132;956.16:515.16
1167610295,20661;952.416:502.74
1167610295,24186;956.544:519.534
1167610295,27698;962.016:518.724
1167610295,31218;958.944:530.712
1167610295,34733;957.792:512.676
1167610295,38306;962.592:525.042
1167610295,41796;969.888:526.122
1167610295,45306;960.384:535.896
1167610295,48822;766.464:401.814
1167610295,52307;755.712:387.396
1167610295,55797;750.912:401.49
1167610295,59312;747.936:404.73
1167610295,62829;749.568:387.288
1167610295,66342;739.776:400.194
1167610295,69854;743.52:387.774
1167610295,73358;814.464:457.92
1167610295,76879;808.512:449.928
1167610295,80363;806.016:446.742
1167610295,83879;806.496:452.628
1167610295,87363;807.552:446.364
1167610295,91289;543.456:406.296
1167610295,94671;501.888:400.896
1167610295,98193;506.592:391.878
1167610296,01694;542.208:439.02
1167610296,05199;565.728:419.958
1167610296,08896;443.04:386.91
1167610296,12751;433.44:369.036
1167610296,16374;429.504:387.342
1167610296,20376;425.184:368.982
1167610296,23989;417.12:385.344
1167610296,28252;496.32:522.126
1167610296,31858;508.608:522.774
1167610296,35888;511.104:533.25
1167610296,39467;499.584:525.528
1167610296,43651;517.824:519.534
1167610296,47239;699.648:609.768
1167610296,51272;732.096:640.44
1167610296,5485;744.48:635.688
1167610296,58847;739.968:641.304
1167610296,62435;738.24:634.176
1167610296,66643;755.136:696.6
1167610296,70241;768.288:703.296
1167610296,74405;771.84:701.406
1167610296,77985;767.04:696.33
1167610296,81612;473.088:896.94
1167610296,85257;514.56:894.456
1167610296,88897;520.8:892.512
1167610296,92542;526.272:898.074
1167610296,96183;379.488:860.76
1167610296,99918;385.44:910.17
1167610297,03697;379.104:895.86
1167610297,07423;363.936:882.468
1167610297,11089;381.504:884.898
1167610297,14746;136.704:785.592
1167610297,18494;192.288:804.33
1167610297,22294;183.264:795.852
1167610297,25987;181.056:825.012
1167610297,29654;188.256:801.144
1167610297,33331;124.896:738.504
1167610297,37009;187.68:329.724
1167610297,40669;189.6:328.212
1167610297,44327;188.256:325.458
1167610297,47977;182.784:325.026
1167610297,51606;170.112:333.774
1167610297,55227;179.808:332.478
1167610297,58818;164.736:334.962
1167610297,62429;169.632:326.7
1167610297,66005;181.152:331.128
1167610297,6963;142.176:115.02
1167610297,73233;141.984:132.192
1167610297,76867;136.704:123.444
1167610297,80466;138.624:120.42
1167610297,84481;256.992:196.992
1167610297,88141;430.272:373.572
1167610297,91767;443.616:404.19
1167610297,95374;430.56:402.624
1167610297,98989;438.24:405.324
1167610298,02821;429.024:393.336
1167610298,06509;432.96:403.704
1167610298,10409;442.368:411.102
1167610298,14089;437.376:405.162
1167610298,18331;191.712:909.846
1167610298,22073;135.456:944.784
1167610298,2641;129.024:917.352
1167610298,30215;156.192:827.982
1167610298,3458;
1167610298,38355;
1167610298,42014;
1167610298,44742;
1167610298,48578;
1167610298,52061;
1167610298,56633;
1167610298,6114;
1167610298,66034;
1167610298,69828;
1167610298,72476;
1167610298,75135;
1167610298,79794;
1167610298,83927;
1167610298,86069;
1167610298,88741;529.344:145.746
1167610298,91362;538.272:153.036
1167610298,94712;530.784:142.776
1167610298,98289;543.072:131.436
1167610299,02408;525.408:143.37
1167610299,06059;518.592:145.746
1167610299,09738;532.896:151.848
1167610299,1325;538.08:132.192
1167610299,169;527.616:142.938
1167610299,20557;993.888:70.47
1167610299,24205;1104.096:79.002
1167610299,27788;1097.856:71.28
1167610299,314;1094.976:81.324
1167610299,35081;1088.64:88.884
1167610299,38826;1083.744:95.094
1167610299,4253;1070.688:100.44
1167610299,46241;858.624:91.584
1167610299,49944;817.536:103.302
1167610299,536;812.64:110.916
1167610299,57344;830.496:96.606
1167610299,60747;821.856:93.096
1167610299,64311;930.048:135.972
1167610299,67894;1294.368:634.122
1167610299,7149;1342.272:645.462
1167610299,75647;1340.544:649.998
1167610299,79353;1297.824:629.262
1167610299,83134;1295.136:637.632
1167610299,86984;1305.12:631.476
1167610299,90777;1298.688:632.826
1167610299,95359;1307.808:620.892
1167610299,99177;1571.616:700.596
1167610300,03429;1616.928:687.798
1167610300,07282;
1167610300,11683;
1167610300,14393;1608.672:687.582
1167610300,17688;
1167610300,21445;1624.992:696.438
1167610300,2477;1773.12:829.44
1167610300,28548;1731.552:827.82
1167610300,32847;1725.984:819.18
1167610300,36557;1728.384:824.148
1167610300,40778;
1167610300,4452;1757.472:802.764
1167610300,47837;1749.12:801.576
1167610300,51431;1742.592:815.508
1167610300,55856;1757.856:798.714
1167610300,59706;1769.184:802.602
1167610300,6355;1745.472:805.194
1167610300,67209;1747.488:816.318
1167610300,71095;1757.376:814.698
1167610300,7493;1762.752:814.59
1167610300,7887;1613.472:908.388
1167610300,82714;1586.208:935.226
1167610300,86844;1580.448:937.71
1167610300,90733;1567.584:950.022
1167610300,94614;1076.832:540.594
1167610300,98553;1041.888:485.244
1167610301,02866;1043.616:508.194
1167610301,06641;1050.144:490.158
1167610301,10472;1052.064:502.686
1167610301,14395;1052.352:513.216
1167610301,18377;1048.704:504.468
1167610301,22377;1049.472:509.76
1167610301,2632;822.048:426.492
1167610301,30153;811.584:424.926
1167610301,33937;817.536:425.682
1167610301,37764;821.856:442.314
1167610301,41672;822.912:444.15
1167610301,4617;829.824:448.47
1167610301,49983;829.44:429.084
1167610301,54516;753.12:651.186
1167610301,58523;715.584:676.944
1167610301,62648;716.544:685.098
1167610301,66633;703.968:705.834
1167610301,70377;702.144:692.874
1167610301,74775;712.32:673.812
1167610301,79207;583.488:836.946
1167610301,8311;584.16:860.868
1167610301,87067;576.768:859.14
1167610301,9087;600.864:865.566
1167610301,9501;
1167610301,98762;1643.616:209.25
1167610302,02148;1655.328:223.182
1167610302,05991;1641.312:240.516
1167610302,10388;1655.904:232.092
1167610302,14924;1651.872:225.126
1167610302,19333;1646.304:226.8
1167610302,23186;1381.536:102.384
1167610302,27472;1356.672:90.558
1167610302,31735;1367.328:99.306
1167610302,35955;1362.72:93.042
1167610302,39794;1365.504:64.746
1167610302,44081;1354.656:78.624
1167610302,47887;1477.536:225.342
1167610302,52096;1517.76:217.35
1167610302,55814;1518.816:229.068
1167610302,5947;1514.976:215.298
1167610302,63128;1524.192:224.748
1167610302,66808;1520.256:204.768
1167610302,70485;1549.056:184.95
1167610302,74161;1529.568:212.49
1167610302,77859;1528.608:191.646
1167610302,81624;1538.304:175.176
1167610302,85327;1529.28:179.82
1167610302,8904;1524.864:213.084
1167610302,92786;1530.624:189.162
1167610302,97095;1530.24:198.774
1167610303,00843;1536.48:177.444
1167610303,04585;1523.904:205.47
1167610303,08308;1522.08:209.088
1167610303,12179;1530.432:196.992
1167610303,1609;1520.736:218.214
1167610303,19907;1527.552:185.166
1167610303,24328;1528.992:198.612
1167610303,28194;1524.672:206.82
1167610303,32112;1524.672:196.02
1167610303,36516;1531.68:196.668
1167610303,40932;1532.16:207.9
1167610303,4469;1517.376:207.522
1167610303,48419;1514.88:205.578
1167610303,52183;1366.752:181.656
1167610303,56115;888.864:70.47
1167610303,60345;852.096:77.976
1167610303,64299;843.264:204.984
1167610303,68247;837.984:135.594
1167610303,72841;850.56:93.474
1167610303,77349;845.28:90.018
1167610303,81574;821.28:67.23
1167610303,85533;795.168:87.858
1167610303,89709;796.32:39.852
1167610303,94064;786.72:60.588
1167610303,98464;1000.992:117.936
1167610304,0287;1531.392:396.414
1167610304,07229;1564.8:394.416
1167610304,11884;1564.704:402.462
1167610304,16442;1556.832:406.242
1167610304,20294;1557.216:333.396
1167610304,25041;1543.68:327.402
1167610304,28821;1542.24:343.494
1167610304,3294;1534.176:258.12
1167610304,37197;1526.208:252.828
1167610304,41498;1535.424:269.622
1167610304,45208;1540.512:245.754
1167610304,49322;1537.056:249.966
1167610304,5296;1535.52:249.426
1167610304,56612;1521.792:273.726
1167610304,60273;1525.248:306.72
1167610304,63942;1526.88:290.952
1167610304,67616;1526.88:297.324
1167610304,71265;1530.816:301.59
1167610304,74949;1526.592:309.798
1167610304,78642;
1167610304,82746;
1167610304,85295;
1167610304,87928;433.344:232.524
1167610304,91236;410.976:137.538
1167610304,97387;
1167610305,0132;487.296:189.54
1167610305,03769;487.2:204.606
1167610305,08113;535.296:153.846
