Timestamp;GazePoint
636191277342,224;
1167610228,3369;982.752:410.67
1167610228,37537;986.304:409.158
1167610228,41514;984.096:408.24
1167610228,45934;1159.68:1107.432
1167610228,49913;1036.704:1247.562
1167610228,54073;1023.84:1243.458
1167610228,58286;940.032:1171.8
1167610228,62832;848.64:488.322
1167610228,67518;832.8:481.356
1167610228,71651;846.816:457.704
1167610228,76173;843.648:463.32
1167610228,8001;588.576:466.722
1167610228,84566;557.184:473.85
1167610228,88757;552.096:478.818
1167610228,9324;545.184:475.092
1167610228,97206;538.848:480.384
1167610229,01684;545.664:378.216
1167610229,05598;550.56:399.006
1167610229,09858;563.328:410.508
1167610229,13679;558.336:409.05
1167610229,18034;553.152:404.568
1167610229,21879;560.064:416.988
1167610229,26308;566.208:407.106
1167610229,30196;609.6:571.32
1167610229,34446;622.56:567.216
1167610229,3821;623.712:570.564
1167610229,41943;628.8:565.866
1167610229,45706;621.504:579.744
1167610229,49461;471.552:608.04
1167610229,5327;454.08:615.114
1167610229,57011;447.264:595.35
1167610229,60846;447.072:591.408
1167610229,64493;419.616:593.676
1167610229,6823;412.128:590.598
1167610229,72009;401.568:578.988
1167610229,75743;409.056:590.976
1167610229,79484;402.624:598.482
1167610229,83337;241.92:755.028
1167610229,87329;270.816:730.836
1167610229,91209;281.28:733.536
1167610229,95252;283.392:717.174
1167610229,99199;
1167610230,03153;281.184:717.876
1167610230,05932;
1167610230,09791;
1167610230,13053;289.152:716.526
1167610230,16424;363.072:679.428
1167610230,20287;380.832:611.874
1167610230,24243;384.96:620.082
1167610230,28191;391.008:619.65
1167610230,32162;450.528:569.376
1167610230,36126;433.344:577.53
1167610230,40053;419.424:576.018
1167610230,44319;424.8:586.224
1167610230,48228;428.832:578.772
1167610230,52151;427.296:570.078
1167610230,56076;438.624:589.734
1167610230,6009;437.376:586.548
1167610230,64374;432.192:590.382
1167610230,68372;419.616:586.494
1167610230,73141;617.568:842.832
1167610230,77471;625.536:850.338
1167610230,82281;625.728:860.328
1167610230,86149;622.176:861.3
1167610230,90516;614.784:872.37
1167610230,94414;
1167610230,99269;
1167610231,02588;
1167610231,07181;
1167610231,10179;189.984:726.3
1167610231,14493;
1167610231,18356;
1167610231,2229;
1167610231,252;
1167610231,2865;
1167610231,32355;569.76:875.718
1167610231,36056;578.976:863.19
