Timestamp;GazePoint
636191277009,005;
1167610195,01389;993.216:527.742
1167610195,04835;996.768:530.388
1167610195,08286;987.36:533.034
1167610195,11736;986.784:522.936
1167610195,15169;992.544:528.606
1167610195,18631;998.688:525.258
1167610195,22068;986.304:536.544
1167610195,25523;984.576:528.714
1167610195,28993;818.304:466.776
1167610195,32459;713.184:422.874
1167610195,35977;716.544:415.854
1167610195,39464;714.816:426.276
1167610195,42943;710.784:423.792
1167610195,46465;718.944:418.608
1167610195,50011;711.648:415.206
1167610195,53572;728.064:421.686
1167610195,57165;736.8:417.852
1167610195,6076;731.808:421.2
1167610195,64356;737.952:406.674
1167610195,67968;742.368:411.912
1167610195,71568;557.184:830.898
1167610195,75525;552.384:838.026
1167610195,79154;534.624:845.964
1167610195,82868;525.792:838.458
1167610195,86559;534.336:846.882
1167610195,90171;370.08:795.204
1167610195,93797;343.584:784.35
1167610195,9777;351.552:808.596
1167610196,01539;348.096:800.28
1167610196,05643;572.544:751.41
1167610196,09344;597.6:741.474
1167610196,13551;582.432:743.58
1167610196,17268;586.848:753.3
1167610196,21335;597.792:736.56
1167610196,24979;591.648:747.792
1167610196,29224;604.032:739.476
1167610196,33008;588.096:745.2
1167610196,37246;599.712:741.96
1167610196,40997;599.424:747.954
1167610196,45412;595.968:751.086
1167610196,49137;583.104:741.852
1167610196,53428;589.92:745.092
1167610196,57155;585.888:749.034
1167610196,61613;596.832:741.474
1167610196,6525;587.232:748.98
1167610196,68982;584.256:746.388
1167610196,7261;584.352:755.622
1167610196,76237;593.856:745.2
1167610196,79863;593.952:736.29
1167610196,83493;587.04:740.718
1167610196,87413;592.992:742.608
1167610196,9136;592.32:742.716
1167610196,9499;588.576:736.776
1167610196,98895;588.0:746.928
1167610197,02796;586.272:741.744
1167610197,06758;585.504:738.558
1167610197,10716;583.008:753.894
1167610197,14749;1343.808:712.746
1167610197,18753;1629.984:630.018
1167610197,22887;1591.872:568.404
1167610197,27012;
1167610197,30818;
1167610197,34838;1554.432:642.006
1167610197,38778;1560.672:631.962
1167610197,42882;1704.096:711.99
1167610197,47569;1662.336:716.688
1167610197,51539;1665.024:704.268
1167610197,55469;1662.816:692.442
1167610197,59384;1660.032:704.538
1167610197,63281;1659.744:705.348
1167610197,67239;1641.12:706.536
1167610197,71607;1664.256:673.974
1167610197,75406;1662.432:683.856
1167610197,79193;1663.968:676.674
1167610197,82985;1665.696:669.06
1167610197,86827;1668.0:679.644
1167610197,90999;1661.088:693.9
1167610197,94866;1663.2:693.684
1167610197,99042;1656.672:690.282
1167610198,02838;1666.176:692.82
1167610198,0748;1653.216:694.386
1167610198,11283;1665.984:681.156
1167610198,1579;1656.864:687.42
1167610198,19522;1653.792:692.604
1167610198,24098;1639.68:696.06
1167610198,28488;1650.048:682.938
1167610198,33253;1643.328:692.172
1167610198,37529;1644.48:694.116
1167610198,41738;1642.848:698.922
1167610198,4648;1642.464:701.73
1167610198,50936;1655.04:694.386
1167610198,5551;1647.84:694.764
1167610198,59648;1671.072:651.078
1167610198,63893;1705.824:422.604
1167610198,68131;1703.232:439.668
1167610198,72024;1703.328:445.392
1167610198,76674;665.952:510.57
1167610198,8097;389.184:565.812
1167610198,84941;415.296:560.79
1167610198,88934;475.008:586.872
1167610198,92928;478.272:596.862
1167610198,96961;469.536:587.088
1167610199,01018;483.936:599.67
1167610199,04924;470.688:591.57
1167610199,08825;479.424:593.46
1167610199,12853;341.952:788.184
1167610199,16741;311.904:838.08
1167610199,20733;295.2:838.89
1167610199,24581;307.584:848.286
1167610199,28435;295.872:847.746
1167610199,32209;308.448:843.318
1167610199,35984;511.2:893.916
1167610199,3974;536.256:886.194
1167610199,4339;519.072:899.316
1167610199,47153;528.096:899.1
1167610199,50888;515.04:872.964
1167610199,54945;596.832:757.404
1167610199,58683;594.816:762.426
1167610199,62642;601.248:751.95
1167610199,66688;606.624:753.354
1167610199,70753;607.68:754.38
1167610199,75046;597.216:371.574
1167610199,79058;600.288:355.482
1167610199,83354;608.064:349.38
1167610199,87158;598.944:367.686
1167610199,91362;599.424:371.304
1167610199,95151;598.272:375.786
1167610199,99378;599.616:361.692
1167610200,03155;737.472:320.382
1167610200,07541;733.92:321.786
1167610200,11406;748.704:319.14
1167610200,15653;741.6:324.972
1167610200,19363;198.72:302.4
1167610200,23695;160.608:327.24
1167610200,27546;157.824:334.26
1167610200,31789;161.088:329.832
1167610200,3547;161.856:323.73
1167610200,39613;162.432:336.15
1167610200,43341;165.024:328.968
1167610200,47524;283.392:280.368
1167610200,51235;312.096:279.126
1167610200,5533;309.984:276.156
1167610200,58943;189.984:399.762
1167610200,62571;177.888:455.112
1167610200,66285;199.488:476.496
1167610200,69985;187.392:464.454
1167610200,73692;228.864:469.26
1167610200,77324;392.64:427.41
1167610200,81042;398.592:424.656
1167610200,8477;402.528:426.33
1167610200,88534;411.072:428.49
1167610200,92222;409.344:431.352
1167610200,9603;401.28:436.752
1167610200,99747;297.984:848.34
1167610201,03452;324.192:915.138
1167610201,07234;341.28:897.426
1167610201,10992;338.688:910.98
1167610201,14662;330.432:887.544
1167610201,18332;339.84:913.842
1167610201,22081;337.92:906.12
1167610201,25835;335.616:892.728
1167610201,29608;339.264:893.808
1167610201,33285;711.36:899.154
1167610201,36955;771.84:877.932
1167610201,40808;758.4:891.27
1167610201,44481;752.352:905.418
1167610201,4815;764.544:897.426
1167610201,51811;753.888:897.804
1167610201,55563;613.536:777.114
1167610201,59236;593.76:796.284
1167610201,63251;597.504:795.42
1167610201,66948;590.496:806.22
1167610201,70593;600.864:795.204
1167610201,74244;605.664:803.142
1167610201,77892;595.872:795.798
1167610201,81541;583.104:804.222
1167610201,85594;913.344:828.684
1167610201,89315;1563.264:809.244
1167610201,93713;1563.84:789.426
1167610201,97514;1536.576:784.998
