Timestamp;GazePoint
636191275558,823;
1167610050,04254;1005.024:434.106
1167610050,07933;990.336:456.138
1167610050,11974;997.824:449.658
1167610050,15642;996.576:450.684
1167610050,1967;993.888:458.892
1167610050,23288;996.192:448.524
1167610050,27482;1005.984:447.012
1167610050,31114;998.4:467.424
1167610050,35249;1002.912:441.612
1167610050,38856;995.04:452.466
1167610050,43061;471.744:501.984
1167610050,4685;475.2:510.192
1167610050,50997;478.176:510.246
1167610050,54547;480.48:516.942
1167610050,58681;490.368:511.65
1167610050,62409;477.792:509.652
1167610050,66563;478.848:518.994
1167610050,70394;476.544:507.6
1167610050,74608;615.36:567.54
1167610050,78278;626.784:587.952
1167610050,82089;638.88:577.638
1167610050,85987;632.448:584.766
1167610050,89738;624.96:581.688
1167610050,93382;627.936:587.088
1167610050,97095;690.816:588.438
1167610051,00778;694.848:606.69
1167610051,04492;695.136:603.882
1167610051,08208;702.624:581.418
1167610051,11865;682.56:607.554
1167610051,15492;691.968:590.976
1167610051,19156;767.04:833.922
1167610051,22789;773.856:906.822
1167610051,26497;776.64:914.058
1167610051,30278;770.112:925.452
1167610051,3391;770.4:919.512
1167610051,37566;780.96:903.582
1167610051,41211;771.168:919.296
1167610051,44877;604.128:893.16
1167610051,48555;593.28:884.682
1167610051,52336;595.296:890.676
1167610051,56091;584.064:901.908
1167610051,59874;580.128:899.154
1167610051,63683;588.576:886.302
1167610051,67412;522.72:466.992
1167610051,71208;480.384:345.924
1167610051,75415;474.144:350.946
1167610051,79284;479.232:353.592
1167610051,83775;468.0:360.504
1167610051,87912;471.744:372.924
1167610051,91938;538.176:279.396
1167610051,9592;637.248:75.87
1167610052,00025;637.536:71.334
1167610052,04566;635.808:74.574
1167610052,08598;634.08:82.134
1167610052,1269;630.528:78.624
1167610052,16464;697.152:60.534
1167610052,20709;713.568:72.36
1167610052,24464;709.92:82.836
1167610052,28815;700.704:72.576
1167610052,32561;712.704:74.088
1167610052,36869;714.24:87.534
1167610052,40753;709.92:74.466
1167610052,44972;718.272:82.782
1167610052,48956;720.384:75.924
1167610052,53448;740.736:80.568
1167610052,58113;744.0:83.862
1167610052,63275;741.6:78.57
1167610052,67848;740.448:90.018
1167610052,72606;748.32:98.658
1167610052,76147;875.616:16.848
1167610052,79887;887.424:25.11
1167610052,83586;896.64:31.698
1167610052,87299;890.016:26.352
1167610052,9102;893.76:27.702
1167610052,94811;895.296:29.052
1167610052,98536;896.064:21.222
1167610053,02261;891.456:31.752
1167610053,06137;891.168:16.74
1167610053,09981;931.296:36.936
1167610053,14957;
1167610053,19349;1250.688:102.6
1167610053,23039;
1167610053,26911;1212.0:51.786
1167610053,30058;
1167610053,34365;1188.96:25.218
1167610053,3864;1178.688:21.114
1167610053,43053;1177.728:23.544
1167610053,48283;1184.352:15.984
1167610053,52734;1189.248:22.572
1167610053,57596;1173.408:23.544
1167610053,61915;1158.816:36.99
1167610053,66484;1153.632:41.148
1167610053,71055;1163.424:18.198
1167610053,75424;1145.952:36.882
1167610053,79848;999.072:63.342
1167610053,83867;1002.816:76.356
1167610053,89496;998.976:75.708
1167610053,94282;996.0:65.286
1167610053,99356;1002.72:58.752
1167610054,04534;523.296:342.846
1167610054,08715;371.712:428.436
1167610054,13989;473.856:432.54
1167610054,18953;464.352:456.246
1167610054,2418;468.192:427.842
1167610054,29069;475.584:473.742
1167610054,34625;435.936:413.478
1167610054,39135;448.416:423.954
1167610054,44672;436.896:425.736
1167610054,49068;431.232:429.192
1167610054,54285;438.624:311.202
1167610054,58947;430.464:310.5
1167610054,63665;435.168:299.538
1167610054,67842;425.472:312.336
1167610054,72875;561.984:470.016
1167610054,77442;559.584:467.424
1167610054,82125;558.048:459.594
1167610054,86166;540.768:470.61
1167610054,90528;511.776:517.266
1167610054,94856;512.544:517.914
1167610054,99215;513.696:521.694
1167610055,03418;510.816:521.1
1167610055,07618;512.448:516.024
1167610055,12034;517.056:517.752
1167610055,16439;512.352:519.642
1167610055,20813;510.528:521.262
1167610055,25142;516.768:535.356
1167610055,29398;511.776:526.122
1167610055,33564;519.264:517.428
1167610055,3781;430.56:530.82
1167610055,42183;416.928:532.548
1167610055,46497;405.12:539.514
1167610055,50709;413.376:534.384
1167610055,5504;401.952:533.844
1167610055,5943;411.168:527.094
1167610055,6396;406.272:537.138
1167610055,6853;422.208:560.682
1167610055,73086;447.648:635.85
1167610055,7733;449.28:635.148
1167610055,81681;445.056:651.888
1167610055,86198;450.432:646.866
1167610055,90637;435.744:628.506
1167610055,94692;408.672:548.964
1167610055,99152;410.688:552.312
1167610056,02941;406.944:533.682
1167610056,06771;407.136:533.574
1167610056,11061;405.12:523.53
1167610056,15015;406.464:530.712
1167610056,19426;398.88:532.17
1167610056,23375;404.832:540.864
1167610056,28259;406.848:531.036
1167610056,32399;385.536:532.98
1167610056,37286;402.048:523.422
1167610056,41754;413.088:520.56
1167610056,4642;399.552:541.35
1167610056,50475;406.368:514.944
1167610056,54936;398.112:539.784
1167610056,58865;400.416:540.972
1167610056,63468;399.168:544.968
1167610056,67524;343.008:440.1
1167610056,7222;341.664:395.01
1167610056,7631;348.288:402.3
1167610056,81044;326.496:410.292
1167610056,85067;406.464:322.38
1167610056,891;403.584:338.742
1167610056,93396;405.312:344.574
1167610056,97396;400.416:349.812
1167610057,01395;400.992:343.278
1167610057,05291;450.048:458.514
1167610057,09088;447.648:473.256
1167610057,12952;444.864:482.652
1167610057,16773;449.088:462.186
1167610057,20678;434.976:445.932
1167610057,24532;442.752:442.53
1167610057,28379;434.976:451.17
1167610057,32291;432.384:440.424
1167610057,36262;440.64:463.482
1167610057,40296;431.232:451.872
1167610057,44522;436.512:418.446
1167610057,4882;438.048:438.426
1167610057,53085;433.728:435.942
1167610057,56998;437.184:438.156
1167610057,60849;424.224:429.57
1167610057,64876;421.728:442.098
1167610057,69076;425.76:434.43
1167610057,73132;429.984:433.89
1167610057,7703;419.136:440.262
1167610057,80964;420.384:444.096
1167610057,84729;414.048:445.662
1167610057,88864;422.016:445.608
1167610057,9272;410.688:451.44
1167610057,96653;418.848:434.97
1167610058,00531;409.056:453.006
1167610058,04346;446.784:451.872
1167610058,08511;436.032:461.214
1167610058,12412;428.448:458.406
1167610058,16717;434.88:450.198
1167610058,20741;436.032:449.28
1167610058,25296;435.552:447.174
1167610058,29222;414.336:436.266
1167610058,34157;427.872:423.846
1167610058,38417;423.648:447.174
1167610058,43053;
1167610058,4709;1428.48:499.284
1167610058,51393;1446.432:500.472
1167610058,55393;1381.44:477.036
1167610058,60585;1388.256:491.562
1167610058,65049;1393.152:480.006
1167610058,70007;1385.472:489.51
1167610058,74165;1446.912:327.996
1167610058,78864;1446.72:323.892
1167610058,8268;1442.592:333.612
1167610058,86469;1443.84:343.764
1167610058,90821;1435.488:337.77
1167610058,94685;1443.552:318.168
1167610058,98997;1446.336:336.258
1167610059,03053;1433.856:344.088
1167610059,07079;1438.08:335.826
1167610059,12311;1427.328:344.358
1167610059,1692;1429.152:343.332
1167610059,22083;1446.72:319.68
1167610059,26806;1438.848:326.754
1167610059,30886;1431.072:339.174
1167610059,34942;1424.832:336.258
1167610059,39232;1426.848:336.852
1167610059,43769;1439.616:359.1
1167610059,47814;1427.904:339.552
1167610059,51814;1433.76:391.662
1167610059,55928;1432.8:318.384
1167610059,60114;1440.192:338.958
1167610059,64341;1482.432:347.922
1167610059,68551;1489.728:361.584
1167610059,72812;1497.984:278.532
1167610059,77342;1514.016:206.604
1167610059,81957;1495.2:341.874
1167610059,86719;1492.512:244.62
1167610059,91091;1499.52:256.716
1167610059,95412;1501.536:352.134
1167610060,00137;1403.52:332.532
1167610060,04446;1412.256:333.018
1167610060,09123;1406.016:325.026
1167610060,13683;1401.696:399.006
1167610060,18238;1426.176:363.474
1167610060,22472;1407.744:341.712
1167610060,27577;1423.968:347.706
1167610060,31925;1415.232:347.004
1167610060,36607;1423.392:344.412
1167610060,40809;1415.808:333.342
1167610060,45784;1421.952:355.374
1167610060,50156;1460.352:269.838
1167610060,54943;1456.032:216.81
1167610060,59968;1469.952:208.332
1167610060,65396;1459.872:220.212
1167610060,69664;1482.72:187.326
1167610060,75048;1466.88:169.884
1167610060,79966;1474.56:188.838
1167610060,84559;1469.952:178.578
1167610060,88615;1474.56:245.268
1167610060,92829;1473.6:176.364
1167610060,97654;1453.152:212.544
1167610061,01987;1459.968:205.416
1167610061,06811;1457.28:216.0
1167610061,10964;1449.888:219.726
1167610061,16183;1454.688:212.328
1167610061,21237;1457.472:204.984
1167610061,2533;1389.888:290.358
1167610061,29511;1250.4:287.118
1167610061,34417;1259.904:332.37
1167610061,38509;1263.072:321.624
1167610061,42578;1261.152:326.7
1167610061,46648;1243.968:348.57
1167610061,51328;1245.12:330.102
1167610061,55411;1250.304:340.848
1167610061,59478;1247.904:339.714
1167610061,63597;1442.88:195.696
1167610061,67624;1461.312:204.876
1167610061,7205;1454.112:193.644
1167610061,7617;1454.88:214.704
1167610061,80259;1460.736:152.388
1167610061,84451;1457.568:207.954
1167610061,88709;1459.296:207.306
1167610061,93393;1460.544:201.312
1167610061,97571;1461.12:216.702
1167610062,01692;1462.56:200.556
1167610062,05823;1454.976:218.754
1167610062,10011;1452.384:223.614
1167610062,14473;1460.736:222.804
1167610062,1858;1370.688:238.788
1167610062,23142;541.344:287.928
1167610062,272;
1167610062,31796;631.2:299.592
1167610062,35832;637.44:315.306
1167610062,41519;631.776:310.662
1167610062,45569;692.352:304.074
1167610062,50557;688.992:322.326
1167610062,55036;684.864:322.92
1167610062,60035;676.032:332.208
1167610062,64397;686.208:327.186
1167610062,692;691.2:627.588
1167610062,73665;697.248:667.116
1167610062,79435;692.256:665.226
1167610062,84115;679.104:685.8
1167610062,8944;715.008:593.514
1167610062,93667;704.832:603.018
1167610062,99231;703.488:598.104
1167610063,03533;702.144:603.18
1167610063,07448;707.904:596.16
1167610063,11418;800.256:707.4
1167610063,15423;790.656:785.808
1167610063,19512;787.392:789.48
1167610063,236;789.312:795.906
1167610063,27697;794.112:787.968
1167610063,31691;758.592:769.554
1167610063,35648;775.968:766.584
1167610063,39588;760.896:772.632
1167610063,43596;758.496:782.514
1167610063,47549;770.4:761.13
1167610063,51647;776.928:755.946
1167610063,55763;773.376:759.996
1167610063,59787;765.504:761.454
1167610063,63895;1212.864:767.016
1167610063,67984;1355.808:789.48
1167610063,72051;1287.168:782.028
1167610063,76069;1303.68:766.908
1167610063,80627;1307.904:770.418
1167610063,84894;1279.296:737.316
1167610063,88997;1272.48:746.496
1167610063,93078;1274.976:747.198
1167610063,97813;1281.6:730.08
1167610064,01792;1278.624:740.232
1167610064,05944;1278.432:749.142
1167610064,10074;1271.232:750.6
1167610064,1469;1403.712:724.464
1167610064,19423;1406.4:723.492
1167610064,23734;1409.952:717.876
1167610064,28243;1415.136:656.802
1167610064,32807;1423.584:633.528
1167610064,37985;1418.88:642.816
1167610064,42569;1421.952:637.308
1167610064,47543;1414.176:652.536
1167610064,52733;1427.328:627.534
1167610064,57862;1428.192:636.66
1167610064,62036;1436.832:285.93
1167610064,66638;1437.6:139.428
1167610064,71256;1428.096:163.512
1167610064,7617;1447.392:182.628
1167610064,80481;1454.592:135.702
1167610064,85657;
1167610064,89758;1376.832:58.806
1167610064,94346;
1167610064,99656;1454.688:273.24
1167610065,04197;1454.208:283.284
1167610065,0909;1444.608:267.948
1167610065,13616;1462.368:258.498
1167610065,18238;1447.2:268.812
1167610065,2225;1446.624:177.768
1167610065,26918;1449.312:192.456
1167610065,3157;1458.24:196.29
1167610065,35562;1453.632:186.03
1167610065,39595;1439.424:208.332
1167610065,43577;1382.688:77.22
1167610065,47528;1351.68:32.616
1167610065,51561;1362.72:31.482
1167610065,55708;
1167610065,5987;1349.088:50.976
1167610065,64041;
1167610065,69768;1522.848:31.374
1167610065,73856;1740.192:34.128
1167610065,7816;1728.672:35.37
1167610065,83108;1747.584:23.004
1167610065,8772;1683.552:36.396
1167610065,92287;
1167610065,97124;
1167610066,03078;1663.584:29.7
1167610066,08079;1593.024:61.236
1167610066,13195;1396.032:315.846
1167610066,18254;1393.056:330.318
1167610066,22935;1409.184:315.36
1167610066,28014;1416.96:340.146
1167610066,32808;1399.968:306.396
1167610066,37179;1443.264:236.304
1167610066,42279;1457.76:125.712
1167610066,47298;1459.008:202.014
1167610066,53223;1459.776:225.99
1167610066,58262;1459.104:223.506
1167610066,64353;1461.6:220.212
1167610066,68823;1446.528:219.402
1167610066,73615;1466.112:276.426
1167610066,7801;1460.448:293.922
1167610066,82735;1455.36:298.134
1167610066,86937;1458.336:284.526
1167610066,91545;
1167610066,9587;1222.656:310.068
1167610066,99898;1245.504:337.014
1167610067,04498;1239.456:330.318
1167610067,08779;1237.248:329.67
1167610067,13069;1227.456:322.164
1167610067,17384;1238.976:318.546
1167610067,21653;1234.368:323.514
1167610067,26024;1233.024:327.078
1167610067,30366;1244.448:320.652
1167610067,34613;1241.664:327.618
1167610067,39431;1223.712:358.992
1167610067,44719;1228.512:362.772
1167610067,50439;1301.184:600.102
1167610067,55021;1295.04:605.448
1167610067,60163;1296.192:604.368
1167610067,64916;1300.608:597.24
1167610067,69149;1243.104:508.95
1167610067,73394;1250.112:520.884
1167610067,77567;1249.536:531.522
1167610067,81729;1251.456:534.492
1167610067,86211;1219.104:566.028
1167610067,90968;
1167610067,96128;
1167610067,99985;1229.184:569.646
1167610068,06078;
1167610068,12721;
1167610068,15715;
1167610068,19265;
1167610068,22265;
1167610068,25306;
1167610068,28367;
1167610068,31434;
1167610068,34504;
1167610068,37519;
1167610068,4042;
1167610068,43224;
1167610068,45924;
1167610068,48497;
1167610068,52911;
1167610068,57324;
1167610068,6161;
1167610068,65322;
1167610068,6961;
1167610068,73893;
1167610068,78305;
1167610068,82219;
1167610068,86122;
1167610068,90897;1256.544:299.97
1167610068,94592;987.456:56.754
1167610068,98811;959.328:9.72
1167610069,0406;
1167610069,08319;
1167610069,11118;
1167610069,18516;519.456:78.57
1167610069,2429;523.584:100.926
1167610069,3003;
1167610069,35074;610.08:133.542
1167610069,37544;405.984:253.638
1167610069,42266;433.92:271.62
1167610069,46485;426.048:277.992
1167610069,51428;426.432:275.724
1167610069,55893;442.848:309.096
1167610069,607;436.608:217.188
1167610069,64951;430.176:204.66
1167610069,69879;434.112:219.726
1167610069,74778;436.224:192.564
1167610069,78864;439.584:215.676
1167610069,83009;149.952:54.0
1167610069,8721;130.56:28.89
1167610069,91472;117.984:21.546
1167610069,95866;130.848:41.364
1167610070,00721;127.2:33.156
1167610070,05664;
1167610070,0996;
1167610070,14573;
1167610070,18861;
1167610070,23457;
1167610070,28335;
1167610070,33071;
1167610070,37309;165.984:366.606
1167610070,4211;246.72:508.68
1167610070,46038;237.312:519.102
1167610070,50564;239.232:527.904
1167610070,54726;249.504:512.892
1167610070,59689;244.128:524.61
1167610070,63894;232.416:536.112
1167610070,68317;246.24:522.882
1167610070,72348;213.12:588.384
1167610070,76855;220.8:596.97
1167610070,808;222.432:597.402
1167610070,8511;216.864:601.668
1167610070,88924;211.968:540.918
1167610070,92913;212.16:535.896
1167610070,96968;206.88:521.316
1167610071,00973;188.448:536.706
1167610071,04971;202.464:541.728
1167610071,08956;210.432:524.232
1167610071,12985;196.992:531.954
1167610071,17084;210.72:535.464
1167610071,21214;182.496:585.198
1167610071,25279;176.16:617.868
1167610071,29383;173.472:607.986
1167610071,33453;177.696:605.124
1167610071,3759;179.712:607.5
1167610071,41715;175.2:601.938
1167610071,45917;173.376:609.606
1167610071,50108;451.296:681.804
1167610071,54118;417.12:686.934
1167610071,58092;403.2:697.194
1167610071,62094;420.96:689.526
1167610071,66117;409.056:684.18
1167610071,70058;410.592:646.488
1167610071,74169;413.28:655.236
1167610071,78153;415.008:651.78
1167610071,82215;410.4:659.502
1167610071,8622;404.544:660.204
1167610071,90242;411.744:662.148
1167610071,94694;416.928:663.714
1167610071,98673;432.48:648.864
1167610072,02676;438.336:647.676
1167610072,06797;448.224:643.032
1167610072,11013;446.784:637.794
1167610072,15413;432.288:809.946
1167610072,19451;
1167610072,24074;
1167610072,26677;656.736:769.932
1167610072,32251;663.456:599.346
1167610072,36483;671.712:588.114
1167610072,41077;670.464:605.448
1167610072,45342;672.768:593.892
1167610072,50446;668.256:579.69
1167610072,55077;662.976:591.948
1167610072,59814;664.992:588.762
1167610072,6384;680.448:589.572
1167610072,68749;719.232:593.46
1167610072,72717;722.496:598.374
1167610072,77152;735.072:583.254
1167610072,81019;718.464:606.798
1167610072,85253;722.4:603.342
1167610072,88998;725.472:599.238
1167610072,92814;688.704:675.0
1167610072,96753;684.96:671.814
1167610073,00445;686.592:667.872
1167610073,04223;690.144:671.598
1167610073,08088;673.632:676.998
1167610073,11896;683.808:670.248
1167610073,15949;683.712:673.326
1167610073,19647;681.6:683.1
1167610073,23595;719.424:702.594
1167610073,27351;758.88:789.588
1167610073,31281;760.608:815.4
1167610073,35169;758.784:806.058
1167610073,38845;762.336:821.934
1167610073,42732;756.288:863.19
1167610073,46743;753.024:817.182
1167610073,50776;760.032:814.914
1167610073,5479;754.56:807.138
1167610073,59058;769.056:948.672
1167610073,63378;774.912:955.908
1167610073,67782;765.024:962.658
1167610073,72144;729.024:991.818
1167610073,76899;752.256:963.684
1167610073,81542;728.256:989.118
1167610073,86044;727.488:1000.944
1167610073,90615;720.864:1033.506
1167610073,95234;701.088:1030.914
1167610073,99414;704.352:1079.46
1167610074,04114;314.784:1032.426
1167610074,089;305.76:907.47
1167610074,13575;291.168:894.024
1167610074,17656;433.824:676.242
1167610074,222;586.752:68.58
1167610074,2716;593.952:122.094
1167610074,32279;608.448:109.026
1167610074,37892;591.36:112.266
1167610074,42519;626.784:104.868
1167610074,46627;642.336:77.706
1167610074,51142;638.976:62.262
1167610074,55912;646.848:64.26
1167610074,61083;648.96:67.824
1167610074,65064;652.128:75.276
1167610074,70265;651.936:80.244
1167610074,74947;652.992:42.228
1167610074,79531;646.176:61.722
1167610074,83558;648.0:57.726
1167610074,88645;652.032:65.61
1167610074,93068;651.936:56.862
1167610074,9723;644.64:68.796
1167610075,01528;656.448:56.754
1167610075,0561;201.312:54.216
1167610075,09606;173.088:40.176
1167610075,13775;160.128:43.092
1167610075,18012;170.688:33.372
1167610075,23107;
1167610075,27251;
1167610075,32119;
1167610075,36842;
1167610075,40948;
1167610075,44909;
1167610075,48519;
1167610075,51164;
1167610075,53911;
1167610075,56608;
1167610075,59808;
1167610075,62852;
1167610075,65865;
1167610075,69758;
1167610075,73057;
1167610075,76951;
1167610075,81489;
1167610075,85331;
1167610075,88895;1424.16:19.926
1167610075,93423;1424.352:32.886
1167610075,98563;
1167610076,02439;1455.072:47.358
1167610076,0777;1449.792:54.27
1167610076,12616;1450.752:56.322
1167610076,17394;1446.624:57.618
1167610076,22533;1447.68:36.936
1167610076,28325;1453.632:12.798
1167610076,33149;
1167610076,38419;
1167610076,43019;
1167610076,49461;
1167610076,53638;775.2:46.548
1167610076,58457;
1167610076,63123;777.696:40.23
1167610076,67713;763.488:39.798
1167610076,71852;663.552:8.694
1167610076,76694;640.128:32.346
1167610076,81069;717.504:75.546
1167610076,8657;700.8:85.212
1167610076,91955;711.648:67.554
1167610076,97209;691.296:74.952
1167610077,01279;
1167610077,0574;
1167610077,08366;
1167610077,11059;
1167610077,13694;
1167610077,16429;
1167610077,2092;
1167610077,23874;
1167610077,26865;
1167610077,33214;
1167610077,4094;
1167610077,45316;
1167610077,49686;658.368:41.58
1167610077,52026;638.592:36.504
1167610077,56772;642.624:30.888
1167610077,61587;638.592:37.368
1167610077,66047;645.12:44.226
1167610077,70465;646.176:45.468
1167610077,74558;641.568:53.946
1167610077,78942;641.28:50.274
1167610077,83511;
1167610077,87985;572.928:12.042
1167610077,92434;579.264:37.746
1167610077,96783;578.688:23.112
1167610078,01085;581.568:20.574
1167610078,05751;548.064:20.574
1167610078,0981;555.648:26.73
1167610078,13978;574.656:29.646
1167610078,18242;559.968:33.804
1167610078,22266;561.504:30.186
1167610078,26544;873.024:33.264
1167610078,30878;857.088:61.668
1167610078,36536;853.248:58.482
1167610078,40978;848.064:65.718
