Timestamp;Action;ActionArgs;LeftEye;RightEye
849,54857;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609849,59109;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609849,63531;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609849,67374;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609849,71793;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609849,76215;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609849,80242;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609849,84053;EyeTracking;BothEyesTracked;[0,1005,0,4345];[0,1427,0,4349]
1167609849,97743;EyeTracking;BothEyesTracked;[0,1491,0,4737];[0,1277,0,3588]
1167609850,0452;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609850,20873;EyeTracking;BothEyesTracked;[0,1330,0,4509];[0,1292,0,3351]
1167609850,26627;EyeTracking;BothEyesTracked;[0,1277,0,4136];[0,1589,0,4019]
1167609850,34145;EyeTracking;BothEyesTracked;[0,1463,0,3113];[0,1308,0,4355]
1167609850,38905;EyeTracking;BothEyesTracked;[0,1466,0,4530];[0,1388,0,4622]
1167609850,43843;EyeTracking;BothEyesTracked;[0,1925,0,1973];[0,1853,0,2039]
1167609850,48634;EyeTracking;BothEyesTracked;[0,1928,0,1710];[0,2008,0,2164]
1167609850,53923;EyeTracking;BothEyesTracked;[0,2043,0,2108];[0,1897,0,2186]
1167609850,58924;EyeTracking;BothEyesTracked;[0,1977,0,1986];[0,1939,0,2299]
1167609850,64264;EyeTracking;BothEyesTracked;[0,2014,0,1914];[0,1951,0,2356]
1167609850,69768;EyeTracking;BothEyesTracked;[0,1974,0,2063];[0,1885,0,2214]
1167609850,75398;EyeTracking;BothEyesTracked;[0,1907,0,1948];[0,1968,0,2298]
1167609850,80548;EyeTracking;BothEyesTracked;[0,1983,0,1950];[0,1914,0,2015]
1167609850,86709;EyeTracking;BothEyesTracked;[0,2494,0,2316];[0,2501,0,2043]
1167609850,91848;EyeTracking;BothEyesTracked;[0,2391,0,1840];[0,2463,0,2073]
1167609850,97979;EyeTracking;BothEyesTracked;[0,2386,0,2081];[0,2555,0,2204]
1167609851,03177;EyeTracking;BothEyesTracked;[0,2381,0,1880];[0,2496,0,1893]
1167609851,09384;EyeTracking;BothEyesTracked;[0,2359,0,1635];[0,2474,0,2086]
1167609851,15036;EyeTracking;BothEyesTracked;[0,2485,0,2138];[0,2436,0,1996]
1167609851,2135;EyeTracking;BothEyesTracked;[0,2428,0,2287];[0,2506,0,2149]
1167609851,25765;EyeTracking;BothEyesTracked;[0,2514,0,2137];[0,2424,0,1870]
1167609851,30496;EyeTracking;BothEyesTracked;[0,2479,0,2056];[0,2478,0,2007]
1167609851,3534;EyeTracking;BothEyesTracked;[0,2723,0,2045];[0,2748,0,2098]
1167609851,39468;EyeTracking;BothEyesTracked;[0,2953,0,2124];[0,2791,0,2076]
1167609851,43881;EyeTracking;BothEyesTracked;[0,2881,0,2158];[0,2876,0,2228]
1167609851,48027;EyeTracking;BothEyesTracked;[0,2971,0,2172];[0,2849,0,2200]
1167609851,51628;EyeTracking;BothEyesTracked;[0,2799,0,2293];[0,2773,0,2174]
1167609851,5524;EyeTracking;BothEyesTracked;[0,2895,0,2282];[0,2829,0,2151]
1167609851,59289;EyeTracking;BothEyesTracked;[0,2927,0,2187];[0,2790,0,2271]
1167609851,63357;EyeTracking;BothEyesTracked;[0,2950,0,2242];[0,2789,0,2232]
1167609851,66957;EyeTracking;BothEyesTracked;[0,2962,0,2402];[0,2816,0,2315]
1167609851,70588;EyeTracking;BothEyesTracked;[0,2989,0,2081];[0,2802,0,2221]
1167609851,74211;EyeTracking;BothEyesTracked;[0,2947,0,2170];[0,2805,0,2191]
1167609851,77833;EyeTracking;BothEyesTracked;[0,2986,0,2255];[0,2750,0,2098]
1167609851,81441;EyeTracking;BothEyesTracked;[0,2944,0,2415];[0,2829,0,2161]
1167609851,85555;EyeTracking;BothEyesTracked;[0,2977,0,2390];[0,2849,0,2192]
1167609851,89166;EyeTracking;BothEyesTracked;[0,2917,0,2229];[0,2824,0,2331]
1167609851,92772;EyeTracking;BothEyesTracked;[0,2891,0,2268];[0,2877,0,2192]
1167609851,96365;EyeTracking;BothEyesTracked;[0,2926,0,2124];[0,2802,0,2307]
1167609851,99973;EyeTracking;BothEyesTracked;[0,2995,0,2343];[0,2846,0,2476]
1167609852,03581;EyeTracking;BothEyesTracked;[0,2917,0,2102];[0,2806,0,2044]
1167609852,07153;EyeTracking;BothEyesTracked;[0,2950,0,2408];[0,2809,0,2404]
1167609852,10757;EyeTracking;BothEyesTracked;[0,2896,0,2389];[0,2862,0,2382]
1167609852,14279;EyeTracking;BothEyesTracked;[0,2967,0,2266];[0,2849,0,2224]
1167609852,17891;EyeTracking;BothEyesTracked;[0,2946,0,2225];[0,2763,0,2186]
1167609852,21488;EyeTracking;BothEyesTracked;[0,2938,0,2344];[0,2935,0,2316]
1167609852,25038;EyeTracking;BothEyesTracked;[0,2981,0,2254];[0,2872,0,2311]
1167609852,28645;EyeTracking;BothEyesTracked;[0,2978,0,2429];[0,2778,0,2194]
1167609852,32167;EyeTracking;BothEyesTracked;[0,2975,0,2257];[0,2903,0,2214]
1167609852,35759;EyeTracking;BothEyesTracked;[0,2934,0,2235];[0,2780,0,2151]
1167609852,39294;EyeTracking;BothEyesTracked;[0,2983,0,2386];[0,2838,0,2389]
1167609852,42747;EyeTracking;BothEyesTracked;[0,2939,0,2371];[0,2912,0,2186]
1167609852,46212;EyeTracking;BothEyesTracked;[0,2924,0,2219];[0,2765,0,2400]
1167609852,50046;EyeTracking;BothEyesTracked;[0,2948,0,2447];[0,2827,0,2169]
1167609852,53518;EyeTracking;BothEyesTracked;[0,2909,0,2356];[0,2876,0,2369]
1167609852,56996;EyeTracking;BothEyesTracked;[0,2921,0,2474];[0,2830,0,2328]
1167609852,60539;EyeTracking;BothEyesTracked;[0,2909,0,2410];[0,2776,0,2242]
1167609852,64065;EyeTracking;BothEyesTracked;[0,2944,0,2456];[0,2726,0,2426]
1167609852,67881;EyeTracking;BothEyesTracked;[0,2880,0,2403];[0,2804,0,2239]
1167609852,71431;EyeTracking;BothEyesTracked;[0,2754,0,2471];[0,2617,0,2638]
1167609852,75867;EyeTracking;BothEyesTracked;[0,2616,0,2626];[0,2490,0,2327]
1167609852,79396;EyeTracking;BothEyesTracked;[0,2542,0,2681];[0,2531,0,2482]
1167609852,8355;EyeTracking;BothEyesTracked;[0,2582,0,2546];[0,2568,0,2533]
1167609852,87196;EyeTracking;BothEyesTracked;[0,2576,0,2464];[0,2492,0,2439]
1167609852,91016;EyeTracking;BothEyesTracked;[0,2666,0,2407];[0,2492,0,2474]
1167609852,94896;EyeTracking;BothEyesTracked;[0,2575,0,2363];[0,2500,0,2534]
1167609852,98412;EyeTracking;BothEyesTracked;[0,2565,0,2486];[0,2532,0,2518]
1167609853,02565;EyeTracking;BothEyesTracked;[0,2591,0,2556];[0,2488,0,2425]
1167609853,06128;EyeTracking;BothEyesTracked;[0,2536,0,2558];[0,2595,0,2115]
1167609853,10136;EyeTracking;BothEyesTracked;[0,2523,0,2747];[0,2578,0,2577]
1167609853,13734;EyeTracking;BothEyesTracked;[0,2522,0,2684];[0,2503,0,2548]
1167609853,17698;EyeTracking;BothEyesTracked;[0,2603,0,2511];[0,2510,0,2523]
1167609853,21346;EyeTracking;BothEyesTracked;[0,2614,0,2509];[0,2520,0,2312]
1167609853,25488;EyeTracking;BothEyesTracked;[0,2779,0,2296];[0,2612,0,2275]
1167609853,29575;EyeTracking;BothEyesTracked;[0,2806,0,2438];[0,2686,0,2432]
1167609853,33463;EyeTracking;BothEyesTracked;[0,2781,0,2432];[0,2612,0,2522]
1167609853,37073;EyeTracking;BothEyesTracked;[0,2775,0,2375];[0,2623,0,2386]
1167609853,40781;EyeTracking;BothEyesTracked;[0,2711,0,2361];[0,2636,0,2512]
1167609853,44465;EyeTracking;BothEyesTracked;[0,2704,0,2329];[0,2586,0,2400]
1167609853,48239;EyeTracking;BothEyesTracked;[0,2689,0,2401];[0,2608,0,2467]
1167609853,52017;EyeTracking;BothEyesTracked;[0,2746,0,2463];[0,2588,0,2331]
1167609853,55722;EyeTracking;BothEyesTracked;[0,2759,0,2400];[0,2597,0,2368]
1167609853,59269;EyeTracking;BothEyesTracked;[0,2701,0,2481];[0,2554,0,2483]
1167609853,62793;EyeTracking;BothEyesTracked;[0,2697,0,2427];[0,2583,0,2308]
1167609853,6676;EyeTracking;BothEyesTracked;[0,2631,0,2354];[0,2608,0,2358]
1167609853,70294;EyeTracking;BothEyesTracked;[0,2706,0,2538];[0,2540,0,2467]
1167609853,73911;EyeTracking;BothEyesTracked;[0,2746,0,2584];[0,2631,0,2426]
1167609853,77554;EyeTracking;BothEyesTracked;[0,2690,0,2454];[0,2521,0,2399]
1167609853,81119;EyeTracking;BothEyesTracked;[0,2692,0,2445];[0,2590,0,2428]
1167609853,84656;EyeTracking;BothEyesTracked;[0,2686,0,2386];[0,2565,0,2363]
1167609853,88315;EyeTracking;BothEyesTracked;[0,2816,0,4315];[0,2753,0,4081]
1167609853,91888;EyeTracking;BothEyesTracked;[0,3024,0,5614];[0,2815,0,5057]
1167609853,95426;EyeTracking;BothEyesTracked;[0,3020,0,5508];[0,2839,0,4929]
1167609853,99047;EyeTracking;BothEyesTracked;[0,3009,0,5466];[0,2921,0,4949]
1167609854,02655;EyeTracking;BothEyesTracked;[0,3086,0,5523];[0,2918,0,5129]
1167609854,06172;EyeTracking;BothEyesTracked;[0,3043,0,5494];[0,2907,0,5203]
1167609854,09712;EyeTracking;BothEyesTracked;[0,3064,0,5570];[0,2841,0,5301]
1167609854,13222;EyeTracking;BothEyesTracked;[0,3026,0,5502];[0,2919,0,5056]
1167609854,16735;EyeTracking;BothEyesTracked;[0,3016,0,5558];[0,2871,0,5088]
1167609854,20311;EyeTracking;BothEyesTracked;[0,3040,0,5516];[0,2959,0,5051]
1167609854,23875;EyeTracking;BothEyesTracked;[0,3030,0,5456];[0,2845,0,5074]
1167609854,27447;EyeTracking;BothEyesTracked;[0,3117,0,5378];[0,2852,0,4941]
1167609854,31014;EyeTracking;BothEyesTracked;[0,3018,0,5556];[0,2861,0,5127]
1167609854,34571;EyeTracking;BothEyesTracked;[0,3026,0,5500];[0,2821,0,5230]
1167609854,38154;EyeTracking;BothEyesTracked;[0,3029,0,5463];[0,2756,0,5149]
1167609854,42109;EyeTracking;BothEyesTracked;[0,3412,0,5334];[0,3214,0,5022]
1167609854,45652;EyeTracking;BothEyesTracked;[0,3674,0,5341];[0,3449,0,4918]
1167609854,49178;EyeTracking;BothEyesTracked;[0,3677,0,5410];[0,3481,0,5023]
1167609854,52713;EyeTracking;BothEyesTracked;[0,3701,0,5239];[0,3542,0,4856]
1167609854,56253;EyeTracking;BothEyesTracked;[0,3655,0,5277];[0,3387,0,4911]
1167609854,59717;EyeTracking;BothEyesTracked;[0,3727,0,5266];[0,3615,0,4994]
1167609854,63543;EyeTracking;BothEyesTracked;[0,4997,0,4320];[0,4759,0,4258]
1167609854,6706;EyeTracking;BothEyesTracked;[0,4941,0,4687];[0,4718,0,4372]
1167609854,71011;EyeTracking;BothEyesTracked;[0,4982,0,4555];[0,4725,0,4399]
1167609854,74566;EyeTracking;BothEyesTracked;[0,4950,0,4705];[0,4734,0,4485]
1167609854,78718;EyeTracking;BothEyesTracked;[0,4990,0,4471];[0,4760,0,4453]
1167609854,82239;EyeTracking;BothEyesTracked;[0,4911,0,4667];[0,4697,0,4459]
1167609854,86125;EyeTracking;BothEyesTracked;[0,4939,0,4715];[0,4697,0,4649]
1167609854,89627;EyeTracking;BothEyesTracked;[0,4907,0,4734];[0,4648,0,4401]
1167609854,93656;EyeTracking;BothEyesTracked;[0,4847,0,4836];[0,4698,0,4482]
1167609854,97139;EyeTracking;BothEyesTracked;[0,4881,0,4857];[0,4575,0,4562]
1167609855,00644;EyeTracking;BothEyesTracked;[0,4910,0,4830];[0,4678,0,4592]
1167609855,04445;EyeTracking;BothEyesTracked;[0,4654,0,4684];[0,4519,0,4276]
1167609855,07892;EyeTracking;BothEyesTracked;[0,4600,0,4897];[0,4500,0,4402]
1167609855,11755;EyeTracking;BothEyesTracked;[0,4587,0,4863];[0,4478,0,4371]
1167609855,15212;EyeTracking;BothEyesTracked;[0,4695,0,4651];[0,4365,0,4490]
1167609855,19163;EyeTracking;BothEyesTracked;[0,4641,0,4881];[0,4370,0,4448]
1167609855,22623;EyeTracking;BothEyesTracked;[0,4639,0,4807];[0,4386,0,4506]
1167609855,26481;EyeTracking;BothEyesTracked;[0,4672,0,4794];[0,4441,0,4432]
1167609855,29888;EyeTracking;BothEyesTracked;[0,4708,0,4659];[0,4390,0,4558]
1167609855,3334;EyeTracking;BothEyesTracked;[0,4756,0,4628];[0,4517,0,4232]
1167609855,36685;EyeTracking;BothEyesTracked;[0,4776,0,4410];[0,4553,0,4260]
1167609855,40162;EyeTracking;BothEyesTracked;[0,4729,0,4532];[0,4500,0,4228]
1167609855,43627;EyeTracking;BothEyesTracked;[0,4750,0,4604];[0,4479,0,4234]
1167609855,47097;EyeTracking;BothEyesTracked;[0,4750,0,4579];[0,4576,0,4139]
1167609855,50573;EyeTracking;BothEyesTracked;[0,4746,0,4673];[0,4474,0,4268]
1167609855,54012;EyeTracking;BothEyesTracked;[0,5082,0,4758];[0,4826,0,4338]
1167609855,57457;EyeTracking;BothEyesTracked;[0,5202,0,4566];[0,4852,0,4534]
1167609855,60914;EyeTracking;BothEyesTracked;[0,5134,0,4741];[0,4821,0,4454]
1167609855,64363;EyeTracking;BothEyesTracked;[0,5099,0,4789];[0,4849,0,4399]
