Timestamp;GazePoint
636172501230,653;
1167611034,02889;1404.48:1385.694
1167611034,06915;1400.544:1377.216
1167611034,10413;1381.536:1374.84
1167611034,1432;1264.8:1316.358
1167611034,17772;1396.896:1329.372
1167611034,21817;1379.424:1330.398
1167611034,25387;1383.744:1341.63
1167611034,29476;1148.256:791.91
1167611034,33005;1147.296:758.754
1167611034,36966;1144.512:748.818
1167611034,40524;1151.904:755.298
1167611034,44516;1140.096:762.264
1167611034,48122;1068.768:705.78
1167611034,52109;1065.696:688.338
1167611034,55499;1074.432:716.472
1167611034,58918;1049.856:697.14
1167611034,62378;1063.296:704.754
1167611034,65818;1038.144:688.662
1167611034,69276;1054.848:695.034
1167611034,72677;1052.448:689.04
1167611034,76106;1045.44:704.754
1167611034,79596;1034.88:680.562
1167611034,83045;1061.568:704.808
1167611034,86476;1284.768:705.402
1167611034,89888;1277.28:715.23
1167611034,93407;1269.504:707.616
1167611034,96808;1269.6:701.622
1167611035,00244;1268.832:709.992
1167611035,03711;1272.96:727.272
1167611035,07171;1267.584:710.586
1167611035,10596;873.408:459.918
1167611035,14066;585.312:253.368
1167611035,17487;582.528:271.728
1167611035,20886;578.496:271.944
1167611035,24324;560.832:273.078
1167611035,27783;579.552:270.054
1167611035,31188;537.792:242.352
1167611035,34622;527.328:230.472
1167611035,38031;532.032:257.256
1167611035,41461;520.896:251.802
1167611035,44882;530.112:228.528
1167611035,48386;530.976:235.386
1167611035,51823;520.128:234.522
1167611035,55311;534.624:225.99
1167611035,58747;546.528:257.04
1167611035,62598;507.456:209.088
1167611035,66024;525.984:235.872
1167611035,69491;532.8:212.166
1167611035,72941;521.088:207.846
1167611035,76392;525.792:203.202
1167611035,80195;515.712:218.646
1167611035,83724;527.136:202.392
1167611035,87611;517.536:512.514
1167611035,91185;479.328:518.562
1167611035,95322;501.984:534.546
1167611035,98819;500.448:519.642
1167611036,02985;502.368:517.374
1167611036,06516;491.328:513.594
1167611036,10674;500.832:521.964
1167611036,14282;498.336:515.052
1167611036,18453;
1167611036,22014;
1167611036,24592;
1167611036,27657;690.432:215.838
1167611036,33958;744.864:492.912
1167611036,38178;
1167611036,42578;814.08:549.288
1167611036,45006;816.576:532.17
1167611036,49161;821.088:536.22
1167611036,52885;821.184:526.716
1167611036,5646;822.72:534.654
1167611036,6008;814.752:531.468
1167611036,63715;1008.864:482.112
1167611036,67434;1144.128:441.828
1167611036,71167;1150.464:438.318
1167611036,74819;1148.544:444.852
1167611036,78496;1156.32:432.864
1167611036,82228;1144.416:424.332
1167611036,85877;1119.36:441.45
1167611036,89516;1123.296:435.726
1167611036,93181;1127.328:434.916
1167611036,96819;1110.048:435.186
1167611037,0047;1109.28:432.81
1167611037,04127;1099.392:435.132
1167611037,078;1216.032:426.924
1167611037,11505;1219.872:426.222
1167611037,15209;1227.648:434.43
1167611037,18914;1224.96:409.644
1167611037,22596;1221.888:428.274
1167611037,26299;1219.872:415.692
1167611037,30008;1228.32:416.178
1167611037,33795;1221.312:427.95
1167611037,37638;1211.04:406.404
1167611037,41474;1218.432:411.372
1167611037,45272;1260.288:375.354
1167611037,49114;1440.864:331.884
1167611037,53061;1456.416:319.896
1167611037,5692;1455.744:337.824
1167611037,60641;1447.392:322.056
1167611037,64352;1455.648:318.654
1167611037,68054;1440.096:308.34
1167611037,72178;1440.96:293.922
1167611037,76005;1454.496:318.168
1167611037,80111;1452.192:298.026
