Timestamp;GazePoint
636172500537,313;
1167610964,7161;722.976:1144.206
1167610964,75969;751.296:1358.262
1167610964,80189;747.36:1042.848
1167610964,84575;762.528:1303.938
1167610964,88342;756.864:1050.516
1167610964,93424;855.168:1263.168
1167610964,97284;688.704:1268.352
1167610965,02614;576.096:834.516
1167610965,06457;573.792:896.4
1167610965,11014;596.736:941.058
1167610965,14895;590.016:935.874
1167610965,19216;586.944:954.396
1167610965,23033;599.712:936.63
1167610965,27188;581.28:919.458
1167610965,30971;479.616:1053.27
1167610965,35395;468.576:1078.272
1167610965,39272;477.984:1082.862
1167610965,43436;482.688:1107.918
1167610965,47111;456.768:1078.11
1167610965,50725;470.784:1083.456
1167610965,54258;437.088:704.484
1167610965,57839;429.12:393.93
1167610965,61477;402.72:375.516
1167610965,65073;418.944:370.332
1167610965,68629;430.944:387.828
1167610965,72172;419.616:395.82
1167610965,75775;469.344:261.36
1167610965,79373;501.6:268.218
1167610965,82939;488.16:259.47
1167610965,86591;479.52:256.23
1167610965,9018;493.344:262.386
1167610965,93761;480.864:247.806
1167610965,97338;425.472:128.142
1167610966,009;410.016:117.18
1167610966,0446;414.336:120.69
1167610966,08152;414.72:123.768
1167610966,11859;398.688:111.834
1167610966,15506;394.08:168.318
1167610966,19122;426.432:180.036
1167610966,2272;408.672:153.414
1167610966,26395;395.808:135.432
1167610966,30044;401.568:136.836
1167610966,33714;400.8:131.49
1167610966,37379;418.848:165.186
1167610966,4102;398.592:166.374
1167610966,44645;412.032:163.188
1167610966,48215;409.248:137.592
1167610966,52224;409.344:158.166
1167610966,55892;401.376:135.756
1167610966,59595;816.0:153.954
1167610966,63391;
1167610966,67121;
1167610966,71421;
1167610966,77832;1419.84:179.064
1167610966,85077;
1167610966,89287;1464.864:168.156
1167610966,91634;1464.096:180.306
1167610966,96575;1439.04:166.374
1167610967,00316;1449.696:178.146
1167610967,0472;1438.368:173.934
1167610967,08542;1453.632:166.212
1167610967,12869;1438.752:182.358
1167610967,16744;1424.064:155.358
1167610967,20891;1452.96:168.102
1167610967,24638;1392.384:197.802
1167610967,28744;1298.112:254.826
