Timestamp;GazePoint
636172501641,907;
1167611075,15435;903.36:1376.19
1167611075,18721;893.76:1350.216
1167611075,22407;893.952:1389.96
1167611075,25629;913.056:1386.396
1167611075,28995;885.696:1392.822
1167611075,32579;900.576:1374.3
1167611075,35894;906.912:1373.166
1167611075,39571;864.384:1360.908
1167611075,42864;918.432:857.52
1167611075,46582;896.352:676.512
1167611075,4987;933.984:710.262
1167611075,53725;925.152:685.908
1167611075,57026;926.784:724.41
1167611075,6074;937.44:690.876
1167611075,63991;924.864:703.566
1167611075,67361;669.024:494.91
1167611075,7069;676.704:506.79
1167611075,74006;670.56:507.546
1167611075,77326;678.432:501.714
1167611075,80681;670.656:502.2
1167611075,8402;676.32:507.546
1167611075,87382;717.024:520.668
1167611075,90694;684.576:520.668
1167611075,94021;706.944:512.298
1167611075,97317;713.28:498.852
1167611076,01074;683.712:480.762
1167611076,04342;716.64:392.364
1167611076,07637;706.848:392.256
1167611076,10894;719.808:399.222
1167611076,14225;702.912:372.06
1167611076,17487;688.608:380.16
1167611076,20787;700.992:405.324
1167611076,24093;693.6:375.246
1167611076,27376;726.24:401.976
1167611076,30687;940.896:462.078
1167611076,34023;1159.2:520.128
1167611076,37375;1168.896:509.058
1167611076,4074;1180.32:549.666
1167611076,44088;1180.032:552.798
1167611076,47479;1177.344:507.006
1167611076,50828;1168.512:540.432
1167611076,54189;1174.08:531.468
1167611076,57557;1171.68:526.932
1167611076,60972;1366.368:635.58
1167611076,64389;1370.208:643.572
1167611076,67983;1387.296:637.794
1167611076,71768;1384.032:644.004
1167611076,75214;1390.848:616.518
1167611076,78673;1365.888:626.562
1167611076,82128;1361.664:624.51
1167611076,85686;1359.936:616.302
1167611076,89594;1354.752:623.808
1167611076,93211;1366.464:589.194
1167611076,97087;1346.496:612.36
1167611077,00591;1348.416:595.89
1167611077,04643;1358.4:613.872
1167611077,08146;1347.744:631.638
1167611077,12062;1033.728:682.074
1167611077,15557;1030.752:659.232
1167611077,19523;1045.92:654.588
1167611077,23087;1037.184:657.396
1167611077,26731;1023.744:672.84
1167611077,30644;940.416:692.874
1167611077,34133;936.192:696.006
1167611077,381;941.088:704.268
1167611077,41652;922.272:696.06
1167611077,45694;940.224:697.788
1167611077,49287;1382.976:603.396
1167611077,53241;1395.36:607.176
1167611077,56916;1384.704:615.762
1167611077,6051;1378.944:622.134
1167611077,64052;1382.784:621.972
1167611077,67797;1391.616:605.394
1167611077,7141;1387.776:632.556
1167611077,74917;1373.856:613.98
1167611077,78535;1382.112:629.748
1167611077,82236;1393.536:636.336
1167611077,85893;1453.344:585.63
1167611077,89635;1436.928:584.766
1167611077,933;1454.208:592.002
1167611077,96966;1454.496:606.15
1167611078,00763;1441.536:598.698
1167611078,04429;1587.456:669.168
1167611078,08099;1575.072:658.314
1167611078,1191;1555.488:665.226
1167611078,15527;1561.44:664.308
1167611078,19099;1555.584:663.336
1167611078,22708;1558.656:634.122
1167611078,26244;1368.0:633.636
1167611078,298;1364.544:628.722
1167611078,33527;1362.624:615.438
1167611078,3712;1375.584:626.562
1167611078,40788;1371.168:616.788
1167611078,44546;1365.888:618.354
1167611078,48327;1364.64:597.996
1167611078,52014;1349.184:594.918
1167611078,55696;1358.688:569.538
1167611078,59347;1357.344:587.142
1167611078,63424;1358.976:610.74
1167611078,67046;1345.152:600.75
1167611078,70737;
1167611078,74415;
1167611078,77819;1394.784:564.678
1167611078,80699;1346.016:587.952
1167611078,84614;1364.832:610.254
1167611078,88416;1363.68:570.402
1167611078,92686;1392.0:660.312
1167611078,96492;1375.68:658.908
1167611079,00813;1366.56:639.468
1167611079,04546;1376.928:646.434
1167611079,08807;1391.328:657.342
1167611079,12678;1388.736:654.696
1167611079,16869;1376.832:644.274
1167611079,20608;1375.584:652.752
1167611079,24967;1387.296:663.714
1167611079,28711;1587.36:768.798
1167611079,32852;1591.776:733.644
1167611079,36595;1621.728:761.508
1167611079,40811;
1167611079,44535;
1167611079,48051;1620.0:785.268
1167611079,51334;
1167611079,54941;1356.0:626.508
1167611079,58012;1335.456:632.07
1167611079,61735;1338.528:622.35
1167611079,65594;1321.728:631.368
1167611079,69312;1340.256:624.132
1167611079,73188;953.088:782.298
1167611079,77006;610.08:889.38
1167611079,80828;580.32:880.956
1167611079,84672;576.288:895.752
1167611079,88418;598.368:870.804
1167611079,92144;588.192:890.622
1167611079,9582;576.096:870.588
1167611079,99491;595.392:895.86
1167611080,03288;578.208:897.966
1167611080,06999;591.168:873.99
1167611080,1071;601.152:861.354
1167611080,14364;582.048:876.744
1167611080,18062;586.08:896.67
1167611080,21741;585.024:845.586
1167611080,25441;603.648:891.054
1167611080,29109;588.96:861.246
1167611080,32807;887.712:876.582
1167611080,36538;1535.136:774.63
1167611080,40321;1568.64:777.06
1167611080,4408;1581.216:781.488
1167611080,47754;1573.344:779.652
1167611080,51432;1609.056:791.748
1167611080,5512;1616.16:815.886
1167611080,59198;1613.184:828.198
1167611080,62832;1622.976:809.622
1167611080,6655;1612.8:814.212
1167611080,703;1600.032:814.968
1167611080,74011;1614.048:811.836
1167611080,77941;1609.824:824.526
1167611080,81613;1601.856:793.8
1167611080,85657;1616.736:800.874
1167611080,893;1605.6:810.108
1167611080,93517;1622.592:804.924
1167611080,97129;1618.08:828.414
1167611081,01209;1621.92:820.692
1167611081,04877;1617.504:810.216
1167611081,09048;1623.936:828.738
1167611081,12665;1616.736:802.71
1167611081,16855;1611.264:808.92
1167611081,20564;1638.048:794.34
1167611081,24641;1484.736:894.942
1167611081,28265;1485.024:884.034
1167611081,3234;1476.576:896.292
1167611081,35971;1479.072:907.146
1167611081,39955;1447.968:886.734
1167611081,43496;1483.872:888.138
1167611081,47097;1483.872:898.506
1167611081,51921;1480.8:884.088
1167611081,60666;1524.096:727.434
1167611081,72363;1453.344:431.244
1167611081,84926;1425.696:321.03
1167611081,93358;1394.688:266.49
1167611081,97907;1416.288:314.388
1167611082,01713;1639.872:433.134
1167611082,05497;1613.472:389.718
1167611082,09221;1617.888:418.284
1167611082,12967;1633.824:397.656
1167611082,16725;1637.472:392.796
1167611082,20476;1587.648:561.924
1167611082,24249;1581.696:541.782
1167611082,27846;1606.752:544.158
1167611082,31486;
1167611082,35246;1587.84:534.06
1167611082,38608;1597.536:540.108
1167611082,42269;1594.752:569.322
1167611082,46074;1589.664:548.802
1167611082,50312;1602.24:551.556
1167611082,53948;1276.32:501.336
1167611082,57664;1186.848:499.446
1167611082,61359;1184.544:515.862
1167611082,65112;1171.872:505.926
1167611082,69225;1189.728:520.506
1167611082,73174;1182.624:509.274
1167611082,77395;1023.456:466.398
1167611082,81257;832.224:439.074
1167611082,85623;826.656:457.326
1167611082,8961;818.784:442.908
1167611082,94141;771.168:453.222
1167611082,98085;731.808:532.008
1167611083,0239;720.768:526.338
1167611083,06261;712.224:517.644
1167611083,10384;739.776:521.586
1167611083,14149;636.96:917.136
1167611083,18316;612.48:962.226
1167611083,22239;620.352:933.012
1167611083,26445;618.144:957.636
1167611083,30127;633.312:944.244
1167611083,34251;596.928:868.104
1167611083,37911;600.48:888.894
1167611083,41631;603.744:861.948
1167611083,45405;598.944:876.744
1167611083,49058;614.592:873.072
1167611083,52688;615.552:892.242
1167611083,56267;285.984:988.308
1167611083,59823;257.952:957.906
1167611083,63413;300.288:972.162
1167611083,66886;290.592:956.934
1167611083,71107;258.624:965.304
1167611083,74591;293.184:959.85
1167611083,78042;273.024:956.07
1167611083,81496;125.76:853.524
1167611083,84994;
1167611083,88445;134.496:814.644
1167611083,90959;115.104:767.286
1167611083,94367;156.864:702.0
1167611083,97794;174.816:667.386
1167611084,01172;179.328:674.298
1167611084,04625;171.552:687.258
1167611084,08056;139.488:659.61
1167611084,1148;164.064:682.452
1167611084,14914;148.704:689.958
1167611084,18424;138.24:701.568
1167611084,21837;81.984:603.774
1167611084,25294;118.56:650.322
1167611084,28715;57.792:625.482
1167611084,32136;113.28:705.132
1167611084,35597;129.312:697.086
1167611084,39097;117.024:695.898
1167611084,42925;110.784:675.324
1167611084,46372;144.384:692.334
1167611084,49896;298.944:784.296
1167611084,53458;588.864:849.582
1167611084,57033;618.624:839.376
1167611084,60514;629.28:839.376
1167611084,64446;608.448:805.032
1167611084,68047;622.272:826.038
1167611084,71998;621.216:822.852
1167611084,75624;607.008:841.428
1167611084,79888;607.584:858.816
1167611084,83543;588.288:818.532
1167611084,87608;615.936:806.274
1167611084,91177;641.568:790.182
1167611084,95217;584.832:850.986
1167611084,99011;622.464:829.17
1167611085,02981;597.216:856.926
1167611085,06532;606.24:851.418
1167611085,10519;597.6:869.346
1167611085,14188;676.704:822.852
1167611085,18223;1356.576:795.852
1167611085,219;1458.144:782.73
1167611085,26107;1446.624:822.366
1167611085,29707;1442.304:828.144
1167611085,33235;
1167611085,36874;
1167611085,40935;1379.232:757.026
1167611085,43775;1387.104:762.75
1167611085,47464;1382.88:743.904
1167611085,51147;1389.312:675.0
1167611085,54813;1385.28:627.534
1167611085,58473;1377.312:620.622
1167611085,62136;1375.584:636.12
1167611085,6579;1367.52:618.57
1167611085,69419;1359.168:608.04
1167611085,73066;949.536:638.28
1167611085,76648;382.272:710.37
1167611085,80399;208.128:723.276
1167611085,83971;240.768:629.694
1167611085,87669;243.744:673.974
1167611085,91427;213.6:667.224
1167611085,95141;116.544:673.272
1167611085,98833;129.792:638.442
1167611086,0256;129.12:671.436
1167611086,06248;118.272:656.964
1167611086,09929;111.36:659.448
1167611086,13627;121.632:680.616
1167611086,17285;118.944:665.766
1167611086,20952;
1167611086,24611;
1167611086,27638;
1167611086,3097;100.704:565.65
1167611086,3357;160.608:611.604
1167611086,37438;
1167611086,40966;
1167611086,44563;254.016:420.282
1167611086,48063;186.912:485.028
1167611086,51496;83.52:289.062
1167611086,55874;184.032:468.612
1167611086,59554;171.264:483.084
1167611086,6359;199.488:380.97
1167611086,67155;
1167611086,71292;
1167611086,73937;170.208:312.984
1167611086,77946;152.352:316.764
1167611086,81596;175.776:253.098
1167611086,85782;182.016:285.552
1167611086,89586;357.216:254.718
1167611086,93724;362.016:205.578
1167611086,97359;355.968:237.222
1167611087,01454;356.448:249.804
1167611087,05214;365.568:252.072
1167611087,09436;344.928:253.962
1167611087,13126;316.416:302.238
1167611087,17216;
1167611087,20744;
1167611087,2329;
1167611087,28507;
1167611087,33341;
1167611087,37169;
1167611087,39891;
1167611087,45934;
1167611087,50347;
1167611087,53965;
1167611087,59787;
1167611087,63192;
1167611087,66616;
1167611087,74111;
1167611087,80114;
1167611087,83181;
1167611087,87045;
1167611087,94323;1087.392:1002.942
1167611087,99773;
1167611088,03514;1124.256:1089.504
1167611088,06382;1128.96:1087.344
1167611088,10448;907.392:1093.068
1167611088,14081;847.296:1102.356
1167611088,17749;833.376:1096.2
1167611088,21388;848.928:1090.098
1167611088,2541;832.224:1090.044
1167611088,28973;852.576:1104.84
1167611088,326;841.92:1081.62
1167611088,3633;832.992:1094.58
1167611088,39974;841.152:1080.972
1167611088,43613;719.328:921.402
1167611088,47507;681.024:889.758
1167611088,51041;679.776:919.782
1167611088,54938;673.632:910.602
1167611088,58467;654.432:915.732
1167611088,62529;594.528:884.736
1167611088,66055;595.968:889.164
1167611088,69999;604.416:877.23
1167611088,73445;611.52:885.816
1167611088,7748;937.824:634.662
1167611088,80976;1118.976:550.422
1167611088,84874;1108.896:519.21
1167611088,88329;1111.776:546.372
1167611088,92287;1117.344:521.424
1167611088,95828;1101.984:546.75
1167611088,99842;1128.864:537.894
1167611089,03355;1113.6:522.072
1167611089,07218;1157.28:496.044
1167611089,10647;1160.352:512.298
1167611089,14093;1150.56:498.852
1167611089,17652;1151.52:511.164
1167611089,21258;1170.336:524.61
1167611089,24833;1171.776:512.352
1167611089,28384;1136.064:491.076
1167611089,31914;1264.128:383.076
1167611089,35383;1263.168:395.658
1167611089,38855;1240.8:371.304
1167611089,42296;1259.808:379.296
1167611089,4581;1260.0:371.52
1167611089,4931;1262.304:360.342
1167611089,52732;1263.36:379.188
1167611089,56178;1242.816:358.722
1167611089,5969;1241.664:346.302
1167611089,6313;1249.536:426.87
1167611089,66578;1315.2:862.704
1167611089,7001;1308.288:865.836
1167611089,73522;1319.232:867.726
1167611089,76915;1309.344:859.086
1167611089,80318;1313.664:871.938
1167611089,83729;1309.248:874.584
1167611089,87126;1327.872:903.852
1167611089,90517;1310.688:877.716
1167611089,93918;1311.84:858.33
1167611089,97334;1268.832:948.294
1167611090,00743;1239.456:977.616
1167611090,04148;1218.624:997.488
1167611090,07547;1225.728:981.882
1167611090,10975;1228.128:988.092
1167611090,1452;1225.92:995.058
1167611090,1818;1241.952:976.266
1167611090,21566;1222.752:997.488
1167611090,24969;1219.872:1002.456
1167611090,28378;1246.656:1074.168
1167611090,31792;1255.872:1052.406
1167611090,35615;1238.688:1045.872
1167611090,39042;1249.056:1078.704
1167611090,42885;1267.488:1069.092
1167611090,46384;1248.0:1060.128
1167611090,50425;1038.432:1141.02
1167611090,54011;835.104:1111.32
1167611090,58026;840.096:1113.642
1167611090,61418;827.904:1098.684
1167611090,65391;830.496:1107.378
1167611090,68851;842.496:1120.608
1167611090,72717;826.176:1119.744
1167611090,7614;840.768:1115.694
1167611090,79997;833.568:1102.68
1167611090,83439;849.6:1094.85
1167611090,8733;844.896:1085.778
1167611090,90815;850.464:1093.608
1167611090,9463;842.112:1109.538
1167611090,98015;841.632:1106.514
1167611091,01424;825.12:1075.464
1167611091,04862;631.488:727.866
1167611091,08305;
1167611091,11944;
1167611091,14459;
1167611091,16989;
1167611091,21586;640.224:452.088
1167611091,26925;
1167611091,30521;602.688:903.798
1167611091,34662;591.84:857.52
1167611091,38534;582.336:901.368
1167611091,41929;578.4:935.064
1167611091,45339;605.952:942.624
1167611091,4875;603.36:933.282
1167611091,52165;598.656:936.846
1167611091,55592;602.016:912.06
1167611091,58988;584.64:929.502
1167611091,62387;610.176:947.268
1167611091,65816;592.128:943.866
1167611091,69212;606.144:944.784
1167611091,72624;614.208:965.79
1167611091,76113;601.92:940.95
1167611091,79563;355.68:1120.068
1167611091,83013;335.04:1135.512
1167611091,86416;333.984:1114.398
1167611091,89938;235.296:749.088
1167611091,93494;354.048:1087.506
1167611091,97274;356.448:1110.942
1167611092,00706;361.152:1102.464
1167611092,04432;348.96:1092.366
1167611092,07827;351.36:1105.38
1167611092,11263;365.28:1105.812
1167611092,14695;536.64:1279.26
1167611092,18121;598.752:1328.454
1167611092,21669;587.424:1351.08
1167611092,25441;585.792:1350.324
1167611092,28971;562.464:1340.01
1167611092,32824;564.096:1319.652
1167611092,36342;608.448:1325.646
1167611092,40414;593.376:1340.064
1167611092,43925;574.944:1363.23
1167611092,47843;569.856:1338.66
