Timestamp;GazePoint
636172500881,473;
1167610999,11039;922.944:1317.546
1167610999,14892;
1167610999,18252;
1167610999,21119;
1167610999,23717;
1167610999,2631;996.0:426.6
1167610999,33235;966.72:520.722
1167610999,36918;
1167610999,4051;957.312:532.764
1167610999,43088;964.032:530.658
1167610999,46717;964.032:573.102
1167610999,50155;964.992:543.294
1167610999,53593;558.528:596.646
1167610999,56998;530.304:626.022
1167610999,60463;555.552:615.33
1167610999,63864;586.944:611.982
1167610999,67252;558.816:614.25
1167610999,70671;531.072:601.614
1167610999,74072;543.936:599.724
1167610999,77489;557.28:599.184
1167610999,83869;662.976:695.304
1167610999,92158;661.536:694.44
1167611000,00728;664.416:669.978
1167611000,13513;685.92:692.766
1167611000,20241;682.944:711.18
1167611000,25315;709.44:774.414
1167611000,28746;680.352:716.904
1167611000,32277;684.864:698.706
1167611000,35815;664.608:692.388
1167611000,39285;702.816:726.786
1167611000,43185;697.152:700.11
1167611000,46711;688.608:701.298
1167611000,50613;665.088:731.322
1167611000,54116;462.24:793.422
1167611000,58189;442.656:772.74
1167611000,61734;430.176:796.716
1167611000,65756;481.824:813.132
1167611000,69342;442.464:789.75
1167611000,73419;457.728:776.142
1167611000,76954;460.416:812.97
1167611000,81011;441.696:774.522
1167611000,84664;460.8:802.98
1167611000,8892;453.792:781.974
1167611000,92669;444.0:762.588
1167611000,96806;452.736:762.48
1167611001,00456;440.928:759.294
1167611001,04489;471.264:777.168
1167611001,0798;466.272:766.26
1167611001,11534;457.632:773.55
1167611001,15113;457.536:627.804
1167611001,18662;455.328:632.448
1167611001,22347;475.008:627.318
1167611001,26029;457.92:611.496
1167611001,29712;417.984:616.302
1167611001,33335;412.8:621.162
1167611001,36911;418.848:653.454
1167611001,40471;410.4:603.99
1167611001,4403;411.84:627.75
1167611001,47589;398.016:615.384
1167611001,51148;410.592:637.092
1167611001,54718;416.64:618.624
1167611001,58293;407.904:602.802
1167611001,61869;395.232:598.59
1167611001,65547;702.912:686.988
1167611001,69217;699.648:696.114
1167611001,72847;691.68:676.026
1167611001,76524;699.744:700.164
1167611001,80205;699.264:670.518
1167611001,83839;717.024:691.416
1167611001,87518;573.504:617.436
1167611001,91195;551.808:598.86
1167611001,94855;553.536:597.834
1167611001,9851;551.616:599.346
1167611002,02152;560.448:628.074
1167611002,05792;557.376:585.576
1167611002,09448;553.248:612.468
1167611002,13463;546.048:590.544
1167611002,17139;562.56:616.842
1167611002,20875;550.272:608.796
1167611002,24625;788.256:1055.538
1167611002,28367;774.72:1036.692
1167611002,32555;787.776:1055.754
1167611002,36329;791.136:1058.184
1167611002,4053;794.496:1053.756
1167611002,44319;801.792:1089.558
1167611002,48778;759.744:1113.75
1167611002,52566;768.48:1121.418
1167611002,56792;770.4:1092.798
1167611002,60609;761.952:1101.978
1167611002,64992;771.168:1108.566
1167611002,68848;716.832:957.582
1167611002,73148;729.696:859.302
1167611002,769;741.216:866.538
1167611002,81128;741.12:871.56
1167611002,84931;761.568:876.366
1167611002,89172;730.368:879.66
1167611002,92988;765.312:907.848
1167611002,97134;669.792:702.108
1167611003,00744;
1167611003,04382;
1167611003,07007;
1167611003,09632;
1167611003,12222;
1167611003,16652;
1167611003,21506;728.064:831.114
1167611003,23773;673.824:700.38
1167611003,2772;667.776:703.026
1167611003,31395;654.72:667.764
1167611003,349;657.504:691.632
1167611003,38476;655.296:693.684
1167611003,42088;681.792:678.996
1167611003,45738;687.168:669.492
1167611003,49441;674.4:662.364
1167611003,53128;679.872:675.972
1167611003,5684;590.016:690.12
1167611003,60443;400.896:756.972
1167611003,64016;408.288:769.338
1167611003,677;400.608:772.524
1167611003,71276;392.256:762.966
1167611003,74831;378.912:748.872
1167611003,78438;389.952:761.184
1167611003,82051;431.136:765.396
1167611003,85667;410.592:738.126
1167611003,90061;420.096:709.776
1167611003,93618;240.48:595.134
1167611003,97191;237.408:607.986
1167611004,00836;241.152:608.148
1167611004,04833;234.432:619.812
1167611004,08409;235.968:638.82
1167611004,12061;233.952:631.26
1167611004,15768;243.36:626.508
1167611004,19429;232.512:608.472
1167611004,23067;231.072:606.636
1167611004,27111;240.48:622.188
1167611004,3081;243.168:615.87
1167611004,34881;275.04:612.522
1167611004,38579;291.744:621.162
1167611004,42791;283.872:619.488
1167611004,46486;261.312:596.808
1167611004,50521;274.464:583.146
1167611004,54147;261.024:352.782
1167611004,58338;271.584:381.564
1167611004,62091;265.632:370.548
1167611004,66209;273.216:394.74
1167611004,69859;241.056:354.942
1167611004,74081;247.2:356.184
1167611004,77887;259.776:377.406
1167611004,82141;223.872:360.126
1167611004,85919;321.696:205.632
1167611004,90035;230.304:335.826
1167611004,93693;212.352:361.746
1167611004,9745;233.28:352.944
1167611005,01163;223.488:362.556
1167611005,04907;182.688:108.486
1167611005,08598;188.64:97.848
1167611005,12358;190.272:76.248
1167611005,16122;164.544:79.002
1167611005,19929;184.992:91.53
1167611005,23737;176.736:109.188
1167611005,27636;181.44:78.138
1167611005,31457;185.472:119.124
1167611005,35261;189.6:140.724
1167611005,39073;
1167611005,4287;170.4:144.18
1167611005,46674;422.592:110.376
1167611005,50484;642.144:137.106
1167611005,54362;665.952:118.908
1167611005,58209;668.064:124.038
1167611005,6206;647.616:136.674
1167611005,65894;644.16:124.848
1167611005,69739;662.016:146.934
1167611005,73606;639.072:139.644
1167611005,77476;619.488:330.21
1167611005,81328;618.912:379.62
1167611005,85208;611.04:391.77
1167611005,89116;620.544:367.308
1167611005,93032;666.432:423.846
1167611005,97009;667.968:413.802
1167611006,01169;664.704:421.416
1167611006,05171;669.216:424.656
1167611006,09089;690.24:633.636
1167611006,13155;682.464:779.598
1167611006,1737;682.944:757.08
1167611006,21539;685.344:753.786
1167611006,25533;700.704:741.474
1167611006,29886;680.16:718.956
1167611006,33919;693.12:767.718
1167611006,38434;683.808:752.814
1167611006,42398;681.696:765.774
1167611006,46752;692.16:767.286
1167611006,50665;705.792:630.234
1167611006,55115;700.992:653.724
1167611006,59063;702.048:565.65
1167611006,63357;702.24:625.698
1167611006,67224;704.352:636.336
1167611006,71609;707.52:642.546
1167611006,75483;715.104:645.354
1167611006,79913;669.408:634.014
1167611006,83758;656.064:649.62
1167611006,87995;676.8:657.99
1167611006,91853;656.544:636.228
1167611006,95612;663.936:659.61
1167611006,99354;
1167611007,03171;
1167611007,06416;
1167611007,11945;654.048:619.11
1167611007,18417;
1167611007,22243;686.304:594.81
1167611007,2473;661.92:670.788
1167611007,2958;659.232:665.604
1167611007,33488;676.512:684.072
1167611007,37316;670.944:670.518
1167611007,41162;664.416:665.874
1167611007,44985;1120.8:585.306
1167611007,48805;1364.352:587.952
1167611007,52819;1368.096:586.008
1167611007,56705;1368.288:570.402
1167611007,60541;1357.632:572.022
1167611007,64361;1365.984:569.268
1167611007,6816;1367.616:576.774
1167611007,71967;1356.288:602.964
1167611007,75787;1277.376:614.898
1167611007,79581;1265.952:597.132
1167611007,83368;1280.544:583.416
1167611007,87161;1271.424:605.178
1167611007,90888;1231.776:592.542
1167611007,94642;1239.744:610.146
1167611007,98741;1233.504:583.956
1167611008,02468;1234.272:587.088
1167611008,06252;1213.824:590.76
1167611008,10053;1216.992:584.766
1167611008,13808;1216.704:593.19
1167611008,17879;1213.536:582.876
1167611008,21748;1215.84:601.344
1167611008,25967;1446.912:708.858
1167611008,29819;1434.336:719.118
1167611008,34194;1444.992:714.852
1167611008,38029;1431.36:729.54
1167611008,42247;1427.424:725.112
1167611008,46035;1429.632:736.452
1167611008,50344;1415.328:750.762
1167611008,54017;1418.4:725.22
1167611008,5821;1646.592:667.332
1167611008,62047;1635.936:671.976
1167611008,66071;1607.808:513.054
1167611008,69842;1645.344:630.126
1167611008,74233;1663.296:647.028
1167611008,7784;1641.696:651.672
1167611008,81817;1630.848:658.476
1167611008,85419;1637.664:651.942
1167611008,88992;1621.056:676.134
1167611008,92608;1639.872:665.01
1167611008,96337;1627.392:664.038
1167611009,00007;1626.528:663.444
1167611009,03657;1615.68:666.522
1167611009,07424;1544.256:608.634
1167611009,11193;1550.208:611.82
1167611009,14906;1550.976:591.03
1167611009,186;1540.512:599.616
1167611009,2229;1547.136:592.056
1167611009,25976;1519.008:611.874
1167611009,29661;1511.04:602.154
1167611009,33334;1501.536:588.438
1167611009,37015;1526.688:601.776
1167611009,40792;1529.664:590.112
1167611009,4454;1512.384:581.688
1167611009,48225;1500.0:602.1
1167611009,51797;1407.072:620.946
1167611009,55449;1413.792:614.736
1167611009,59192;1409.28:622.728
1167611009,62975;1414.944:588.654
1167611009,66763;1412.448:604.584
1167611009,70617;1409.664:611.334
