Timestamp;Action;ActionArgs;LeftEye;RightEye
0874,07413;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610874,11094;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610874,15363;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610874,19617;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610874,23877;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167610874,2674;EyeTracking;OnlyLeftEyeTracked;[0,4380,0,2284];[-,-]
1167610874,29146;EyeTracking;BothEyesTracked;[0,4141,0,2797];[0,4061,0,2992]
1167610874,34143;EyeTracking;BothEyesTracked;[0,4297,0,2833];[0,3827,0,2737]
1167610874,40463;EyeTracking;BothEyesTracked;[0,4198,0,2862];[0,3974,0,2503]
1167610874,45148;EyeTracking;BothEyesTracked;[0,4218,0,2616];[0,3995,0,2668]
1167610874,51141;EyeTracking;BothEyesTracked;[0,4236,0,2703];[0,3885,0,2828]
1167610874,57031;EyeTracking;BothEyesTracked;[0,4260,0,2739];[0,3944,0,2975]
1167610874,6291;EyeTracking;BothEyesTracked;[0,4201,0,2859];[0,3942,0,3153]
1167610874,68888;EyeTracking;BothEyesTracked;[0,4277,0,3134];[0,4030,0,3029]
1167610874,74849;EyeTracking;BothEyesTracked;[0,4300,0,2516];[0,3948,0,2815]
1167610874,81509;EyeTracking;BothEyesTracked;[0,4179,0,2813];[0,3979,0,2859]
1167610874,88189;EyeTracking;BothEyesTracked;[0,4230,0,2766];[0,3945,0,2804]
1167610874,94124;EyeTracking;BothEyesTracked;[0,4224,0,2581];[0,3983,0,2887]
1167610875,00066;EyeTracking;BothEyesTracked;[0,4294,0,3048];[0,3853,0,2861]
1167610875,05961;EyeTracking;BothEyesTracked;[0,4303,0,3045];[0,2995,0,6135]
1167610875,11895;EyeTracking;BothEyesTracked;[0,4222,0,2746];[0,4038,0,2877]
1167610875,19014;EyeTracking;BothEyesTracked;[0,4329,0,2677];[0,3882,0,2887]
1167610875,25835;EyeTracking;BothEyesTracked;[0,4305,0,2915];[0,3855,0,2854]
1167610875,31812;EyeTracking;BothEyesTracked;[0,4298,0,2715];[0,3811,0,1034]
1167610875,38949;EyeTracking;BothEyesTracked;[0,4382,0,3009];[0,3992,0,2927]
1167610875,45316;EyeTracking;BothEyesTracked;[0,4143,0,3008];[0,3830,0,3377]
1167610875,53168;EyeTracking;BothEyesTracked;[0,3456,0,3332];[0,3468,0,3140]
1167610875,57346;EyeTracking;BothEyesTracked;[0,3368,0,3041];[0,3397,0,3432]
1167610875,6161;EyeTracking;BothEyesTracked;[0,3438,0,3490];[0,3385,0,3391]
1167610875,65495;EyeTracking;BothEyesTracked;[0,3576,0,3857];[0,3363,0,3392]
1167610875,69716;EyeTracking;BothEyesTracked;[0,3732,0,3832];[0,3464,0,3566]
1167610875,73458;EyeTracking;BothEyesTracked;[0,3539,0,3405];[0,3477,0,3356]
1167610875,77718;EyeTracking;BothEyesTracked;[0,3554,0,3288];[0,3447,0,3542]
1167610875,81557;EyeTracking;BothEyesTracked;[0,3732,0,3469];[0,3364,0,3500]
1167610875,85769;EyeTracking;BothEyesTracked;[0,3711,0,3754];[0,3274,0,3293]
1167610875,89553;EyeTracking;BothEyesTracked;[0,3343,0,3253];[0,3483,0,3365]
1167610875,93732;EyeTracking;BothEyesTracked;[0,3588,0,3406];[0,3535,0,3678]
1167610875,97554;EyeTracking;BothEyesTracked;[0,3599,0,3446];[0,3374,0,3777]
1167610876,02046;EyeTracking;BothEyesTracked;[0,3639,0,3394];[0,3495,0,3618]
1167610876,05986;EyeTracking;BothEyesTracked;[0,3513,0,3503];[0,3504,0,3579]
1167610876,10273;EyeTracking;BothEyesTracked;[0,3712,0,3785];[0,3262,0,3493]
1167610876,14046;EyeTracking;BothEyesTracked;[0,3397,0,3748];[0,3369,0,3463]
1167610876,1782;EyeTracking;BothEyesTracked;[0,3484,0,3225];[0,3371,0,3848]
1167610876,21598;EyeTracking;BothEyesTracked;[0,3551,0,3261];[0,3239,0,3742]
1167610876,25356;EyeTracking;BothEyesTracked;[0,3514,0,3427];[0,3292,0,3537]
1167610876,29161;EyeTracking;BothEyesTracked;[0,3371,0,3508];[0,3337,0,3620]
1167610876,32931;EyeTracking;BothEyesTracked;[0,3465,0,3528];[0,3414,0,3763]
1167610876,36733;EyeTracking;BothEyesTracked;[0,3646,0,3664];[0,3346,0,4026]
