Timestamp;GazePoint
636172511362,523;
1167612047,02225;718.944:503.118
1167612047,05986;742.944:510.354
1167612047,10658;733.92:509.814
1167612047,15335;738.816:507.06
1167612047,1996;748.8:506.574
1167612047,24862;733.344:512.73
1167612047,29385;644.448:511.002
1167612047,34906;617.568:510.678
1167612047,40012;622.272:494.91
1167612047,44977;823.584:511.866
1167612047,49465;828.384:518.13
1167612047,53812;820.8:525.906
1167612047,58217;823.104:508.572
1167612047,6323;817.056:516.996
1167612047,67754;826.752:521.154
1167612047,7274;985.44:481.41
1167612047,7726;1140.864:466.452
1167612047,8163;1135.392:468.504
1167612047,86286;1145.952:457.974
1167612047,91508;1133.952:458.838
1167612047,95513;1137.216:456.84
1167612047,99869;
1167612048,03861;1099.488:665.442
1167612048,07347;1074.432:650.484
1167612048,11242;
1167612048,15206;
1167612048,18011;1179.84:628.074
1167612048,2092;1189.056:606.204
1167612048,24871;1200.672:610.632
1167612048,28906;1190.784:576.072
1167612048,32915;1208.064:612.684
1167612048,36937;1196.16:610.362
1167612048,41043;761.376:755.136
1167612048,451;754.848:759.618
1167612048,49152;745.44:757.35
1167612048,5319;755.904:750.114
1167612048,57198;
1167612048,61266;
1167612048,64214;
1167612048,67157;743.424:739.422
1167612048,70494;1018.464:981.774
1167612048,74585;1017.696:951.372
1167612048,78731;1024.608:949.104
1167612048,82771;1007.424:931.446
1167612048,87535;1083.936:949.536
1167612048,91614;1093.728:951.102
1167612048,96376;1081.92:970.704
1167612049,01153;1243.296:969.3
1167612049,05897;1608.0:954.126
1167612049,1119;1608.96:965.52
1167612049,1603;1602.624:980.64
1167612049,20119;1748.448:819.45
1167612049,24192;1750.272:790.506
1167612049,28631;
1167612049,33499;1722.624:836.514
1167612049,37334;1750.368:840.78
1167612049,41286;1740.768:894.078
1167612049,4601;1738.56:904.338
1167612049,5019;1746.336:910.494
1167612049,54899;1713.792:912.654
1167612049,59092;1740.864:902.448
1167612049,64513;1747.008:898.182
1167612049,68767;1727.712:898.236
1167612049,73461;1738.848:349.812
1167612049,77636;1735.008:280.962
1167612049,8328;1738.368:157.572
1167612049,87787;1742.592:282.744
1167612049,9381;1765.44:250.56
1167612049,98578;1760.928:234.414
1167612050,03348;1735.008:265.194
1167612050,07563;1164.864:186.732
1167612050,12456;1154.88:180.684
1167612050,17565;1078.848:169.776
1167612050,2179;529.056:177.336
1167612050,2604;781.344:222.048
1167612050,30381;525.984:179.01
1167612050,34707;525.792:205.47
1167612050,38922;525.312:190.782
1167612050,43306;450.72:243.108
1167612050,47641;443.808:241.704
1167612050,51981;436.8:238.356
1167612050,56307;864.768:257.742
1167612050,60523;440.16:246.24
1167612050,64846;457.536:254.772
1167612050,69021;432.864:247.59
1167612050,73213;443.328:252.774
1167612050,77474;449.568:320.868
1167612050,81692;456.768:313.146
1167612050,85981;
1167612050,9028;
1167612050,93289;
1167612050,97136;439.968:514.836
1167612051,0087;457.536:515.808
1167612051,05015;458.4:504.954
1167612051,11216;439.968:517.374
1167612051,16215;382.368:816.048
1167612051,21282;390.144:835.758
1167612051,25611;384.384:833.166
1167612051,31076;374.976:831.654
1167612051,36242;329.472:933.93
1167612051,40898;357.312:952.02
1167612051,45138;328.416:953.91
1167612051,50753;
1167612051,55;87.552:908.172
1167612051,59651;
1167612051,63798;
1167612051,68975;
1167612051,74255;
1167612051,79173;750.912:769.608
1167612051,83009;
1167612051,88413;
1167612051,92271;
1167612051,95996;
1167612052,00226;819.456:732.726
1167612052,04798;1095.456:642.33
1167612052,09087;
1167612052,13284;1090.944:630.666
1167612052,16383;1084.992:630.99
1167612052,20492;1088.928:652.104
1167612052,24641;1181.952:571.86
1167612052,28767;1182.144:573.966
1167612052,33654;1211.04:589.95
1167612052,38621;1218.624:581.688
1167612052,42856;1195.776:573.048
1167612052,47014;1239.936:404.784
1167612052,51229;1258.944:404.082
1167612052,55455;1232.832:423.198
1167612052,59648;1238.592:410.67
1167612052,63859;1238.304:395.712
1167612052,6796;1403.808:273.078
1167612052,72793;1409.76:257.796
1167612052,77167;1430.976:274.86
1167612052,82054;1543.008:290.844
1167612052,86236;1533.216:316.98
1167612052,90444;1527.264:278.478
1167612052,95619;1510.464:283.338
1167612053,00132;1522.944:280.962
1167612053,04976;1512.288:290.736
1167612053,09249;1522.368:298.728
1167612053,14682;1521.12:352.188
1167612053,19697;1534.368:350.514
1167612053,24693;1888.032:528.984
1167612053,28872;1538.976:345.006
1167612053,33435;1536.864:343.008
1167612053,37722;1524.288:349.002
1167612053,42437;1520.256:356.13
1167612053,46765;1525.248:357.156
1167612053,51657;1519.68:344.952
1167612053,5594;1525.536:337.662
1167612053,60779;1517.088:333.504
1167612053,65129;1526.208:343.17
1167612053,70012;1534.464:344.736
1167612053,74218;
1167612053,79055;
1167612053,83481;
1167612053,86146;1482.816:620.784
1167612053,92879;
1167612053,97909;1461.984:573.912
1167612054,00297;1432.896:600.048
1167612054,04977;1456.32:595.404
1167612054,0985;1327.776:841.86
1167612054,14669;1302.528:814.644
1167612054,18768;1310.88:815.346
1167612054,22825;1309.248:822.312
1167612054,26912;1314.72:824.58
1167612054,31737;1318.176:816.426
