Timestamp;GazePoint
636172508956,525;
1167611806,46815;916.128:606.798
1167611806,50665;927.744:624.726
1167611806,54455;918.912:616.896
1167611806,58175;903.744:633.528
1167611806,61963;913.248:616.14
1167611806,66284;902.496:629.694
1167611806,69964;904.32:630.072
1167611806,74269;494.592:547.02
1167611806,77947;499.2:548.046
1167611806,8164;511.872:545.94
1167611806,85311;523.104:551.34
1167611806,88985;506.688:543.348
1167611806,92651;512.352:554.31
1167611806,96325;518.688:524.286
1167611806,99998;489.408:500.31
1167611807,03682;494.304:491.4
1167611807,07889;488.832:498.366
1167611807,11556;505.248:499.986
1167611807,15893;511.872:494.208
1167611807,19605;505.536:486.324
1167611807,23314;512.352:477.576
1167611807,27444;510.048:475.254
1167611807,31239;514.464:462.78
1167611807,35631;405.312:194.994
1167611807,39445;416.256:182.412
1167611807,43972;418.752:187.596
1167611807,47872;402.528:184.95
1167611807,52174;389.184:188.73
1167611807,55945;362.208:203.418
1167611807,60398;376.608:201.96
1167611807,64266;358.08:201.582
1167611807,68717;1351.008:218.592
1167611807,73174;872.928:387.126
1167611807,7769;1459.488:237.546
1167611807,82355;1452.288:231.552
1167611807,8676;1534.272:202.338
1167611807,9124;1546.656:200.988
1167611807,95899;1540.896:189.486
1167611808,0039;1528.416:201.528
1167611808,04732;1530.24:187.974
1167611808,09263;1531.968:212.49
1167611808,13242;1342.752:268.488
1167611808,17823;1345.92:281.988
1167611808,2241;1353.408:267.246
1167611808,26906;1335.168:278.964
1167611808,30796;1362.72:275.184
1167611808,3541;1358.016:249.048
1167611808,39355;1363.2:256.5
1167611808,43296;985.248:221.076
1167611808,47242;392.64:225.018
1167611808,51215;385.728:210.708
1167611808,5597;385.344:215.946
1167611808,60696;406.848:208.818
1167611808,64653;400.032:210.168
1167611808,69971;369.888:235.548
1167611808,74627;376.704:223.614
1167611808,79239;377.472:201.582
1167611808,83241;370.176:218.268
1167611808,87857;365.664:208.278
1167611808,92445;374.112:205.038
1167611808,97087;350.688:215.568
1167611809,01033;516.864:201.096
1167611809,05428;1486.08:172.314
1167611809,09364;1443.456:156.222
1167611809,13483;1437.984:166.914
1167611809,19181;1447.488:177.336
1167611809,24565;
1167611809,29873;
1167611809,34844;
1167611809,39344;1545.696:184.95
1167611809,4448;
1167611809,49393;
1167611809,53684;
1167611809,56339;
1167611809,61054;1332.192:399.654
1167611809,64193;1452.288:266.976
1167611809,68431;1351.2:279.612
1167611809,73053;1340.352:271.296
