Timestamp;GazePoint
636172508570,063;
1167611767,82587;922.464:581.958
1167611767,86431;911.328:577.206
1167611767,90173;919.488:576.072
1167611767,93999;914.4:586.062
1167611767,9841;924.384:577.584
1167611768,02162;927.168:580.716
1167611768,05914;920.448:574.02
1167611768,09656;934.176:587.844
1167611768,1401;903.648:565.38
1167611768,17738;878.496:521.532
1167611768,21832;782.496:482.274
1167611768,25552;629.472:470.88
1167611768,29951;645.504:453.6
1167611768,33706;644.16:446.958
1167611768,37448;657.312:461.862
1167611768,41562;669.12:469.206
1167611768,45397;680.832:474.876
1167611768,50217;680.064:488.592
1167611768,54046;680.928:488.862
1167611768,58431;662.688:482.922
1167611768,62289;585.6:489.618
1167611768,67172;572.544:471.204
1167611768,70957;562.752:473.202
1167611768,75345;569.952:469.368
1167611768,79226;564.864:459.648
1167611768,83444;558.528:459.0
1167611768,87268;553.632:472.392
1167611768,92225;567.264:473.958
1167611768,96125;565.536:474.876
1167611769,00597;580.416:469.422
1167611769,04493;991.872:416.664
1167611769,08852;1013.664:414.99
1167611769,13444;1001.856:401.058
1167611769,17476;985.152:410.184
1167611769,21477;1254.144:366.93
1167611769,26186;1308.672:380.808
1167611769,30852;1298.112:364.716
1167611769,34877;1295.808:382.806
1167611769,3888;1285.248:383.292
1167611769,42907;1281.216:369.414
1167611769,469;1274.208:388.746
1167611769,51573;1283.136:379.026
1167611769,55571;1398.816:695.196
1167611769,59657;1408.128:709.074
1167611769,63641;1403.328:694.926
1167611769,67597;1381.44:685.584
1167611769,71609;1416.672:681.642
1167611769,7624;1376.256:680.832
1167611769,80214;1349.472:687.96
1167611769,84863;1342.752:680.508
1167611769,88863;1355.52:702.54
1167611769,93512;1327.584:708.21
1167611769,98087;1350.912:692.442
1167611770,02639;1337.184:702.594
1167611770,06396;1328.928:698.166
1167611770,10873;1396.416:671.652
1167611770,15317;
1167611770,20017;1400.352:678.132
1167611770,22689;1406.4:675.702
1167611770,26445;1377.216:676.566
1167611770,30217;1397.568:667.71
1167611770,35179;1425.888:681.156
1167611770,39941;1408.032:666.792
1167611770,43765;1394.112:676.566
1167611770,4795;1563.264:608.85
1167611770,52415;1592.256:596.592
1167611770,56812;1626.528:575.046
1167611770,6066;1627.584:568.836
1167611770,65699;1674.528:559.494
1167611770,69446;1690.752:536.112
1167611770,73794;1676.64:529.254
1167611770,77612;1681.824:540.324
1167611770,81816;1686.336:552.312
1167611770,85562;1676.928:546.21
1167611770,89779;1676.16:542.97
1167611770,93607;1680.864:550.152
1167611770,97935;1677.984:537.948
1167611771,01778;1683.84:543.726
1167611771,05957;1678.56:553.284
1167611771,09684;1679.808:537.3
1167611771,13428;
1167611771,1719;
1167611771,20173;
1167611771,22776;
1167611771,25374;
1167611771,27964;1507.872:1162.404
1167611771,30455;
1167611771,34629;1548.384:609.768
1167611771,36859;1546.656:601.398
1167611771,41871;1416.576:642.384
1167611771,45786;1403.04:671.76
1167611771,49635;1401.6:679.59
1167611771,53599;1413.408:680.562
1167611771,58109;1405.344:667.17
1167611771,62122;1413.888:671.274
1167611771,66173;1410.816:672.192
1167611771,70152;1402.464:670.842
1167611771,74121;1395.744:654.21
1167611771,78057;1379.232:669.33
1167611771,82015;1382.592:679.104
1167611771,8667;1483.2:660.906
1167611771,91351;1629.216:554.202
1167611771,95328;1630.272:567.594
1167611771,99306;1622.784:551.394
1167611772,03279;1609.152:548.694
1167611772,07237;1691.424:548.1
1167611772,1119;1679.52:562.95
1167611772,15425;1678.656:551.934
1167611772,19188;1677.6:560.304
1167611772,22958;1679.136:560.52
1167611772,26708;1691.712:547.56
1167611772,30458;1527.744:559.44
1167611772,34607;479.232:603.234
1167611772,38454;483.84:592.92
1167611772,43118;486.912:601.992
1167611772,47634;486.144:607.23
1167611772,52708;489.504:601.614
1167611772,56633;484.608:597.564
1167611772,61877;479.04:610.416
1167611772,72594;468.384:708.696
1167611772,88449;490.08:687.798
1167611773,01265;309.888:685.206
1167611773,09226;303.84:673.812
1167611773,14567;317.28:692.604
1167611773,18994;330.72:699.246
1167611773,24287;571.392:828.414
1167611773,29272;580.992:835.812
1167611773,33123;590.496:826.794
1167611773,37993;600.864:833.868
1167611773,41723;593.952:821.448
1167611773,45359;591.552:828.63
1167611773,49723;654.72:804.006
1167611773,53469;597.984:805.14
1167611773,57226;602.208:815.076
1167611773,61632;593.28:817.506
1167611773,6537;604.896:823.662
1167611773,69117;750.816:858.114
1167611773,72857;814.368:884.088
1167611773,76648;802.176:885.546
1167611773,80374;815.04:879.822
1167611773,84762;826.848:898.236
1167611773,88497;929.664:811.674
1167611773,92237;927.168:804.816
1167611773,96679;933.312:822.204
1167611774,00433;930.432:811.566
1167611774,04169;937.248:816.858
1167611774,07898;992.256:878.364
1167611774,11613;979.392:875.448
1167611774,15342;979.392:879.876
1167611774,19687;981.696:882.522
1167611774,23416;982.08:884.088
1167611774,27713;988.32:875.61
1167611774,31439;720.096:448.2
1167611774,35787;697.92:437.832
1167611774,4017;705.792:435.996
1167611774,44019;706.752:426.6
1167611774,48074;706.752:425.628
1167611774,51821;699.264:424.548
1167611774,55565;712.128:433.512
1167611774,59308;745.44:456.948
1167611774,63028;731.04:486.0
1167611774,66763;737.088:480.06
1167611774,71518;741.696:484.434
1167611774,75319;739.872:489.51
1167611774,79485;368.928:331.182
1167611774,83318;393.504:341.928
1167611774,87663;388.128:353.052
1167611774,91518;391.68:349.92
1167611774,95915;324.576:345.6
1167611774,99686;320.832:351.486
1167611775,04673;330.912:351.108
1167611775,08498;322.176:349.11
1167611775,12712;91.488:380.862
1167611775,16488;
1167611775,20737;
1167611775,24617;
1167611775,29407;
1167611775,3338;
1167611775,38312;232.128:317.088
1167611775,42824;239.04:295.812
1167611775,47352;244.032:294.138
1167611775,51932;233.376:313.092
1167611775,55855;247.68:322.056
1167611775,60477;232.416:308.232
1167611775,64353;
1167611775,68241;
1167611775,72851;
1167611775,76773;
1167611775,82133;
1167611775,8592;
1167611775,89916;
1167611775,93863;
1167611775,97919;
1167611776,02586;
1167611776,06584;
1167611776,10564;
1167611776,15239;953.856:212.868
1167611776,1922;1836.672:330.534
1167611776,24049;1825.152:330.372
1167611776,28124;1762.848:297.0
1167611776,3221;1749.504:289.17
1167611776,36452;
1167611776,41063;1827.456:243.918
1167611776,44126;1849.056:182.79
1167611776,49161;1811.52:226.314
1167611776,53283;1798.944:254.556
1167611776,57336;1806.24:249.426
1167611776,62017;1823.52:247.428
1167611776,67789;1830.144:340.092
1167611776,72573;1808.064:356.022
1167611776,7733;1808.16:347.112
1167611776,8143;1812.672:333.45
1167611776,86072;1805.952:331.668
1167611776,90092;1744.512:389.178
1167611776,94661;1750.08:401.868
1167611776,99462;1748.832:412.56
1167611777,04145;1746.528:418.392
1167611777,09023;1751.424:426.6
1167611777,13638;1758.24:403.002
1167611777,17718;1705.248:525.528
1167611777,22244;1752.576:553.446
1167611777,26318;1804.608:379.728
1167611777,31537;1829.856:313.524
1167611777,35673;1634.784:326.538
1167611777,40238;1466.784:308.934
1167611777,44235;1464.384:311.904
1167611777,49018;1480.512:310.554
1167611777,53883;1473.696:303.21
1167611777,57924;1514.592:309.42
1167611777,62724;1526.112:307.152
1167611777,66765;1505.952:297.0
1167611777,7157;1308.096:344.844
1167611777,7565;1303.68:345.276
1167611777,79667;1292.736:328.806
1167611777,83729;1296.672:350.352
