Timestamp;GazePoint
636172509306,475;
1167611841,43267;1340.352:1286.28
1167611841,47421;1410.72:1273.266
1167611841,51581;1420.608:1291.032
1167611841,55279;1393.344:1259.334
1167611841,58989;1407.648:1275.372
1167611841,62694;1397.856:1263.708
1167611841,66389;1400.64:1252.908
1167611841,70089;1310.016:1110.348
1167611841,7373;1141.344:621.324
1167611841,77383;1146.336:623.214
1167611841,81112;1157.568:637.848
1167611841,84858;1144.224:638.82
1167611841,88579;1152.384:650.592
1167611841,929;1131.744:551.286
1167611841,97215;1136.64:545.886
1167611842,00942;1137.984:555.012
1167611842,04698;1142.88:560.52
1167611842,08418;603.84:545.67
1167611842,12148;542.784:523.53
1167611842,15997;543.456:534.114
1167611842,19748;548.352:533.52
1167611842,24115;546.624:517.752
1167611842,27856;551.616:541.188
1167611842,31613;506.592:524.178
1167611842,35384;427.296:446.796
1167611842,39612;411.552:436.536
1167611842,43342;420.768:441.126
1167611842,47275;411.264:435.888
1167611842,51195;420.192:361.854
1167611842,55109;424.224:366.66
1167611842,5918;422.496:363.96
1167611842,6333;415.68:370.872
1167611842,67937;421.92:363.636
1167611842,72259;644.928:189.648
1167611842,76824;636.672:194.184
1167611842,82207;640.704:196.722
1167611842,86892;637.728:196.668
1167611842,91383;626.592:195.156
1167611842,95554;625.056:200.772
1167611843,00887;624.192:199.098
1167611843,0506;843.552:169.884
1167611843,10373;894.048:151.956
1167611843,14539;882.144:183.06
1167611843,19326;
1167611843,23645;886.176:156.168
1167611843,28744;
1167611843,3318;1069.632:277.398
1167611843,38259;1088.352:234.252
1167611843,42823;1047.264:204.66
1167611843,47363;1056.096:171.882
1167611843,51737;1194.528:233.442
1167611843,5622;1228.224:159.84
1167611843,60723;1231.104:220.806
1167611843,65214;1226.304:146.664
1167611843,69706;1503.072:132.192
1167611843,75306;
1167611843,7989;
1167611843,84359;
1167611843,89082;
1167611843,93846;1703.616:117.72
1167611843,98669;1691.232:144.936
1167611844,03359;1695.456:182.736
1167611844,08496;1644.288:445.77
1167611844,13197;
1167611844,184;1621.92:664.416
1167611844,23105;1669.344:488.538
1167611844,27323;2158.464:516.672
1167611844,32012;1651.488:445.446
1167611844,36718;1652.256:440.154
1167611844,4163;1655.712:449.226
1167611844,46946;
1167611844,51748;
1167611844,54353;
1167611844,57048;
1167611844,60555;
1167611844,63945;1514.4:422.226
1167611844,66427;1525.728:362.934
1167611844,71725;1845.6:528.012
1167611844,76468;1429.536:477.684
1167611844,81909;1434.816:501.822
1167611844,87306;1425.792:497.88
1167611844,92112;1422.912:406.026
1167611844,97863;1485.792:526.554
1167611845,02218;1521.504:409.158
1167611845,07187;1506.816:476.496
1167611845,11644;1520.64:366.282
1167611845,1679;1516.608:579.204
1167611845,21437;1531.296:433.836
1167611845,26629;1515.84:510.624
1167611845,3162;1465.248:492.048
1167611845,3686;1444.608:500.688
1167611845,41657;1463.136:472.176
1167611845,46844;1472.352:414.18
1167611845,51634;1461.696:413.964
1167611845,56286;1476.384:464.67
1167611845,6119;1473.504:449.55
1167611845,65951;1452.384:393.606
1167611845,70847;1462.56:486.918
1167611845,75707;1470.72:460.026
1167611845,80606;1425.6:550.044
1167611845,8516;1399.008:609.66
1167611845,90171;1397.472:682.506
1167611845,94821;1399.2:628.128
1167611845,99655;1421.952:442.476
1167611846,04329;1413.888:545.994
1167611846,08572;1438.656:544.752
1167611846,13118;1429.248:537.192
1167611846,17943;1372.32:493.506
1167611846,22923;1531.104:390.042
1167611846,2777;1502.496:560.682
1167611846,32654;1499.04:609.444
1167611846,38206;1533.504:518.13
1167611846,42714;1360.8:518.994
1167611846,47609;585.12:485.676
1167611846,52512;589.344:500.364
1167611846,57625;565.824:449.442
1167611846,62099;579.648:503.874
1167611846,66667;471.648:492.534
1167611846,71275;423.84:513.918
1167611846,76222;465.408:577.638
1167611846,80742;461.568:574.56
1167611846,85663;423.648:567.702
1167611846,89949;357.408:480.924
1167611846,95;366.528:491.67
1167611846,99239;363.648:481.248
1167611847,03985;
1167611847,08961;369.12:498.366
1167611847,12563;395.904:517.86
1167611847,16715;378.912:505.764
1167611847,21506;407.616:515.322
1167611847,2569;370.368:516.564
1167611847,31207;343.872:650.16
1167611847,3543;348.096:647.406
1167611847,41082;353.376:646.326
1167611847,45334;
1167611847,50105;366.432:608.094
1167611847,53141;376.224:614.358
1167611847,57276;384.0:623.16
1167611847,61569;372.0:590.598
1167611847,65794;382.176:607.122
1167611847,69979;756.48:878.958
1167611847,74229;781.728:911.844
1167611847,787;777.6:892.62
1167611847,82962;767.52:869.886
1167611847,87013;923.328:950.346
1167611847,91116;923.04:951.696
1167611847,95572;923.232:957.528
1167611847,99992;962.784:833.976
1167611848,04429;1174.944:927.72
1167611848,08525;1155.84:930.96
1167611848,12677;1176.576:874.962
1167611848,1804;1176.864:874.962
1167611848,22097;1175.136:896.994
1167611848,26128;1161.696:936.9
1167611848,30125;1399.008:945.756
1167611848,34115;1420.704:928.422
1167611848,38568;1430.208:940.842
1167611848,43022;1400.064:909.9
1167611848,48633;1454.784:901.908
1167611848,53091;1466.976:921.726
1167611848,57705;1430.784:946.89
1167611848,61983;1466.016:925.668
1167611848,66268;1460.832:941.382
1167611848,70326;1452.0:945.918
1167611848,75553;1435.104:762.21
1167611848,8116;1302.72:1016.82
1167611848,86138;1313.28:1023.084
1167611848,9141;1313.568:1031.778
1167611848,95993;1340.544:970.164
1167611849,01544;1313.28:1025.028
1167611849,05689;1306.848:999.702
1167611849,11654;1328.448:974.106
1167611849,15768;1475.616:895.914
1167611849,20448;1457.664:828.252
1167611849,25616;1412.064:850.23
1167611849,30488;1448.736:876.582
1167611849,3475;1435.584:931.5
1167611849,40227;1444.416:841.536
1167611849,44485;1463.712:855.144
1167611849,49411;1457.088:1073.52
1167611849,54093;
1167611849,59747;
1167611849,6237;
1167611849,65239;1371.264:1341.846
1167611849,69298;
1167611849,73233;1334.016:982.044
1167611849,75923;1309.44:1042.416
1167611849,79989;1334.304:1014.984
1167611849,83788;1310.976:1017.792
1167611849,87542;1302.336:999.648
1167611849,91316;1306.176:1016.442
1167611849,95196;1311.744:1008.666
1167611849,99413;1300.8:1002.564
1167611850,03622;1309.248:1006.02
1167611850,0742;1314.144:1005.48
1167611850,121;1307.904:992.682
1167611850,16123;1306.08:1013.148
1167611850,20163;1297.248:1007.748
1167611850,2491;1285.536:997.65
1167611850,29299;1305.312:1018.116
1167611850,33707;1283.904:1013.472
1167611850,38426;965.664:1030.914
1167611850,42783;982.656:1022.166
1167611850,47484;973.44:1019.466
1167611850,52159;975.744:1042.524
1167611850,56697;986.976:1025.946
1167611850,61298;1003.872:1003.374
1167611850,66091;967.392:951.426
1167611850,71248;1012.416:1005.48
1167611850,76034;1025.76:1020.33
1167611850,81196;1011.744:1011.852
1167611850,85581;859.392:940.95
1167611850,90749;847.104:962.01
1167611850,95216;859.872:954.936
1167611850,99843;874.464:975.834
1167611851,04345;862.944:944.784
1167611851,10065;860.64:952.614
1167611851,14489;743.328:1001.106
1167611851,19533;740.064:997.272
1167611851,23827;737.952:1015.146
1167611851,28669;741.888:997.704
1167611851,32939;749.472:999.918
1167611851,37653;751.68:1012.608
1167611851,41915;743.04:1004.778
1167611851,46665;751.488:1010.718
1167611851,51038;759.456:1005.21
1167611851,55917;748.32:1011.42
1167611851,60327;747.072:1003.266
1167611851,65068;727.2:1023.084
1167611851,69313;746.016:1022.058
1167611851,73544;735.168:1016.442
1167611851,77753;889.152:994.626
1167611851,81914;1155.552:917.406
1167611851,8609;1145.856:923.454
1167611851,90329;1162.656:900.072
1167611851,96079;1153.632:922.536
1167611852,00355;1148.736:917.19
1167611852,0462;1164.0:920.322
1167611852,08782;1158.72:924.912
1167611852,1302;1172.352:919.836
1167611852,17286;1179.36:921.078
1167611852,21543;1182.72:924.264
1167611852,25777;1191.36:919.458
1167611852,2996;1182.144:935.766
1167611852,34205;1180.608:929.664
1167611852,38446;805.536:996.354
1167611852,4341;816.288:994.464
1167611852,47576;814.752:999.702
1167611852,51664;755.136:1013.256
1167611852,5575;755.52:1016.982
1167611852,5992;755.232:1018.224
1167611852,6401;740.832:1009.692
1167611852,68159;763.2:1003.914
1167611852,73533;760.608:1008.99
1167611852,77674;755.04:1003.05
1167611852,81831;626.016:959.256
1167611852,8609;607.008:962.226
1167611852,90266;613.44:959.418
1167611852,95715;608.64:967.248
1167611853,00064;616.416:951.534
1167611853,04766;588.576:968.058
1167611853,09084;596.64:971.838
1167611853,1384;584.544:952.722
1167611853,18048;586.752:968.922
1167611853,22708;599.904:973.836
1167611853,2675;600.192:974.592
1167611853,32113;887.424:990.63
1167611853,36334;1013.376:1000.026
1167611853,41108;1008.96:998.028
1167611853,45149;989.664:1005.912
1167611853,49695;996.288:1004.67
1167611853,53935;1024.992:1022.868
1167611853,58559;1010.496:1020.762
1167611853,62732;1016.928:1017.306
1167611853,6788;
1167611853,71759;
1167611853,75645;
1167611853,78288;
1167611853,80881;1162.272:1156.572
1167611853,83658;1147.296:1114.506
1167611853,87099;1167.456:1014.714
1167611853,91309;1185.696:973.188
1167611853,95554;1194.048:939.276
1167611853,99621;1164.48:951.318
1167611854,0377;1173.696:945.594
1167611854,07915;1164.096:947.7
1167611854,11753;1160.64:946.728
1167611854,163;1169.472:932.688
1167611854,20495;1345.632:683.1
1167611854,2429;1416.576:583.632
1167611854,2892;1406.688:601.182
1167611854,35049;1407.36:606.798
1167611854,44619;1511.424:621.486
1167611854,57409;1502.112:623.97
1167611854,71587;
1167611854,82134;1414.368:640.332
1167611854,87299;1400.256:648.162
1167611854,93069;1265.28:622.188
1167611854,97441;1262.976:621.594
1167611855,0195;1260.384:631.854
1167611855,06786;1225.632:611.334
1167611855,11106;1233.504:624.942
1167611855,15954;1233.504:622.026
1167611855,20437;1238.4:618.948
1167611855,2564;1247.712:584.28
1167611855,30181;1227.84:611.01
1167611855,34894;1228.32:613.008
1167611855,39598;1239.84:615.276
1167611855,4459;1249.536:466.992
1167611855,48952;1241.952:464.346
1167611855,54009;1244.16:470.61
1167611855,58714;1254.912:465.804
1167611855,64209;1238.784:460.242
1167611855,68511;1251.936:448.686
1167611855,73812;1265.568:432.324
1167611855,78331;1438.656:376.11
1167611855,82854;1495.776:335.988
1167611855,8727;1475.808:334.044
1167611855,91837;1506.624:293.706
1167611855,96412;1497.504:322.758
1167611856,00687;
1167611856,05545;
1167611856,09608;
1167611856,13118;
1167611856,19673;
1167611856,24497;1657.824:458.676
1167611856,26847;1653.984:463.698
1167611856,33631;1670.4:452.466
1167611856,38647;1670.208:443.178
1167611856,43165;1643.52:392.094
1167611856,47559;1700.64:155.358
1167611856,52507;
1167611856,56932;
1167611856,61343;1706.304:167.508
1167611856,65974;
1167611856,70571;1735.104:122.04
1167611856,74954;
1167611856,79414;1331.712:158.814
1167611856,84115;1367.424:139.59
1167611856,88446;1345.44:180.036
1167611856,9325;743.136:222.048
1167611856,98086;948.864:230.688
1167611857,03757;735.264:221.022
1167611857,0844;675.552:233.712
1167611857,13551;614.4:185.652
1167611857,18183;600.384:219.078
1167611857,22978;595.2:198.612
1167611857,27254;563.712:183.33
1167611857,3216;297.408:470.124
1167611857,36363;330.432:486.864
1167611857,40926;308.928:475.416
1167611857,46479;333.696:490.428
1167611857,5159;198.72:365.148
1167611857,56991;212.64:416.34
1167611857,61479;172.512:413.37
1167611857,66438;191.424:400.248
1167611857,72425;
1167611857,77382;
1167611857,81593;114.336:272.916
1167611857,8621;108.96:200.934
1167611857,90391;409.44:198.126
1167611857,94472;592.128:208.548
1167611857,99323;571.776:206.226
1167611858,03415;582.336:199.962
1167611858,07441;571.776:207.198
1167611858,11547;578.88:205.74
1167611858,16019;612.672:198.774
1167611858,20066;585.024:219.078
1167611858,2408;599.904:192.51
1167611858,28163;603.456:196.776
1167611858,33014;603.936:179.55
1167611858,37924;597.216:189.486
1167611858,42762;605.568:178.902
1167611858,46961;841.056:133.164
1167611858,51139;839.712:179.388
1167611858,55368;821.664:188.622
1167611858,59724;839.904:180.954
1167611858,64419;
1167611858,68696;865.824:161.622
1167611858,71712;849.696:165.78
1167611858,75919;849.888:145.908
1167611858,80096;
1167611858,84318;1184.736:186.084
1167611858,87329;1146.144:186.624
1167611858,91525;1156.704:188.352
1167611858,97546;1154.88:210.114
1167611859,02461;1168.416:191.646
1167611859,07532;1180.32:179.604
1167611859,11668;1354.944:228.69
1167611859,17183;1362.912:217.836
1167611859,21535;1366.08:220.32
1167611859,26613;1344.0:220.968
1167611859,31086;1525.728:202.824
1167611859,36142;1524.96:194.508
1167611859,40471;1507.008:158.868
1167611859,45314;
1167611859,49852;
1167611859,55653;
1167611859,58534;1545.792:611.928
1167611859,64123;1560.96:214.218
1167611859,67941;1626.24:180.468
1167611859,73206;1682.304:182.304
1167611859,78635;1704.672:168.264
1167611859,84532;
1167611859,89283;
1167611859,95366;
1167611860,00042;
1167611860,04149;
1167611860,08796;
1167611860,13334;
1167611860,17758;
1167611860,22214;
1167611860,26842;
1167611860,31284;1201.824:206.604
1167611860,3543;1189.152:261.522
1167611860,39863;1198.368:250.884
1167611860,4451;1185.504:260.604
1167611860,50056;1177.056:217.08
1167611860,55514;1255.392:948.726
1167611860,6045;1217.568:890.244
1167611860,64395;
1167611860,68828;
1167611860,73184;1245.888:926.208
1167611860,77733;1095.072:841.698
1167611860,82131;990.048:839.106
1167611860,87097;
1167611860,91654;976.032:841.32
1167611860,96334;484.032:857.466
1167611861,00917;378.432:885.924
1167611861,05818;385.728:903.96
1167611861,10158;375.936:900.882
1167611861,14517;175.776:889.974
1167611861,18839;190.368:926.316
1167611861,2358;208.128:932.364
1167611861,28055;214.08:957.69
1167611861,32911;215.904:957.582
1167611861,37261;222.912:963.198
1167611861,42227;390.528:723.546
1167611861,46675;388.896:729.27
1167611861,51343;377.184:715.446
1167611861,56379;386.4:733.374
1167611861,60822;383.616:731.43
1167611861,66252;387.072:772.416
1167611861,71199;394.08:765.072
1167611861,7639;403.872:773.334
1167611861,81059;366.72:763.182
1167611861,86248;175.296:629.424
1167611861,90941;184.8:630.882
1167611861,96175;128.064:625.158
1167611862,00816;
1167611862,06325;154.56:600.372
1167611862,09289;144.192:568.944
1167611862,13555;147.936:561.924
1167611862,18252;154.464:752.166
1167611862,22973;137.76:748.386
1167611862,27866;150.144:764.64
1167611862,32668;150.912:753.138
1167611862,37807;141.696:584.766
1167611862,42849;138.336:583.686
1167611862,47552;140.256:588.762
1167611862,52194;152.16:578.394
1167611862,56872;137.28:602.64
1167611862,61047;146.112:638.874
1167611862,65246;215.04:982.26
1167611862,70072;204.0:957.15
1167611862,74835;209.376:987.12
1167611862,79286;150.816:1092.366
1167611862,84411;
1167611862,88606;
1167611862,91234;
1167611862,93993;321.408:1393.578
1167611863,00039;
1167611863,05361;
1167611863,08332;
1167611863,11352;
1167611863,14379;
1167611863,20091;
1167611863,23752;213.504:955.746
1167611863,26008;220.992:944.568
1167611863,32164;180.192:963.036
1167611863,373;187.2:963.36
1167611863,42891;181.824:965.358
1167611863,47472;189.6:925.776
1167611863,52232;194.112:938.736
1167611863,57526;189.216:942.354
1167611863,6222;174.816:937.818
1167611863,67941;496.992:1142.046
1167611863,732;609.792:1350.594
1167611863,78396;626.208:1301.022
1167611863,83168;611.136:1297.08
1167611863,88118;847.2:1247.454
1167611863,93012;602.496:1255.176
1167611863,98324;587.712:1269.594
1167611864,02993;610.848:1257.714
1167611864,07922;496.32:1271.862
1167611864,12256;504.768:1263.114
1167611864,17424;533.472:1259.064
1167611864,21948;522.144:1249.074
1167611864,26283;306.336:1097.172
1167611864,30777;174.432:957.258
1167611864,35226;184.128:910.494
1167611864,40082;168.864:914.436
1167611864,44215;180.096:962.064
1167611864,48465;188.928:930.852
1167611864,53156;186.144:940.248
1167611864,57417;201.6:934.632
1167611864,61625;187.008:911.304
1167611864,65788;212.736:979.56
1167611864,69952;199.872:968.328
1167611864,74065;201.6:941.76
1167611864,78981;177.792:936.792
1167611864,83858;212.448:934.902
1167611864,8806;198.336:957.042
1167611864,9236;211.104:958.662
1167611864,9819;211.008:930.96
1167611865,03138;214.08:969.084
1167611865,08053;
1167611865,13073;
1167611865,1881;
1167611865,21378;
1167611865,2413;176.16:1666.224
1167611865,28938;
1167611865,33766;232.608:948.726
1167611865,3592;237.408:933.93
1167611865,40824;309.888:754.056
1167611865,46154;314.88:608.472
1167611865,50684;327.264:683.37
1167611865,55528;316.8:707.454
1167611865,59875;
1167611865,64607;368.256:697.086
