Timestamp;Action;ActionArgs;LeftEye;RightEye
1704,09698;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167611704,13961;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167611704,18332;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167611704,2213;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167611704,26505;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167611704,3089;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167611704,3434;EyeTracking;OneEyeTrackedUnknownWhich;[-,-];[-,-]
1167611704,37378;EyeTracking;BothEyesTracked;[0,1847,0,2293];[0,1136,0,1704]
1167611704,428;EyeTracking;BothEyesTracked;[0,2356,0,1257];[0,0982,0,1991]
1167611704,48908;EyeTracking;BothEyesTracked;[0,1855,0,1941];[0,1205,0,1888]
1167611704,53716;EyeTracking;BothEyesTracked;[0,1937,0,2018];[0,1219,0,1887]
1167611704,60271;EyeTracking;BothEyesTracked;[0,1850,0,2279];[0,1218,0,1926]
1167611704,66612;EyeTracking;BothEyesTracked;[0,1867,0,2166];[0,1220,0,2097]
1167611704,73295;EyeTracking;BothEyesTracked;[0,1912,0,2248];[0,1246,0,2041]
1167611704,7951;EyeTracking;BothEyesTracked;[0,1946,0,2173];[0,1203,0,2167]
1167611704,85517;EyeTracking;BothEyesTracked;[0,1893,0,2082];[0,1130,0,1985]
1167611704,91748;EyeTracking;BothEyesTracked;[0,1962,0,2257];[0,1239,0,1912]
1167611704,97916;EyeTracking;BothEyesTracked;[0,2012,0,2186];[0,1163,0,1530]
1167611705,04553;EyeTracking;BothEyesTracked;[0,1965,0,2126];[0,1182,0,2104]
1167611705,10406;EyeTracking;BothEyesTracked;[0,1994,0,2048];[0,1204,0,2027]
1167611705,16376;EyeTracking;BothEyesTracked;[0,1860,0,2025];[0,1269,0,1814]
1167611705,22493;EyeTracking;BothEyesTracked;[0,1922,0,1748];[0,1199,0,2167]
1167611705,28381;EyeTracking;BothEyesTracked;[0,1950,0,1952];[0,1276,0,2174]
1167611705,34262;EyeTracking;BothEyesTracked;[0,1905,0,2015];[0,1285,0,1583]
1167611705,40553;EyeTracking;BothEyesTracked;[0,1918,0,1971];[0,1286,0,1465]
1167611705,46513;EyeTracking;BothEyesTracked;[0,2285,0,1888];[0,1893,0,1616]
1167611705,52818;EyeTracking;BothEyesTracked;[0,4468,0,2146];[0,3935,0,2260]
1167611705,58969;EyeTracking;BothEyesTracked;[0,4372,0,2221];[0,3886,0,2266]
1167611705,63795;EyeTracking;BothEyesTracked;[0,4484,0,2135];[0,3822,0,2304]
1167611705,67687;EyeTracking;BothEyesTracked;[0,4338,0,2151];[0,3778,0,2220]
1167611705,72051;EyeTracking;BothEyesTracked;[0,4414,0,2281];[0,3827,0,2227]
1167611705,75929;EyeTracking;BothEyesTracked;[0,4442,0,2389];[0,3756,0,2247]
1167611705,80341;EyeTracking;BothEyesTracked;[0,4475,0,2250];[0,3870,0,1997]
1167611705,84234;EyeTracking;BothEyesTracked;[0,4499,0,2323];[0,3877,0,2288]
1167611705,88624;EyeTracking;BothEyesTracked;[0,4404,0,2283];[0,3823,0,2146]
1167611705,92632;EyeTracking;BothEyesTracked;[0,4467,0,2162];[0,3784,0,2215]
1167611705,96943;EyeTracking;BothEyesTracked;[0,4444,0,2151];[0,3783,0,2311]
1167611706,00868;EyeTracking;BothEyesTracked;[0,4278,0,2220];[0,3683,0,1960]
1167611706,05433;EyeTracking;BothEyesTracked;[0,4389,0,2118];[0,3713,0,1919]
1167611706,09548;EyeTracking;BothEyesTracked;[0,4391,0,2022];[0,3772,0,2019]
1167611706,14009;EyeTracking;BothEyesTracked;[0,4245,0,2170];[0,3697,0,2137]
1167611706,17976;EyeTracking;BothEyesTracked;[0,4324,0,2050];[0,3732,0,2023]
1167611706,22067;EyeTracking;BothEyesTracked;[0,4296,0,2099];[0,3732,0,2086]
1167611706,2594;EyeTracking;BothEyesTracked;[0,4252,0,2410];[0,3734,0,2026]
1167611706,29746;EyeTracking;BothEyesTracked;[0,4378,0,2193];[0,3711,0,1958]
1167611706,33964;EyeTracking;BothEyesTracked;[0,4219,0,2354];[0,3696,0,2076]
1167611706,3823;EyeTracking;BothEyesTracked;[0,4274,0,2300];[0,3714,0,2098]
1167611706,42308;EyeTracking;BothEyesTracked;[0,4331,0,2191];[0,3688,0,2201]
1167611706,46178;EyeTracking;BothEyesTracked;[0,4321,0,2180];[0,3695,0,2042]
1167611706,49987;EyeTracking;BothEyesTracked;[0,4231,0,2132];[0,3715,0,2117]
1167611706,53967;EyeTracking;BothEyesTracked;[0,4331,0,2113];[0,3756,0,2172]
1167611706,58063;EyeTracking;BothEyesTracked;[0,4276,0,2055];[0,3776,0,2087]
1167611706,62206;EyeTracking;BothEyesTracked;[0,4388,0,1872];[0,3771,0,2042]
1167611706,66257;EyeTracking;BothEyesTracked;[0,4328,0,2086];[0,3805,0,2042]
1167611706,70388;EyeTracking;BothEyesTracked;[0,4239,0,2150];[0,3817,0,2123]
1167611706,7426;EyeTracking;BothEyesTracked;[0,4294,0,1925];[0,3742,0,2043]
1167611706,78256;EyeTracking;BothEyesTracked;[0,4305,0,2055];[0,3761,0,2132]
1167611706,82338;EyeTracking;BothEyesTracked;[0,4318,0,1958];[0,3914,0,1976]
1167611706,86569;EyeTracking;BothEyesTracked;[0,4327,0,1890];[0,3763,0,2066]
1167611706,90719;EyeTracking;BothEyesTracked;[0,4295,0,2308];[0,3811,0,2360]
1167611706,94754;EyeTracking;BothEyesTracked;[0,4246,0,2299];[0,3763,0,2289]
1167611706,98833;EyeTracking;BothEyesTracked;[0,4258,0,2391];[0,3833,0,2417]
1167611707,02832;EyeTracking;BothEyesTracked;[0,4329,0,2305];[0,3845,0,2365]
1167611707,06926;EyeTracking;BothEyesTracked;[0,4375,0,2233];[0,3714,0,2394]
1167611707,11019;EyeTracking;BothEyesTracked;[0,4256,0,2170];[0,3795,0,2385]
1167611707,15029;EyeTracking;BothEyesTracked;[0,4361,0,2312];[0,3725,0,2416]
1167611707,19138;EyeTracking;BothEyesTracked;[0,4240,0,2419];[0,3733,0,2454]
1167611707,23458;EyeTracking;BothEyesTracked;[0,4423,0,2185];[0,3757,0,2332]
1167611707,27389;EyeTracking;BothEyesTracked;[0,4376,0,2312];[0,3743,0,2268]
1167611707,3135;EyeTracking;BothEyesTracked;[0,4273,0,2244];[0,3707,0,2374]
1167611707,35356;EyeTracking;BothEyesTracked;[0,4356,0,2234];[0,3803,0,2393]
1167611707,39351;EyeTracking;BothEyesTracked;[0,4364,0,2070];[0,3854,0,2200]
1167611707,43752;EyeTracking;BothEyesTracked;[0,4385,0,2074];[0,3767,0,2286]
1167611707,47849;EyeTracking;BothEyesTracked;[0,4388,0,2136];[0,3782,0,2242]
1167611707,52334;EyeTracking;BothEyesTracked;[0,4412,0,2214];[0,3757,0,2378]
1167611707,56311;EyeTracking;BothEyesTracked;[0,4342,0,2294];[0,3792,0,2303]
1167611707,61046;EyeTracking;BothEyesTracked;[0,4105,0,2358];[0,3472,0,2428]
1167611707,65032;EyeTracking;BothEyesTracked;[0,2352,0,3271];[0,1771,0,3384]
1167611707,69531;EyeTracking;BothEyesTracked;[0,2419,0,3273];[0,1866,0,3448]
1167611707,73671;EyeTracking;BothEyesTracked;[0,2537,0,3459];[0,1808,0,3486]
1167611707,78275;EyeTracking;BothEyesTracked;[0,2524,0,3259];[0,1786,0,3675]
1167611707,82317;EyeTracking;BothEyesTracked;[0,2369,0,3404];[0,1814,0,3475]
1167611707,86993;EyeTracking;BothEyesTracked;[0,2442,0,3372];[0,1769,0,3553]
1167611707,91189;EyeTracking;BothEyesTracked;[0,2485,0,3238];[0,1791,0,3616]
1167611707,95722;EyeTracking;BothEyesTracked;[0,2435,0,3418];[0,1798,0,3458]
1167611708,00047;EyeTracking;BothEyesTracked;[0,2419,0,3335];[0,1835,0,3533]
1167611708,04765;EyeTracking;BothEyesTracked;[0,2372,0,3500];[0,1864,0,3604]
1167611708,08845;EyeTracking;BothEyesTracked;[0,2446,0,3475];[0,1839,0,3553]
1167611708,133;EyeTracking;BothEyesTracked;[0,2328,0,3590];[0,1845,0,3508]
1167611708,17319;EyeTracking;BothEyesTracked;[0,2450,0,3589];[0,1833,0,3583]
1167611708,2149;EyeTracking;BothEyesTracked;[0,2384,0,3481];[0,1809,0,3461]
1167611708,25533;EyeTracking;BothEyesTracked;[0,2426,0,3493];[0,1764,0,3462]
1167611708,29558;EyeTracking;BothEyesTracked;[0,2327,0,3673];[0,1674,0,3500]
1167611708,34413;EyeTracking;BothEyesTracked;[0,2299,0,3641];[0,1715,0,3670]
1167611708,38554;EyeTracking;BothEyesTracked;[0,2293,0,3607];[0,1747,0,3646]
1167611708,42588;EyeTracking;BothEyesTracked;[0,2241,0,3615];[0,1777,0,3566]
1167611708,46646;EyeTracking;BothEyesTracked;[0,2328,0,3701];[0,1740,0,3633]
1167611708,50711;EyeTracking;BothEyesTracked;[0,2262,0,3613];[0,1659,0,3605]
1167611708,5467;EyeTracking;BothEyesTracked;[0,2367,0,3576];[0,1762,0,3588]
1167611708,58527;EyeTracking;BothEyesTracked;[0,2340,0,3758];[0,1751,0,3445]
1167611708,62482;EyeTracking;BothEyesTracked;[0,2254,0,3621];[0,1740,0,3551]
1167611708,66385;EyeTracking;BothEyesTracked;[0,2300,0,3547];[0,1662,0,3511]
1167611708,70169;EyeTracking;BothEyesTracked;[0,2244,0,3795];[0,1725,0,3553]
1167611708,7394;EyeTracking;BothEyesTracked;[0,2327,0,3699];[0,1666,0,3500]
1167611708,77715;EyeTracking;BothEyesTracked;[0,2317,0,3761];[0,1649,0,3699]
1167611708,81461;EyeTracking;BothEyesTracked;[0,2301,0,3747];[0,1592,0,3498]
1167611708,85338;EyeTracking;BothEyesTracked;[0,2208,0,3743];[0,1714,0,3562]
1167611708,89881;EyeTracking;BothEyesTracked;[0,2294,0,3788];[0,1765,0,3533]
1167611708,93613;EyeTracking;BothEyesTracked;[0,2433,0,3620];[0,1618,0,3691]
1167611708,97323;EyeTracking;BothEyesTracked;[0,2268,0,3696];[0,1710,0,3628]
1167611709,0177;EyeTracking;BothEyesTracked;[0,2252,0,3727];[0,1714,0,3671]
1167611709,05516;EyeTracking;BothEyesTracked;[0,2277,0,3692];[0,1691,0,3645]
