Timestamp;GazePoint
636198470235,9;
1167609968,98177;
1167609969,02021;
1167609969,06442;
1167609969,10861;
1167609969,15291;
1167609969,19717;
1167609969,24007;
1167609969,27719;
1167609969,32006;
1167609969,36295;
1167609969,40589;
1167609969,44882;
1167609969,49176;
1167609969,52886;
1167609969,57178;
1167609969,59313;1429.344:469.206
1167609969,61932;1412.544:511.596
1167609969,67658;1419.552:529.038
1167609969,73541;
1167609969,78706;
1167609969,84653;
1167609969,89588;
1167609969,94841;
1167609969,98912;
1167609970,03307;
1167609970,09061;
1167609970,14138;
1167609970,18961;
1167609970,23743;
1167609970,28436;
1167609970,32924;
1167609970,37052;
1167609970,42445;
1167609970,47495;
1167609970,53048;
1167609970,58892;
1167609970,63646;
1167609970,68513;
1167609970,72412;
1167609970,76475;
1167609970,80536;
1167609970,84389;
1167609970,88637;
1167609970,92655;
1167609970,96765;
1167609971,00573;
1167609971,04707;
1167609971,08766;
1167609971,12795;
1167609971,16596;
1167609971,20697;
1167609971,24586;
1167609971,28442;
1167609971,32121;
1167609971,36042;
1167609971,39942;
1167609971,43761;
1167609971,47453;
1167609971,50483;
1167609971,53812;
1167609971,58679;
1167609971,634;
1167609971,66897;
1167609971,71196;
1167609971,76514;
1167609971,81223;
1167609971,85067;
1167609971,89309;
1167609971,94609;
1167609971,99214;
1167609972,03112;
1167609972,07316;
1167609972,12707;
1167609972,17564;
1167609972,21522;
1167609972,2582;
1167609972,31468;
1167609972,36071;
1167609972,39994;1419.072:562.842
1167609972,45082;1365.6:604.584
1167609972,5121;
1167609972,56407;
1167609972,5897;
1167609972,61593;
1167609972,64147;
1167609972,66713;
1167609972,69328;
1167609972,71975;
1167609972,74669;
1167609972,77409;
1167609972,80208;
1167609972,83041;
1167609972,85925;
1167609972,88862;
1167609972,92595;
1167609972,96394;
1167609973,01783;
1167609973,07936;
1167609973,11533;
1167609973,14975;
1167609973,18252;
1167609973,21006;
1167609973,2378;
1167609973,26613;
1167609973,29448;
1167609973,3221;
1167609973,34961;
1167609973,37644;
1167609973,40288;
1167609973,42937;
1167609973,44871;
1167609973,49863;
1167609973,54293;
1167609973,58736;
1167609973,63067;
1167609973,66818;
1167609973,71151;
1167609973,74658;
1167609973,77906;
1167609973,8598;
1167609973,89473;
1167609973,95707;
1167609973,98991;
1167609974,0836;
1167609974,11752;
1167609974,18239;
1167609974,22018;
1167609974,26741;
1167609974,29492;603.552:471.744
1167609974,35139;593.28:465.588
1167609974,40934;603.456:461.646
1167609974,4554;608.736:474.066
1167609974,51428;624.192:473.418
1167609974,5689;622.272:438.048
1167609974,6284;669.792:433.728
1167609974,68365;1253.664:399.222
1167609974,74282;1231.776:398.52
1167609974,80023;1230.816:404.136
1167609974,86143;1230.24:412.29
1167609974,91716;1255.872:419.472
1167609974,97541;1201.728:416.394
1167609975,03331;1205.568:432.972
1167609975,07625;1207.872:429.192
1167609975,1158;1199.328:425.79
1167609975,15825;1206.72:426.654
1167609975,1954;1190.976:436.536
1167609975,23741;1198.656:430.056
1167609975,27476;1181.76:423.738
1167609975,31321;1187.328:430.002
1167609975,35286;1191.84:428.598
1167609975,39209;1182.336:431.244
1167609975,43148;
1167609975,46925;
1167609975,50945;
1167609975,54812;
1167609975,60471;
1167609975,65008;
1167609975,70033;
1167609975,7467;
1167609975,79681;
1167609975,842;
1167609975,89148;
1167609975,93412;
1167609975,99154;
1167609976,03624;
1167609976,08669;
1167609976,13036;
1167609976,18135;
1167609976,23065;
1167609976,28471;
1167609976,33362;
1167609976,3849;
1167609976,43362;
1167609976,48532;
1167609976,53591;
1167609976,58754;
1167609976,64019;
1167609976,69244;469.728:516.024
1167609976,74396;470.208:528.228
1167609976,779;475.488:524.34
1167609976,8226;463.488:527.04
1167609976,86192;463.872:522.396
1167609976,90681;463.104:524.448
1167609976,94718;466.272:524.07
1167609976,99266;541.152:491.346
1167609977,03199;588.576:469.422
1167609977,07572;585.888:466.236
1167609977,11558;579.936:470.286
1167609977,161;585.12:474.12
1167609977,20041;586.08:475.362
1167609977,24347;591.648:475.956
1167609977,28226;583.872:474.498
1167609977,32098;592.128:481.356
1167609977,35986;520.512:507.114
1167609977,39966;488.64:529.416
1167609977,4396;471.648:536.274
1167609977,47876;478.656:545.994
1167609977,51833;
1167609977,56167;
1167609977,59933;
1167609977,63788;608.64:480.6
1167609977,67635;595.392:475.092
1167609977,71782;611.712:462.618
1167609977,75638;610.176:468.072
1167609977,79585;608.448:463.536
1167609977,83529;601.152:463.104
1167609977,87398;592.8:473.31
1167609977,91239;587.04:469.098
1167609977,95135;600.192:463.158
1167609977,99011;583.392:464.724
1167609978,02914;591.168:465.804
1167609978,06818;594.816:468.558
1167609978,10809;596.448:470.664
1167609978,151;431.904:416.016
1167609978,1934;374.784:396.792
1167609978,23417;367.968:404.406
1167609978,27415;371.232:400.896
1167609978,31798;366.336:413.316
1167609978,35796;371.424:410.724
1167609978,39771;484.416:519.75
1167609978,43738;497.088:528.552
1167609978,47716;479.232:521.802
1167609978,52088;493.056:513.918
1167609978,56166;466.752:533.628
1167609978,6065;467.328:537.516
1167609978,64713;465.984:529.902
1167609978,69317;468.864:534.924
1167609978,73248;469.728:532.116
1167609978,77685;462.816:532.062
1167609978,81592;464.928:536.922
1167609978,86064;480.48:538.002
1167609978,90098;
1167609978,94911;
1167609978,98711;
1167609979,02911;
1167609979,06745;
1167609979,11096;
1167609979,15065;
1167609979,1949;
1167609979,23309;
1167609979,27129;
1167609979,31011;597.984:469.8
1167609979,3503;593.28:459.486
1167609979,39276;599.424:460.89
1167609979,43088;
1167609979,47313;
1167609979,51118;
1167609979,55009;
1167609979,58827;
1167609979,62627;529.728:346.842
1167609979,66475;500.736:187.812
1167609979,70688;506.4:188.19
1167609979,74583;506.88:184.086
1167609979,78485;506.592:180.252
1167609979,8236;519.36:191.808
1167609979,86242;524.64:191.484
1167609979,90121;520.32:188.622
1167609979,94211;519.168:200.016
1167609979,98186;419.136:189.324
