Timestamp;GazePoint
636198469890,31;
1167609934,38027;1090.464:543.024
1167609934,41428;1065.024:472.5
1167609934,44859;1066.848:567.756
1167609934,48363;1075.008:464.346
1167609934,51893;1049.088:619.38
1167609934,55424;1112.352:507.6
1167609934,59011;1057.056:437.562
1167609934,62569;998.016:493.884
1167609934,66135;595.392:527.58
1167609934,69762;629.472:499.122
1167609934,73344;598.08:472.662
1167609934,77005;608.544:534.816
1167609934,80657;612.384:449.334
1167609934,84312;517.632:567.108
1167609934,87826;515.232:438.642
1167609934,91511;504.576:295.434
1167609934,95099;472.992:351.162
1167609934,98708;480.576:357.912
1167609935,02426;486.816:400.518
1167609935,06074;462.72:419.418
1167609935,10156;480.0:405.594
1167609935,13797;468.288:350.406
1167609935,17419;486.912:356.454
1167609935,2101;461.28:400.194
1167609935,24685;
1167609935,28684;
1167609935,31298;
1167609935,35479;444.864:349.38
1167609935,38509;464.256:450.9
1167609935,4271;486.24:571.212
1167609935,46234;507.744:587.304
1167609935,5023;498.432:538.596
1167609935,53852;523.008:555.606
1167609935,57945;489.12:532.494
1167609935,61584;620.928:553.284
1167609935,6558;1066.56:465.912
1167609935,69188;1133.376:444.096
1167609935,73355;1145.76:414.612
1167609935,77092;1139.808:424.44
1167609935,81109;1137.024:458.406
1167609935,84859;1081.824:226.854
1167609935,88939;1030.656:189.81
1167609935,92548;1031.424:149.202
1167609935,96215;1063.872:128.304
1167609935,99851;1036.608:143.37
1167609936,03531;1026.624:206.064
1167609936,08209;1058.88:196.398
1167609936,11958;1042.56:166.536
1167609936,156;1047.648:145.314
1167609936,19156;1043.712:150.984
1167609936,22736;1269.504:667.332
1167609936,26449;1306.272:876.42
1167609936,30299;1295.424:867.402
1167609936,34014;1269.504:852.822
1167609936,37733;1284.096:845.91
1167609936,4217;1267.488:847.53
1167609936,46449;1211.616:947.052
1167609936,50538;1209.024:971.352
1167609936,54631;1212.192:982.746
1167609936,58768;1512.96:648.378
1167609936,62787;1516.128:602.91
1167609936,66723;1500.672:511.164
1167609936,70459;1439.136:570.78
1167609936,74994;
1167609936,78827;1444.896:581.04
1167609936,81495;1473.984:526.824
1167609936,85277;1433.376:581.364
1167609936,89161;1449.312:550.368
1167609936,92973;1690.656:654.804
1167609936,97115;1712.16:491.238
1167609937,00984;1669.344:596.862
1167609937,0491;1707.84:661.176
1167609937,09011;
