Timestamp;Action;ActionArgs;LeftEye;RightEye
9755,01318;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,0561;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,09899;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,14194;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,1791;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,22199;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,26494;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,30788;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,35081;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,3942;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,43175;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,47506;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,51372;EyeTracking;BothEyesTracked;[0,3613,0,1061];[0,2926,0,2208]
1167609755,55012;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609755,62205;EyeTracking;OnlyRightEyeTracked;[-,-];[0,4583,0,5310]
1167609755,65028;EyeTracking;OnlyRightEyeTracked;[-,-];[0,4929,0,5418]
1167609755,7304;EyeTracking;BothEyesTracked;[0,4628,0,5307];[0,4619,0,5536]
1167609755,77987;EyeTracking;BothEyesTracked;[0,4974,0,4498];[0,4682,0,5013]
1167609755,85506;EyeTracking;BothEyesTracked;[0,4550,0,4996];[0,4914,0,5684]
1167609755,93505;EyeTracking;BothEyesTracked;[0,4388,0,5142];[0,4633,0,5639]
1167609756,01317;EyeTracking;BothEyesTracked;[0,4822,0,5607];[0,4687,0,4656]
1167609756,09094;EyeTracking;BothEyesTracked;[0,4191,0,4772];[0,4769,0,4521]
1167609756,16736;EyeTracking;BothEyesTracked;[0,4155,0,4632];[0,4586,0,5475]
1167609756,23098;EyeTracking;BothEyesTracked;[0,3874,0,5214];[0,4832,0,5582]
1167609756,30793;EyeTracking;BothEyesTracked;[0,1584,0,4818];[0,2436,0,4823]
1167609756,38372;EyeTracking;BothEyesTracked;[0,2105,0,5624];[0,2439,0,4508]
1167609756,44681;EyeTracking;BothEyesTracked;[0,2396,0,4078];[0,2041,0,4702]
1167609756,51325;EyeTracking;BothEyesTracked;[0,2474,0,3935];[0,2018,0,4749]
1167609756,57799;EyeTracking;BothEyesTracked;[0,2471,0,4246];[0,1973,0,4593]
1167609756,63378;EyeTracking;BothEyesTracked;[0,2317,0,4492];[0,2199,0,4414]
1167609756,69397;EyeTracking;BothEyesTracked;[0,2367,0,4368];[0,2142,0,4809]
1167609756,74771;EyeTracking;BothEyesTracked;[0,2260,0,4969];[0,2212,0,4636]
1167609756,80166;EyeTracking;BothEyesTracked;[0,2436,0,4346];[0,2272,0,4593]
1167609756,85771;EyeTracking;BothEyesTracked;[0,2299,0,4283];[0,2095,0,4767]
1167609756,91518;EyeTracking;BothEyesTracked;[0,2361,0,4390];[0,2017,0,4617]
1167609756,95205;EyeTracking;BothEyesTracked;[0,2318,0,4166];[0,1996,0,4732]
1167609756,98876;EyeTracking;BothEyesTracked;[0,2370,0,4475];[0,2094,0,4666]
1167609757,02535;EyeTracking;BothEyesTracked;[0,2297,0,4886];[0,2039,0,4570]
1167609757,06178;EyeTracking;BothEyesTracked;[0,2261,0,4816];[0,2069,0,4773]
1167609757,10442;EyeTracking;BothEyesTracked;[0,2342,0,4409];[0,2112,0,4705]
1167609757,1481;EyeTracking;BothEyesTracked;[0,2330,0,4448];[0,2094,0,4774]
1167609757,18529;EyeTracking;BothEyesTracked;[0,2278,0,4892];[0,2203,0,4822]
1167609757,22252;EyeTracking;BothEyesTracked;[0,2249,0,4707];[0,2094,0,4796]
1167609757,26628;EyeTracking;BothEyesTracked;[0,2369,0,4593];[0,2018,0,4658]
1167609757,30923;EyeTracking;BothEyesTracked;[0,2395,0,4376];[0,2081,0,4734]
1167609757,34731;EyeTracking;BothEyesTracked;[0,2320,0,4877];[0,2118,0,4815]
1167609757,38525;EyeTracking;BothEyesTracked;[0,2270,0,4931];[0,2078,0,4868]
1167609757,42984;EyeTracking;BothEyesTracked;[0,2380,0,4703];[0,2040,0,4934]
1167609757,47375;EyeTracking;BothEyesTracked;[0,2331,0,4549];[0,2093,0,4863]
1167609757,51177;EyeTracking;BothEyesTracked;[0,2313,0,4589];[0,2112,0,4706]
1167609757,54983;EyeTracking;BothEyesTracked;[0,2291,0,4517];[0,2122,0,4839]
1167609757,58789;EyeTracking;BothEyesTracked;[0,2337,0,4695];[0,2095,0,4694]
1167609757,62525;EyeTracking;BothEyesTracked;[0,2349,0,4495];[0,2075,0,4795]
1167609757,66168;EyeTracking;BothEyesTracked;[0,2309,0,4452];[0,2118,0,4854]
1167609757,69972;EyeTracking;BothEyesTracked;[0,2288,0,4286];[0,2074,0,4802]
1167609757,73789;EyeTracking;BothEyesTracked;[0,4022,0,4689];[0,4032,0,4569]
1167609757,78006;EyeTracking;BothEyesTracked;[0,4795,0,4689];[0,4573,0,4675]
1167609757,81687;EyeTracking;BothEyesTracked;[0,4760,0,5003];[0,4511,0,4651]
1167609757,85348;EyeTracking;BothEyesTracked;[0,4735,0,4974];[0,4422,0,4556]
1167609757,89182;EyeTracking;BothEyesTracked;[0,4694,0,4683];[0,4527,0,4796]
1167609757,92977;EyeTracking;BothEyesTracked;[0,4734,0,4688];[0,4511,0,4543]
1167609757,97073;EyeTracking;BothEyesTracked;[0,4518,0,4862];[0,4334,0,5203]
1167609758,00816;EyeTracking;BothEyesTracked;[0,4480,0,4872];[0,4363,0,4925]
1167609758,0551;EyeTracking;BothEyesTracked;[0,4526,0,4792];[0,4313,0,4747]
1167609758,09255;EyeTracking;BothEyesTracked;[0,4498,0,4659];[0,4456,0,4750]
1167609758,13523;EyeTracking;BothEyesTracked;[0,4533,0,4784];[0,4362,0,4705]
1167609758,17284;EyeTracking;BothEyesTracked;[0,4426,0,4961];[0,4295,0,4729]
1167609758,21547;EyeTracking;BothEyesTracked;[0,4550,0,4649];[0,4260,0,4968]
1167609758,25231;EyeTracking;BothEyesTracked;[0,4613,0,4724];[0,4327,0,4928]
1167609758,30025;EyeTracking;BothEyesTracked;[0,4550,0,4858];[0,4346,0,4898]
1167609758,34294;EyeTracking;BothEyesTracked;[0,4496,0,4748];[0,4331,0,4795]
1167609758,3838;EyeTracking;BothEyesTracked;[0,4519,0,4812];[0,4318,0,4970]
1167609758,42145;EyeTracking;BothEyesTracked;[0,4562,0,4870];[0,4354,0,4526]
1167609758,46889;EyeTracking;BothEyesTracked;[0,4424,0,4741];[0,4283,0,4650]
1167609758,50623;EyeTracking;BothEyesTracked;[0,4573,0,4823];[0,4386,0,4394]
1167609758,54896;EyeTracking;BothEyesTracked;[0,4509,0,4711];[0,4315,0,4386]
1167609758,58692;EyeTracking;BothEyesTracked;[0,4440,0,4725];[0,4286,0,4421]
1167609758,62851;EyeTracking;BothEyesTracked;[0,4105,0,4629];[0,3898,0,4502]
1167609758,66622;EyeTracking;BothEyesTracked;[0,2304,0,4174];[0,2129,0,4294]
1167609758,70527;EyeTracking;BothEyesTracked;[0,2308,0,4343];[0,2139,0,4487]
1167609758,74321;EyeTracking;BothEyesTracked;[0,2348,0,4275];[0,2128,0,4581]
1167609758,78024;EyeTracking;BothEyesTracked;[0,2264,0,4459];[0,2112,0,4707]
1167609758,81921;EyeTracking;BothEyesTracked;[0,2380,0,4248];[0,2188,0,4557]
1167609758,86908;EyeTracking;BothEyesTracked;[0,2322,0,4122];[0,2194,0,4387]
1167609758,90652;EyeTracking;BothEyesTracked;[0,2316,0,4245];[0,2131,0,4341]
1167609758,94414;EyeTracking;BothEyesTracked;[0,2351,0,4279];[0,2099,0,4449]
1167609758,9826;EyeTracking;BothEyesTracked;[0,2217,0,3865];[0,2191,0,4532]
1167609759,02028;EyeTracking;BothEyesTracked;[0,2324,0,4201];[0,2165,0,4372]
1167609759,0578;EyeTracking;BothEyesTracked;[0,2277,0,4185];[0,2056,0,4541]
1167609759,09524;EyeTracking;BothEyesTracked;[0,2349,0,4196];[0,2112,0,4456]
1167609759,13354;EyeTracking;BothEyesTracked;[0,2417,0,4247];[0,2108,0,4539]
1167609759,17187;EyeTracking;BothEyesTracked;[0,2358,0,4621];[0,2161,0,4400]
1167609759,21011;EyeTracking;BothEyesTracked;[0,2334,0,4305];[0,2131,0,4495]
1167609759,2541;EyeTracking;BothEyesTracked;[0,2312,0,4271];[0,2096,0,4555]
1167609759,29229;EyeTracking;BothEyesTracked;[0,2282,0,4736];[0,2155,0,4534]
1167609759,33051;EyeTracking;BothEyesTracked;[0,2302,0,4370];[0,2198,0,4783]
1167609759,37421;EyeTracking;BothEyesTracked;[0,2253,0,4274];[0,2108,0,4548]
1167609759,4124;EyeTracking;BothEyesTracked;[0,2321,0,4409];[0,2124,0,4486]
1167609759,45614;EyeTracking;BothEyesTracked;[0,2288,0,4428];[0,2097,0,4386]
1167609759,49421;EyeTracking;BothEyesTracked;[0,4567,0,5078];[0,4277,0,5250]
1167609759,53169;EyeTracking;BothEyesTracked;[0,4607,0,5161];[0,4407,0,4943]
1167609759,57509;EyeTracking;BothEyesTracked;[0,4542,0,5190];[0,4293,0,5437]
1167609759,61175;EyeTracking;BothEyesTracked;[0,4548,0,5067];[0,4236,0,5055]
1167609759,65514;EyeTracking;BothEyesTracked;[0,4664,0,5060];[0,4275,0,5307]
1167609759,69182;EyeTracking;BothEyesTracked;[0,4534,0,5175];[0,4259,0,5331]
1167609759,73815;EyeTracking;BothEyesTracked;[0,4533,0,5086];[0,4287,0,5109]
1167609759,77995;EyeTracking;BothEyesTracked;[0,4536,0,5202];[0,4339,0,5047]
1167609759,81636;EyeTracking;BothEyesTracked;[0,4600,0,5201];[0,4274,0,5066]
1167609759,85835;EyeTracking;BothEyesTracked;[0,4665,0,5146];[0,4342,0,5117]
1167609759,89468;EyeTracking;BothEyesTracked;[0,4574,0,5036];[0,4319,0,4917]
1167609759,93564;EyeTracking;BothEyesTracked;[0,4973,0,5237];[0,4862,0,4977]
1167609759,97321;EyeTracking;BothEyesTracked;[0,4967,0,5103];[0,4876,0,5020]
1167609760,0137;EyeTracking;BothEyesTracked;[0,4949,0,5322];[0,4784,0,5116]
1167609760,05143;EyeTracking;BothEyesTracked;[0,4925,0,5112];[0,4724,0,5056]
1167609760,09474;EyeTracking;BothEyesTracked;[0,4909,0,5263];[0,4733,0,5008]
1167609760,13299;EyeTracking;BothEyesTracked;[0,4905,0,5194];[0,4747,0,4978]
1167609760,17375;EyeTracking;BothEyesTracked;[0,4916,0,5453];[0,4782,0,5055]
1167609760,21006;EyeTracking;BothEyesTracked;[0,4956,0,5258];[0,4718,0,5049]
1167609760,25144;EyeTracking;BothEyesTracked;[0,4978,0,5155];[0,4613,0,5176]
1167609760,2878;EyeTracking;BothEyesTracked;[0,4956,0,5367];[0,4657,0,5188]
1167609760,32825;EyeTracking;BothEyesTracked;[0,4859,0,5447];[0,4623,0,5284]
1167609760,36391;EyeTracking;BothEyesTracked;[0,4841,0,5377];[0,4536,0,5380]
1167609760,4034;EyeTracking;BothEyesTracked;[0,4878,0,5400];[0,4507,0,5208]
1167609760,43953;EyeTracking;BothEyesTracked;[0,4838,0,5412];[0,4671,0,5147]
1167609760,48096;EyeTracking;BothEyesTracked;[0,4908,0,5332];[0,4527,0,5163]
1167609760,51779;EyeTracking;BothEyesTracked;[0,4815,0,5413];[0,4497,0,5265]
1167609760,55715;EyeTracking;BothEyesTracked;[0,4854,0,5442];[0,4403,0,5159]
1167609760,59234;EyeTracking;BothEyesTracked;[0,4762,0,5456];[0,4527,0,5315]
1167609760,62912;EyeTracking;BothEyesTracked;[0,4760,0,5388];[0,4496,0,5245]
1167609760,66592;EyeTracking;BothEyesTracked;[0,4854,0,5263];[0,4438,0,5319]
1167609760,70214;EyeTracking;BothEyesTracked;[0,4800,0,5627];[0,4530,0,5250]
1167609760,73871;EyeTracking;BothEyesTracked;[0,4823,0,5429];[0,4509,0,5249]
1167609760,77412;EyeTracking;BothEyesTracked;[0,4836,0,5185];[0,4565,0,5142]
1167609760,80987;EyeTracking;BothEyesTracked;[0,4859,0,5194];[0,4567,0,5139]
1167609760,84626;EyeTracking;BothEyesTracked;[0,4769,0,5241];[0,4589,0,5008]
1167609760,88195;EyeTracking;BothEyesTracked;[0,4851,0,5168];[0,4586,0,5205]
1167609760,91919;EyeTracking;BothEyesTracked;[0,4806,0,5305];[0,4607,0,4870]
1167609760,95669;EyeTracking;BothEyesTracked;[0,4852,0,5085];[0,4577,0,5030]
1167609760,99328;EyeTracking;BothEyesTracked;[0,4804,0,5012];[0,4478,0,5218]
1167609761,02944;EyeTracking;BothEyesTracked;[0,4796,0,5202];[0,4568,0,5047]
1167609761,06627;EyeTracking;BothEyesTracked;[0,4801,0,4979];[0,4537,0,5106]
1167609761,10275;EyeTracking;BothEyesTracked;[0,4505,0,5127];[0,4156,0,4982]
1167609761,13926;EyeTracking;BothEyesTracked;[0,4539,0,5042];[0,4224,0,4901]
1167609761,17673;EyeTracking;BothEyesTracked;[0,4480,0,5130];[0,4292,0,5142]
