Timestamp;GazePoint
636217383628,033;
1167611260,49712;1016.16:539.082
1167611260,53348;1019.04:533.736
1167611260,56996;1010.88:523.692
1167611260,6069;1012.704:527.148
1167611260,64354;995.904:507.33
1167611260,68086;1011.552:527.04
1167611260,71813;1006.368:513.378
1167611260,75546;1011.552:536.544
1167611260,79281;1017.6:538.488
1167611260,83493;599.712:479.628
1167611260,87224;625.344:481.194
1167611260,9126;609.216:467.208
1167611260,94732;628.224:473.418
1167611260,98378;624.0:486.432
1167611261,02012;614.784:468.234
1167611261,05664;625.728:474.876
1167611261,09309;629.952:481.626
1167611261,13273;633.6:476.28
1167611261,16913;630.624:472.932
1167611261,20915;627.456:477.306
1167611261,24575;624.96:478.602
1167611261,2877;620.16:466.398
1167611261,32507;661.92:276.318
1167611261,36645;625.824:191.916
1167611261,40289;625.344:189.81
1167611261,4442;639.264:187.218
1167611261,48114;644.736:201.744
1167611261,52273;632.448:202.878
1167611261,55969;696.672:211.086
1167611261,60214;849.312:128.412
1167611261,64031;854.976:135.432
1167611261,68387;846.624:105.246
1167611261,72136;849.504:111.456
1167611261,76418;847.104:123.336
1167611261,80065;1013.664:152.55
1167611261,83821;1031.232:217.026
1167611261,89471;1036.224:211.194
1167611261,97418;1041.888:231.228
1167611262,08785;1051.008:209.412
1167611262,22015;
1167611262,29906;
1167611262,32637;
1167611262,36163;
1167611262,3919;
1167611262,42231;
1167611262,45265;
1167611262,48296;
1167611262,51324;
1167611262,54348;
1167611262,57372;
1167611262,61855;
1167611262,66342;
1167611262,70831;
1167611262,7532;
1167611262,79233;
1167611262,83719;
1167611262,87731;497.664:72.738
1167611262,91593;562.656:122.904
1167611262,96473;
1167611263,00476;
1167611263,03469;
1167611263,06817;
1167611263,10013;
1167611263,13955;
1167611263,17626;
1167611263,21977;
1167611263,2576;
1167611263,29695;
1167611263,33558;
1167611263,38033;
1167611263,42361;
1167611263,48393;
1167611263,51441;
1167611263,54755;
1167611263,5776;
1167611263,61458;
1167611263,64589;
1167611263,69282;
1167611263,73829;
1167611263,78396;
1167611263,83973;
1167611263,89166;
1167611263,93964;
1167611263,98511;
1167611264,03686;
1167611264,07597;474.624:677.592
1167611264,1275;389.76:736.344
1167611264,17926;401.184:728.352
1167611264,23166;388.224:720.576
1167611264,28194;344.64:600.264
1167611264,32948;416.544:557.226
1167611264,36375;511.488:418.824
1167611264,40142;530.208:377.838
1167611264,44447;511.296:406.134
1167611264,48246;503.808:407.106
1167611264,52299;523.584:391.014
1167611264,5681;522.72:411.966
1167611264,60682;477.984:408.78
1167611264,64472;484.512:414.612
1167611264,68478;498.72:417.852
1167611264,72222;500.064:414.828
1167611264,76313;511.776:411.696
1167611264,80092;493.056:412.182
1167611264,8398;495.456:405.486
1167611264,88134;514.752:423.63
1167611264,92315;514.08:408.24
1167611264,96528;513.216:411.75
1167611265,00352;514.272:417.15
1167611265,04971;536.16:432.054
1167611265,09089;532.128:439.074
1167611265,1348;550.368:418.554
1167611265,17356;536.256:415.8
1167611265,2165;535.968:413.1
1167611265,25367;550.176:361.26
1167611265,29605;530.208:399.87
1167611265,33415;526.848:430.164
1167611265,37925;518.976:439.29
1167611265,4181;521.472:435.942
1167611265,46076;503.808:424.008
1167611265,5005;519.936:419.742
1167611265,54367;520.704:443.502
1167611265,58215;528.768:430.866
1167611265,62223;516.192:428.976
1167611265,65846;515.136:425.574
1167611265,69489;524.544:443.448
1167611265,73166;588.096:513.648
1167611265,76791;578.496:501.066
1167611265,80427;576.768:509.166
1167611265,84039;580.608:501.606
1167611265,87568;587.904:498.096
1167611265,91165;584.352:515.268
1167611265,94697;579.936:510.57
1167611265,98231;586.08:502.254
1167611266,01797;659.616:583.74
1167611266,05359;663.168:588.384
1167611266,08974;659.424:575.046
1167611266,12546;647.424:577.638
1167611266,16132;649.536:575.748
1167611266,1971;664.416:572.454
1167611266,23243;665.088:577.584
1167611266,26806;678.624:586.548
1167611266,30344;683.232:578.826
1167611266,33917;677.088:580.932
1167611266,37518;659.232:582.552
1167611266,41112;654.72:582.282
1167611266,44782;648.96:593.946
1167611266,48546;654.24:579.366
1167611266,52285;657.312:556.524
1167611266,55915;664.896:572.886
1167611266,59419;647.808:577.584
1167611266,62914;658.08:591.408
1167611266,66412;647.904:575.802
1167611266,70271;657.984:597.618
1167611266,73712;667.392:585.36
1167611266,77265;657.12:583.524
1167611266,80871;671.328:589.356
1167611266,84427;664.224:580.5
1167611266,87898;669.696:595.458
1167611266,91747;660.768:590.328
1167611266,95342;670.944:587.736
1167611266,99235;650.496:589.734
1167611267,02829;660.096:582.39
1167611267,06898;677.088:583.632
1167611267,10473;658.08:575.856
1167611267,14541;658.848:601.938
1167611267,18284;407.616:611.442
1167611267,22375;407.232:619.488
1167611267,26109;405.792:617.166
1167611267,30218;417.408:614.304
1167611267,33842;421.536:609.876
1167611267,37847;432.576:622.674
1167611267,4155;437.184:609.984
1167611267,45756;436.512:620.676
1167611267,49372;423.168:622.566
1167611267,53395;463.296:834.462
1167611267,56965;
1167611267,60354;
1167611267,62932;
1167611267,65521;
1167611267,6809;
1167611267,70653;
1167611267,73256;
1167611267,75932;
1167611267,78677;
1167611267,815;
1167611267,84393;
1167611267,87337;
1167611267,90298;
1167611267,93289;
1167611267,96308;
1167611267,99326;
1167611268,02344;
1167611268,06835;
1167611268,11326;
1167611268,15818;
1167611268,20196;
1167611268,24008;
1167611268,28383;
1167611268,31248;
1167611268,34193;
1167611268,37747;
1167611268,41253;
1167611268,44795;395.808:626.616
1167611268,48031;
1167611268,51912;388.224:627.588
1167611268,54585;376.032:620.244
1167611268,57889;377.472:614.574
1167611268,6184;389.76:612.684
1167611268,65453;397.824:619.704
1167611268,69063;383.712:611.064
1167611268,72708;392.064:620.028
1167611268,76349;380.352:623.376
1167611268,80037;392.544:610.092
1167611268,83997;396.576:602.694
1167611268,87674;384.288:609.228
1167611268,91626;408.672:626.13
1167611268,95232;386.688:603.342
1167611268,9932;391.008:625.32
1167611269,02852;389.376:617.274
1167611269,06789;379.776:611.388
1167611269,10371;384.48:596.916
1167611269,14434;300.0:573.102
1167611269,17992;
1167611269,22025;
1167611269,25798;
1167611269,29897;
1167611269,33616;
1167611269,37662;
1167611269,41216;
1167611269,45713;
1167611269,49276;
1167611269,52884;
1167611269,56478;
1167611269,601;
1167611269,63658;
1167611269,67243;
1167611269,71422;
1167611269,75108;
1167611269,78765;
1167611269,82405;
1167611269,86883;
1167611269,90687;
1167611269,9436;
1167611269,98653;
1167611270,02491;
1167611270,06823;
1167611270,09524;
1167611270,12156;
1167611270,14733;
1167611270,17319;
1167611270,19906;
1167611270,22519;
1167611270,25236;
1167611270,28039;
1167611270,30939;
1167611270,35884;
1167611270,39989;434.688:474.174
1167611270,42173;431.424:479.79
1167611270,46428;369.024:600.696
1167611270,50666;363.456:606.636
1167611270,55058;395.424:590.22
1167611270,59456;370.272:612.414
1167611270,63559;379.104:603.45
1167611270,68011;376.512:605.988
1167611270,72611;367.872:626.13
1167611270,77132;366.624:622.296
1167611270,8142;371.424:623.106
1167611270,86132;381.792:619.218
1167611270,90407;358.08:625.482
1167611270,94951;385.44:623.538
1167611270,99275;381.6:622.674
1167611271,03782;381.504:627.048
1167611271,07873;530.208:813.888
1167611271,12554;542.88:820.53
1167611271,16594;538.848:832.356
1167611271,21209;471.744:897.318
1167611271,2512;464.832:906.174
1167611271,29199;491.424:922.482
1167611271,33634;509.472:924.966
1167611271,37769;477.12:906.876
1167611271,4257;497.952:920.106
1167611271,46897;443.616:892.566
1167611271,51528;598.848:777.924
1167611271,571;619.296:777.762
1167611271,61117;608.64:796.5
1167611271,65032;620.832:798.822
1167611271,6883;604.8:785.484
1167611271,7249;608.832:767.07
1167611271,76154;613.536:765.342
1167611271,79811;627.36:748.872
1167611271,83459;621.12:767.61
1167611271,87113;770.88:815.13
1167611271,90847;729.888:839.106
1167611271,94612;768.768:804.222
1167611271,98339;769.344:798.39
1167611272,02151;747.648:818.802
1167611272,05813;754.656:831.114
1167611272,09447;835.968:793.368
1167611272,13112;1284.192:511.974
1167611272,16747;1282.656:500.58
1167611272,2047;1286.304:490.914
1167611272,2406;1302.048:486.162
1167611272,27698;1274.208:498.312
1167611272,31342;1278.816:501.498
1167611272,35017;1309.728:485.298
1167611272,3897;1474.272:233.982
1167611272,43008;1485.12:197.532
1167611272,47165;1483.584:227.61
1167611272,513;1482.432:228.906
1167611272,55324;1476.672:223.668
1167611272,59593;1395.264:477.684
1167611272,63355;1379.424:495.504
1167611272,67156;1394.208:470.394
1167611272,71009;1376.928:477.576
