Timestamp;GazePoint
636217383296,114;
1167611227,29056;952.992:511.488
1167611227,3307;949.824:516.402
1167611227,3684;948.192:512.514
1167611227,40347;929.952:520.128
1167611227,43983;934.944:514.998
1167611227,47411;954.72:519.804
1167611227,51035;952.512:518.022
1167611227,54643;946.56:507.546
1167611227,58383;938.688:523.422
1167611227,6207;930.528:521.856
1167611227,65616;940.992:507.654
1167611227,69089;469.728:501.714
1167611227,72526;468.864:509.814
1167611227,75978;473.568:517.644
1167611227,79417;469.824:503.01
1167611227,82848;488.064:520.344
1167611227,86271;477.312:511.704
1167611227,89936;484.416:524.07
1167611227,93936;472.608:503.118
1167611227,9747;448.224:560.034
1167611228,00951;473.856:568.89
1167611228,04423;458.592:568.08
1167611228,07826;473.184:553.284
1167611228,11612;456.288:549.612
1167611228,15182;459.552:558.792
1167611228,1912;565.92:481.032
1167611228,22624;686.784:370.386
1167611228,26833;705.6:339.12
1167611228,30577;
1167611228,34838;
1167611228,38808;
1167611228,41693;
1167611228,44707;
1167611228,47716;
1167611228,50922;
1167611228,56416;
1167611228,60187;
1167611228,64123;
1167611228,68047;1155.744:293.382
1167611228,719;1137.12:304.884
1167611228,75893;1094.112:470.124
1167611228,79633;1116.48:447.66
1167611228,8337;1096.32:497.286
1167611228,87122;1089.408:496.746
1167611228,90829;1113.024:477.306
1167611228,94557;1113.504:472.5
1167611228,9833;1106.112:477.846
1167611229,02114;1095.36:496.26
1167611229,05866;1098.72:493.506
1167611229,09607;1110.528:471.474
1167611229,13373;1121.856:473.958
1167611229,17159;1183.008:315.414
1167611229,20911;1263.84:241.11
1167611229,24679;1269.312:247.86
1167611229,28447;1265.472:250.074
1167611229,32182;1273.44:244.296
1167611229,35942;1287.456:243.054
1167611229,39717;1264.224:235.98
1167611229,43433;1271.328:236.79
1167611229,47215;1268.16:239.274
1167611229,50918;1281.312:217.458
1167611229,54709;1343.136:244.998
1167611229,58441;1461.984:257.58
1167611229,62458;1481.184:263.736
1167611229,67115;1496.544:161.892
1167611229,71033;
1167611229,7481;
1167611229,7849;
1167611229,82658;
1167611229,86427;
1167611229,89307;
1167611229,92282;
1167611229,95335;
1167611229,98421;
1167611230,01554;
1167611230,04719;
1167611230,07929;
1167611230,115;
1167611230,1533;
1167611230,19227;
1167611230,22365;
1167611230,25749;
1167611230,29116;
1167611230,32936;
1167611230,3634;
1167611230,40198;
1167611230,44437;462.336:460.62
1167611230,47376;
1167611230,52079;
1167611230,55886;
1167611230,59608;
1167611230,63507;
1167611230,66775;
1167611230,70111;
1167611230,73463;
1167611230,76821;
1167611230,80252;
1167611230,83786;
1167611230,8732;
1167611230,90956;
1167611230,95098;
1167611230,99532;
1167611231,03482;
1167611231,07451;
1167611231,11243;
1167611231,15651;
1167611231,20181;
1167611231,23992;
1167611231,28563;
1167611231,33567;
1167611231,38293;
1167611231,43165;
1167611231,47709;236.544:509.22
1167611231,5278;249.6:498.312
1167611231,56147;249.216:510.948
1167611231,59939;241.92:500.364
1167611231,63711;257.088:517.968
1167611231,67363;252.576:525.744
1167611231,71418;262.272:524.232
1167611231,75241;254.208:513.918
1167611231,79233;260.448:521.046
1167611231,83112;243.456:513.972
1167611231,87024;247.584:505.71
1167611231,90947;256.416:513.0
1167611231,95472;294.144:215.082
1167611231,99571;276.096:219.186
1167611232,04132;285.12:215.892
1167611232,08308;291.84:210.654
1167611232,13131;280.512:217.566
1167611232,17026;310.176:204.282
1167611232,2146;787.584:247.536
1167611232,25809;814.56:218.214
1167611232,30731;
1167611232,34934;
1167611232,39448;
1167611232,42054;
1167611232,45552;
1167611232,49159;
1167611232,52598;
1167611232,55912;
1167611232,59896;
1167611232,63114;
1167611232,66814;
1167611232,70604;
1167611232,73489;
1167611232,76831;
1167611232,797;335.424:134.082
1167611232,84749;345.984:116.64
1167611232,88711;351.648:166.266
1167611232,92893;353.856:170.316
1167611232,96724;340.608:135.054
1167611233,00557;342.144:166.32
1167611233,04673;336.384:176.31
1167611233,08738;344.736:189.108
1167611233,12881;342.72:179.982
1167611233,16932;321.888:210.6
1167611233,21151;343.2:213.678
1167611233,25479;213.216:204.282
1167611233,29627;256.608:222.804
1167611233,34066;244.992:223.074
1167611233,3827;245.952:227.718
1167611233,42473;259.392:220.806
1167611233,46646;244.512:220.644
1167611233,50806;244.224:228.15
1167611233,54894;239.904:206.496
1167611233,58928;247.392:208.17
1167611233,62985;271.68:192.186
1167611233,67412;254.784:214.272
1167611233,71343;245.856:196.83
1167611233,75236;251.904:182.844
1167611233,78884;272.256:221.724
1167611233,82711;263.52:198.018
1167611233,87194;253.44:178.362
1167611233,91055;127.008:79.974
1167611233,95285;100.224:52.542
1167611233,99167;124.416:49.41
1167611234,03382;113.856:71.766
1167611234,07179;106.752:67.932
1167611234,11215;114.336:72.954
1167611234,15468;122.88:78.894
1167611234,19669;105.312:76.194
1167611234,23393;91.584:131.436
1167611234,27459;100.896:138.834
1167611234,31007;
1167611234,35193;
1167611234,37936;931.968:452.682
1167611234,42268;915.552:428.112
1167611234,46427;915.84:452.142
1167611234,50759;899.232:430.38
1167611234,54648;1168.32:575.478
1167611234,58455;1226.688:570.132
1167611234,62741;1207.968:572.13
1167611234,66739;1201.152:568.62
1167611234,71149;1196.352:586.17
1167611234,75128;1208.64:577.8
