Timestamp;GazePoint
636217385355,302;
1167611433,17813;941.088:525.852
1167611433,21193;936.768:547.56
1167611433,24581;933.024:520.344
1167611433,27913;957.696:522.504
1167611433,31295;925.632:505.17
1167611433,34693;930.528:495.018
1167611433,38079;931.68:496.098
1167611433,41476;939.456:480.06
1167611433,4487;939.072:509.814
1167611433,48239;813.888:486.27
1167611433,5163;540.288:478.17
1167611433,55043;553.344:465.804
1167611433,58835;539.424:464.67
1167611433,62285;561.12:461.052
1167611433,65692;541.44:480.546
1167611433,69113;542.592:483.84
1167611433,72537;544.416:474.282
1167611433,75971;548.544:495.666
1167611433,79788;398.784:426.816
1167611433,83282;400.704:428.922
1167611433,87078;384.0:426.762
1167611433,9063;390.048:441.18
1167611433,94606;484.032:360.45
1167611433,98056;490.272:362.664
1167611434,01957;477.024:345.438
1167611434,05376;500.064:352.134
1167611434,09267;
1167611434,12738;617.76:352.188
1167611434,15708;
1167611434,19123;633.888:354.402
1167611434,22114;628.032:361.422
1167611434,25567;637.056:362.988
1167611434,29612;641.856:551.448
1167611434,33155;645.408:552.474
1167611434,37042;665.76:551.286
1167611434,405;659.04:547.83
1167611434,43798;672.0:554.958
1167611434,47222;682.368:571.698
1167611434,50674;671.232:574.182
1167611434,5409;672.864:578.88
1167611434,57367;685.92:576.396
1167611434,60816;686.784:573.534
1167611434,64255;675.936:582.66
1167611434,6756;
1167611434,71056;
1167611434,74652;678.336:578.664
1167611434,77837;1143.168:459.864
1167611434,81351;1303.68:437.778
1167611434,84819;1278.912:451.008
1167611434,88262;1283.424:452.358
1167611434,9171;1311.744:445.608
1167611434,95141;1313.088:436.266
1167611434,98596;1169.472:548.856
1167611435,02115;1160.16:558.252
1167611435,05714;1187.232:549.828
1167611435,09229;1184.544:549.504
1167611435,12638;1176.576:551.178
1167611435,16083;1181.184:553.122
1167611435,19518;1195.392:549.72
1167611435,22945;1185.792:536.652
1167611435,26398;1292.928:414.72
1167611435,2985;1372.896:307.368
1167611435,33333;1386.816:297.27
1167611435,36873;1388.16:300.564
1167611435,40396;1380.864:301.914
1167611435,43872;1398.144:300.942
1167611435,47762;1404.48:296.676
1167611435,51231;1545.024:171.342
1167611435,54864;1578.048:156.06
1167611435,58417;1591.872:151.686
1167611435,61936;1584.0:160.866
1167611435,65845;1584.576:185.706
1167611435,69408;1487.712:779.544
1167611435,73327;1518.144:811.242
1167611435,76872;1535.712:806.49
1167611435,80957;1521.216:803.412
1167611435,8448;1504.992:808.002
1167611435,88486;1495.296:802.602
1167611435,92086;1509.024:812.484
1167611435,96196;1092.0:818.424
1167611435,9975;1082.784:822.312
1167611436,0384;1085.28:838.782
1167611436,07496;1091.808:833.706
1167611436,11498;1087.104:836.028
1167611436,15191;968.448:812.646
1167611436,19295;790.752:739.044
1167611436,23096;798.144:738.396
1167611436,2721;792.096:732.618
1167611436,30783;984.384:571.05
1167611436,34421;1361.952:353.214
1167611436,38139;1350.624:345.33
1167611436,41787;1377.024:325.998
1167611436,45375;1357.248:335.556
1167611436,48943;1359.648:352.728
1167611436,52344;1365.504:351.972
1167611436,55895;1061.28:267.354
1167611436,59338;348.864:214.434
1167611436,6301;276.48:239.652
1167611436,66816;266.4:242.568
1167611436,70377;278.688:240.462
1167611436,73971;269.376:228.204
1167611436,7754;269.76:248.13
1167611436,81106;153.312:75.06
1167611436,84665;165.888:82.026
1167611436,88289;171.36:89.424
1167611436,91836;184.224:80.028
1167611436,95537;156.0:47.79
1167611436,99192;484.416:258.66
1167611437,02813;484.416:236.304
1167611437,06427;485.184:239.004
1167611437,10014;493.92:234.63
1167611437,13656;499.68:233.712
1167611437,17205;631.296:333.99
1167611437,20832;630.912:328.374
1167611437,24412;632.736:337.986
1167611437,27984;638.112:328.212
1167611437,31592;642.24:327.402
1167611437,35584;644.544:335.178
1167611437,39189;601.44:61.074
1167611437,42842;592.32:116.424
1167611437,4656;603.072:109.782
1167611437,50241;609.12:111.51
1167611437,54006;594.528:118.908
1167611437,58013;609.408:119.934
1167611437,61782;609.312:113.346
1167611437,65933;1252.512:48.438
1167611437,69696;1540.128:110.646
1167611437,7398;1575.168:109.188
1167611437,77708;1574.88:113.076
1167611437,81839;1558.464:118.26
1167611437,8544;
1167611437,89613;1588.32:159.246
1167611437,92233;1732.704:604.53
1167611437,96833;1727.424:625.428
1167611438,006;1742.112:621.216
1167611438,04643;1732.704:621.054
1167611438,0832;1774.368:704.592
1167611438,12515;1783.488:707.454
1167611438,16214;
1167611438,20293;
1167611438,22839;
1167611438,25412;
1167611438,27952;
1167611438,30496;
1167611438,33049;
1167611438,35591;
1167611438,38139;
1167611438,40687;
1167611438,43242;
1167611438,45828;
1167611438,48467;
1167611438,51144;
1167611438,5387;
1167611438,56624;
1167611438,59384;
1167611438,62143;
1167611438,66613;
1167611438,71111;
1167611438,75609;
1167611438,80108;
1167611438,84027;
1167611438,88516;
1167611438,91532;
1167611438,94685;
1167611438,9813;
1167611439,01634;
1167611439,05139;
1167611439,08559;
1167611439,11972;
1167611439,15388;
1167611439,18899;
1167611439,22324;
1167611439,25743;
1167611439,2916;
1167611439,32663;
1167611439,37158;
1167611439,41658;
1167611439,46172;
1167611439,50463;
1167611439,54168;
1167611439,58448;
1167611439,61526;
1167611439,64722;
1167611439,6893;
1167611439,72083;
1167611439,75463;
1167611439,78914;
1167611439,82367;
1167611439,85749;
1167611439,89133;
1167611439,92518;
1167611439,95972;
1167611439,99348;
1167611440,02723;
1167611440,06167;
1167611440,09616;
1167611440,13062;
1167611440,17563;
1167611440,22077;
1167611440,26583;
1167611440,31096;
1167611440,35033;
1167611440,39533;
1167611440,42489;
1167611440,45865;
1167611440,49409;
1167611440,53028;
1167611440,56563;
1167611440,60095;
1167611440,63638;
1167611440,67254;
1167611440,70789;
1167611440,7433;
1167611440,77864;
1167611440,81477;
1167611440,85012;
1167611440,89514;
1167611440,94029;
1167611440,98531;
1167611441,0286;
1167611441,06611;
1167611441,10947;
1167611441,13789;1376.16:282.744
1167611441,16972;
1167611441,21362;
1167611441,24067;
1167611441,26923;
1167611441,29851;
1167611441,32807;
1167611441,3579;
1167611441,38778;
1167611441,4177;
1167611441,44758;
1167611441,4779;
1167611441,50861;
1167611441,53922;
1167611441,56997;
1167611441,60079;
1167611441,63155;
1167611441,67655;
1167611441,72155;
1167611441,7667;
1167611441,81179;
1167611441,85106;
1167611441,89614;
1167611441,93021;
1167611441,96349;
1167611442,00883;
1167611442,04759;
1167611442,08134;
1167611442,11709;
1167611442,15309;
1167611442,18924;
1167611442,22392;
1167611442,25877;
1167611442,29372;
1167611442,33065;
1167611442,36586;
1167611442,40318;
1167611442,44067;
1167611442,48568;
1167611442,53084;
1167611442,57597;
1167611442,6198;
1167611442,65785;
1167611442,70169;
1167611442,73054;
1167611442,76218;378.048:383.4
1167611442,79962;371.328:404.784
1167611442,83991;370.56:427.302
1167611442,87927;359.52:421.902
1167611442,91884;356.64:403.38
1167611442,95384;359.904:423.414
1167611442,99017;440.736:301.644
1167611443,02644;439.488:303.264
1167611443,06684;442.08:290.088
1167611443,10347;444.768:297.918
1167611443,13982;426.72:309.096
1167611443,17648;419.52:273.348
1167611443,21308;415.968:274.968
1167611443,2535;603.552:314.118
1167611443,29088;609.504:322.974
1167611443,33098;615.936:327.726
1167611443,36714;601.056:334.422
1167611443,40827;601.632:333.234
1167611443,44413;631.968:347.706
1167611443,48515;650.016:351.594
1167611443,52071;625.248:356.292
1167611443,56197;626.016:350.082
1167611443,59838;647.136:345.816
1167611443,63896;627.744:356.13
1167611443,67488;628.416:350.244
1167611443,7151;635.712:343.278
1167611443,75127;636.192:356.13
1167611443,79224;630.624:352.458
1167611443,82845;641.856:343.656
1167611443,86817;640.032:357.426
1167611443,90332;647.52:351.702
1167611443,93896;634.752:358.668
1167611443,97447;649.536:372.924
1167611444,01014;290.112:202.338
1167611444,04578;185.28:147.906
1167611444,08289;191.52:162.054
1167611444,11877;206.592:135.54
1167611444,15331;199.584:147.582
1167611444,18796;189.6:141.696
1167611444,22257;132.864:99.09
1167611444,25706;148.608:105.462
1167611444,29156;167.52:125.712
1167611444,3261;146.304:98.55
1167611444,36043;146.496:83.376
1167611444,39454;150.24:90.666
1167611444,42881;140.928:113.562
1167611444,46297;157.536:111.51
1167611444,49716;144.672:90.288
1167611444,5314;392.736:99.846
1167611444,56551;641.376:83.322
1167611444,60011;663.456:86.724
1167611444,63449;670.464:79.974
1167611444,66914;664.704:86.13
1167611444,70369;663.648:91.044
1167611444,73814;659.904:95.418
1167611444,77241;668.256:88.236
1167611444,80686;774.144:107.838
1167611444,84139;922.464:110.538
1167611444,87614;930.144:109.944
1167611444,91126;943.584:119.232
1167611444,94959;943.104:125.712
1167611444,98411;939.36:127.278
1167611445,01898;933.696:117.828
1167611445,05471;1007.232:111.78
1167611445,08989;1163.808:128.304
1167611445,12494;1187.04:117.936
1167611445,16511;1194.336:112.266
1167611445,20146;1214.496:114.264
1167611445,24163;1207.008:119.178
1167611445,27719;1207.008:113.778
1167611445,31817;1344.0:127.548
1167611445,35377;1368.48:112.698
1167611445,39384;1362.24:122.526
1167611445,42978;1358.496:118.692
1167611445,47154;1371.264:104.598
1167611445,50775;1458.912:132.3
1167611445,54793;1440.96:132.84
1167611445,58315;1439.616:130.572
1167611445,62326;1435.008:139.05
1167611445,65888;1501.92:201.042
1167611445,69985;1470.24:201.042
1167611445,73657;1457.376:216.54
1167611445,77732;1487.04:195.426
1167611445,81183;1483.68:206.172
1167611445,84823;1488.864:210.114
1167611445,88494;1485.888:216.108
1167611445,92145;1485.888:210.87
1167611445,95696;1476.768:207.63
1167611446,00513;1484.448:209.736
1167611446,06884;1478.208:212.544
1167611446,18526;1415.616:642.168
1167611446,29499;1432.32:803.196
1167611446,38576;1557.792:858.114
1167611446,43773;1553.568:864.864
1167611446,4724;1570.08:856.602
1167611446,50715;1546.944:862.65
1167611446,54141;1563.456:871.452
1167611446,57656;1499.04:940.086
1167611446,61179;1507.872:942.732
1167611446,64596;1523.232:937.386
1167611446,68233;1497.408:940.194
1167611446,71727;1504.608:946.458
1167611446,75184;1507.872:955.584
1167611446,7867;1137.12:925.722
1167611446,82197;623.424:901.8
1167611446,86043;613.824:908.118
1167611446,895;624.576:886.572
1167611446,93008;621.216:851.634
1167611446,96552;639.552:895.374
1167611446,99993;645.888:884.574
1167611447,03457;430.848:947.754
1167611447,07293;448.8:938.736
1167611447,10914;451.104:950.238
1167611447,14898;434.88:935.118
1167611447,18511;522.144:971.46
1167611447,22566;455.712:952.992
1167611447,26083;474.144:958.392
1167611447,3002;491.328:962.766
1167611447,33507;478.944:946.458
1167611447,37557;135.456:1107.648
1167611447,41112;146.208:1109.754
1167611447,45456;155.04:1098.414
1167611447,49219;150.912:1110.888
1167611447,5355;151.872:1106.784
1167611447,57385;808.992:878.472
1167611447,61812;789.024:876.906
1167611447,65388;791.904:879.39
1167611447,69375;789.024:883.602
1167611447,72896;800.16:875.448
1167611447,76433;1193.28:670.788
1167611447,80012;1341.216:599.886
1167611447,83669;1379.616:584.496
1167611447,87292;1371.744:581.526
1167611447,90938;1360.896:596.16
1167611447,94594;1377.504:588.87
1167611447,98239;1365.792:589.788
1167611448,01917;1374.72:584.874
1167611448,0551;1511.136:574.29
1167611448,09171;1619.616:561.6
1167611448,12842;1618.944:573.318
1167611448,16562;1616.448:568.242
1167611448,20341;1623.84:567.648
1167611448,23954;1631.904:568.836
1167611448,27642;1773.024:666.954
1167611448,31286;1776.672:665.334
1167611448,35006;1770.24:675.54
1167611448,38722;1778.112:675.378
1167611448,42237;
1167611448,45829;
1167611448,4839;
1167611448,50946;
1167611448,53497;
1167611448,56038;
1167611448,58587;
1167611448,61135;
1167611448,63686;
1167611448,66232;
1167611448,68807;
1167611448,71431;
1167611448,74086;
1167611448,76785;
1167611448,79515;
1167611448,82277;
1167611448,85059;
1167611448,87837;
1167611448,92329;
1167611448,96826;
1167611449,01322;
1167611449,0582;
1167611449,09741;
1167611449,14233;
1167611449,17416;359.712:493.776
1167611449,20752;
1167611449,26186;345.408:525.636
1167611449,29236;350.304:511.272
1167611449,34038;356.352:514.134
1167611449,37964;374.496:517.32
1167611449,42132;657.696:581.094
1167611449,458;682.08:605.286
1167611449,50208;686.88:596.052
1167611449,54;689.472:585.846
1167611449,58198;692.928:590.544
1167611449,62014;628.704:591.678
1167611449,66436;381.6:551.232
1167611449,70599;383.04:541.188
1167611449,74651;388.416:540.756
1167611449,78222;378.816:541.566
1167611449,81853;392.64:536.22
1167611449,85505;216.288:586.278
1167611449,89144;190.56:582.768
1167611449,9282;187.68:589.572
1167611449,96464;172.896:595.188
1167611450,00133;191.232:587.628
1167611450,03793;162.624:590.274
1167611450,07446;
1167611450,1111;
1167611450,1487;
1167611450,18111;
1167611450,21564;
1167611450,2518;
1167611450,2858;
1167611450,31227;
1167611450,35854;
1167611450,38473;
1167611450,41429;
1167611450,44184;
1167611450,47416;
1167611450,50512;
1167611450,53458;
1167611450,56111;
1167611450,59847;
1167611450,63428;
1167611450,67269;
1167611450,6976;
1167611450,72515;
1167611450,75326;
1167611450,78188;
1167611450,81126;
1167611450,84115;
1167611450,87512;
1167611450,90684;
1167611450,94418;
1167611450,98243;
1167611451,00755;
1167611451,03813;
1167611451,06287;
1167611451,09237;
1167611451,11754;
1167611451,16396;
1167611451,20113;
1167611451,23352;
1167611451,26393;
1167611451,30423;
1167611451,33527;
1167611451,37365;
1167611451,40417;
1167611451,44325;
1167611451,47393;
1167611451,51334;
1167611451,54414;
1167611451,58219;
1167611451,61195;
1167611451,64553;
1167611451,67584;
1167611451,70987;
1167611451,73967;
1167611451,77338;
1167611451,80336;
1167611451,83725;
1167611451,86785;
1167611451,90228;
1167611451,93236;
1167611451,96623;
1167611451,99608;
1167611452,02969;
1167611452,05949;
1167611452,09367;
1167611452,1232;
1167611452,15685;
1167611452,18649;
1167611452,22035;
1167611452,25092;
1167611452,28512;
1167611452,31475;
1167611452,34839;
1167611452,3781;
1167611452,41172;
1167611452,44168;
1167611452,4753;
1167611452,50489;
1167611452,53881;
1167611452,56866;
1167611452,60232;
1167611452,63222;
1167611452,66967;
1167611452,69925;
1167611452,72594;
1167611452,75546;
1167611452,78936;
1167611452,81993;
1167611452,85438;
1167611452,88743;
1167611452,92268;
1167611452,9571;
1167611452,99211;
1167611453,02825;
1167611453,06346;
1167611453,09814;
1167611453,1326;
1167611453,16845;
1167611453,20339;
1167611453,23829;
1167611453,2727;
1167611453,30776;
1167611453,34272;
1167611453,37398;
1167611453,41307;
1167611453,44414;
1167611453,48474;
1167611453,51597;
1167611453,57059;
1167611453,60445;
1167611453,63487;
1167611453,67511;
1167611453,70738;
1167611453,73032;
1167611453,76297;
1167611453,78886;
1167611453,81985;
1167611453,84567;
1167611453,87728;
1167611453,90509;
1167611453,93853;
1167611453,9756;
1167611454,01435;
1167611454,05311;
1167611454,08079;
1167611454,1093;
1167611454,15691;
1167611454,19907;
1167611454,23786;
1167611454,26566;
1167611454,29417;
1167611454,32327;
1167611454,35841;
1167611454,3946;
1167611454,43214;
1167611454,47111;
1167611454,51645;
1167611454,55575;
1167611454,59454;
