Timestamp;Action;ActionArgs;LeftEye;RightEye
1167611182,20706;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167611182,24567;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167611182,28984;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167611182,32828;EyeTracking;OnlyLeftEyeTracked;[0,2988,0,0536];[-,-]
1167611182,36663;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167611182,42677;EyeTracking;BothEyesTracked;[0,2973,0,0774];[0,3013,0,1175]
1167611182,46512;EyeTracking;BothEyesTracked;[0,2948,0,0725];[0,3101,0,1285]
1167611182,51516;EyeTracking;BothEyesTracked;[0,2918,0,0589];[0,3050,0,1510]
1167611182,57181;EyeTracking;BothEyesTracked;[0,2959,0,0797];[0,3137,0,1378]
1167611182,62839;EyeTracking;BothEyesTracked;[0,2925,0,0884];[0,3064,0,1212]
1167611182,68289;EyeTracking;BothEyesTracked;[0,2887,0,0866];[0,3147,0,1224]
1167611182,75481;EyeTracking;BothEyesTracked;[0,2950,0,0954];[0,3175,0,1448]
1167611182,82892;EyeTracking;BothEyesTracked;[0,2972,0,0868];[0,3178,0,1247]
1167611182,89811;EyeTracking;BothEyesTracked;[0,3023,0,1120];[0,3265,0,1453]
1167611182,96482;EyeTracking;BothEyesTracked;[0,3035,0,0831];[0,3287,0,1326]
1167611183,02412;EyeTracking;BothEyesTracked;[0,3018,0,1085];[0,3167,0,1300]
1167611183,09162;EyeTracking;BothEyesTracked;[0,2953,0,0776];[0,3240,0,1508]
1167611183,1517;EyeTracking;BothEyesTracked;[0,2990,0,0990];[0,3223,0,1117]
1167611183,21638;EyeTracking;BothEyesTracked;[0,2465,0,0391];[0,2881,0,0472]
1167611183,27955;EyeTracking;BothEyesTracked;[0,2493,0,0268];[0,2827,0,0517]
1167611183,35198;EyeTracking;BothEyesTracked;[0,2546,0,0416];[0,2642,0,0321]
1167611183,41583;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167611183,49729;EyeTracking;BothEyesTracked;[0,2512,0,0326];[0,2691,0,0482]
1167611183,53407;EyeTracking;BothEyesTracked;[0,2594,0,0339];[0,2666,0,0524]
1167611183,60235;EyeTracking;BothEyesTracked;[0,2629,0,0312];[0,2668,0,0704]
1167611183,66874;EyeTracking;BothEyesTracked;[0,2699,0,0174];[0,2563,0,0816]
1167611183,76339;EyeTracking;BothEyesTracked;[0,2707,0,0222];[0,2615,0,0810]
