Timestamp;GazePoint
636192221416,991;
1167610143,14712;
1167610143,19;
1167610143,23292;
1167610143,27586;
1167610143,31925;
1167610143,35677;
1167610143,4001;
1167610143,44344;
1167610143,48674;
1167610143,53005;
1167610143,57344;
1167610143,61109;
1167610143,65442;
1167610143,69773;
1167610143,74107;
1167610143,77926;
1167610143,81748;
1167610143,86571;
1167610143,90399;
1167610143,94831;
1167610143,99649;
1167610144,04029;
1167610144,09439;747.072:362.286
1167610144,13231;754.272:374.544
1167610144,16986;798.048:441.126
1167610144,21143;778.08:420.498
1167610144,26305;793.632:422.55
1167610144,31133;789.6:441.936
1167610144,35914;790.368:434.754
1167610144,40589;796.128:439.236
1167610144,44406;780.96:429.3
1167610144,48173;783.648:438.21
1167610144,5236;774.528:433.296
1167610144,56712;730.56:592.11
1167610144,60564;715.392:682.452
1167610144,64812;734.496:723.276
1167610144,69418;750.24:673.866
1167610144,73606;749.856:653.508
1167610144,77306;739.104:651.672
1167610144,81064;749.952:660.582
1167610144,84798;769.248:651.672
1167610144,88492;1040.736:559.818
1167610144,9261;1043.904:563.598
1167610144,96411;1048.992:560.466
1167610145,00486;1043.616:553.716
1167610145,04259;1046.784:561.492
1167610145,08658;920.16:611.118
1167610145,12475;592.8:814.806
1167610145,16739;597.504:814.482
1167610145,205;595.008:814.806
1167610145,24806;597.696:810.432
1167610145,28612;600.96:817.614
1167610145,32978;187.008:855.738
1167610145,36722;196.224:854.604
1167610145,41152;259.968:848.718
1167610145,4507;128.256:848.124
1167610145,49747;130.176:833.544
1167610145,53775;114.528:842.724
1167610145,58132;119.52:836.352
1167610145,62069;119.808:837.648
1167610145,66054;116.832:827.55
1167610145,7003;109.248:822.312
1167610145,74054;109.824:839.916
1167610145,78129;110.88:888.57
1167610145,82226;105.504:888.678
1167610145,86288;99.456:883.656
1167610145,90258;98.112:891.972
1167610145,94312;110.784:883.98
1167610145,98418;104.64:888.408
1167610146,02532;99.936:877.824
1167610146,06686;108.48:868.266
1167610146,10598;118.752:872.856
1167610146,14381;118.368:880.578
1167610146,18355;114.816:817.614
1167610146,2253;112.704:814.968
1167610146,26653;102.72:813.402
1167610146,30744;
1167610146,34719;108.48:822.042
1167610146,38056;103.968:816.156
1167610146,4182;118.176:822.474
1167610146,45692;121.536:813.294
1167610146,49524;104.736:817.884
1167610146,5328;124.896:812.16
1167610146,57012;119.904:809.568
1167610146,60651;102.048:808.218
1167610146,64317;115.296:815.292
1167610146,68349;117.312:814.428
1167610146,72092;119.904:811.62
1167610146,75928;
1167610146,79777;
1167610146,83167;
1167610146,86577;
1167610146,89539;
1167610146,92935;
1167610146,96046;
1167610146,99263;
1167610147,03242;
1167610147,06265;
1167610147,09719;
1167610147,1269;
1167610147,16198;
1167610147,19231;
1167610147,23315;641.856:253.314
1167610147,2809;643.584:257.31
1167610147,31859;
1167610147,36243;509.376:136.242
1167610147,40646;497.088:148.662
