Timestamp;GazePoint
636192220744,032;
1167610075,81655;955.872:425.25
1167610075,85037;947.328:421.902
1167610075,88448;958.56:424.116
1167610075,91837;949.92:433.08
1167610075,9527;956.256:423.144
1167610075,9867;951.648:432.81
1167610076,02062;949.152:427.572
1167610076,05549;960.48:435.51
1167610076,09308;525.504:423.63
1167610076,12691;500.832:408.564
1167610076,16129;497.184:419.796
1167610076,19543;499.392:414.396
1167610076,22912;500.064:409.806
1167610076,26364;554.592:442.422
1167610076,30089;557.376:436.32
1167610076,33706;561.984:443.556
1167610076,37609;559.968:449.982
1167610076,41074;560.64:435.078
1167610076,45169;542.976:408.78
1167610076,48662;543.456:389.556
1167610076,52662;541.92:390.42
1167610076,56212;505.248:438.156
1167610076,60351;382.176:567.81
1167610076,63961;377.28:569.97
1167610076,68195;384.768:592.164
1167610076,72012;371.04:580.5
1167610076,76064;375.168:587.304
1167610076,79715;374.4:587.304
1167610076,8391;379.296:584.118
1167610076,87679;367.68:575.424
1167610076,92065;375.072:588.762
1167610076,95773;379.392:580.716
1167610076,99612;380.256:572.832
1167610077,03414;368.832:614.79
1167610077,07339;365.568:625.158
1167610077,11307;377.856:614.682
1167610077,15315;376.896:619.38
1167610077,19216;365.088:626.994
1167610077,23176;378.72:616.302
1167610077,27228;365.28:619.272
1167610077,31248;375.36:648.054
1167610077,35284;370.272:646.218
1167610077,39243;367.392:654.966
1167610077,43179;373.728:661.014
1167610077,47071;377.376:644.004
1167610077,50937;362.688:649.998
1167610077,54808;
1167610077,58624;
1167610077,61444;206.208:730.296
1167610077,64242;197.952:723.924
1167610077,67912;198.336:740.34
1167610077,7164;190.272:727.758
1167610077,75378;257.568:692.118
1167610077,79113;360.576:592.056
1167610077,82737;360.96:573.048
1167610077,86421;362.304:580.824
1167610077,90173;361.824:573.426
1167610077,93928;363.264:571.374
1167610077,97711;359.52:576.774
1167610078,01937;373.056:573.912
1167610078,05674;357.312:572.022
1167610078,09311;370.56:560.898
1167610078,13026;368.832:570.24
1167610078,16779;370.176:579.69
1167610078,21005;223.584:691.578
1167610078,24789;165.12:764.1
1167610078,28952;172.608:774.63
1167610078,32884;174.336:774.09
1167610078,37456;204.096:774.684
1167610078,41529;195.168:771.93
1167610078,45958;198.048:775.818
1167610078,49948;209.376:771.444
1167610078,54451;203.424:785.916
1167610078,58572;196.512:780.192
1167610078,63197;189.984:777.762
1167610078,66898;211.392:729.918
1167610078,71326;202.56:732.024
1167610078,75386;198.912:723.6
1167610078,79893;194.208:719.928
1167610078,83914;198.432:730.836
1167610078,88359;197.472:727.218
1167610078,92498;215.808:781.218
1167610078,96423;225.312:778.194
1167610079,00387;227.808:777.654
1167610079,04306;231.744:783.378
1167610079,08191;222.528:784.674
1167610079,12109;216.576:783.81
1167610079,16013;228.96:778.842
1167610079,19937;227.808:778.356
1167610079,23845;229.536:785.862
1167610079,27669;565.632:836.244
1167610079,31588;563.232:835.488
1167610079,35843;561.024:841.59
1167610079,39923;565.536:838.026
1167610079,43729;569.664:842.832
1167610079,47714;562.464:846.288
1167610079,51735;567.072:837.378
1167610079,55856;557.088:846.396
1167610079,60049;561.12:828.09
1167610079,64494;452.544:902.124
1167610079,68811;456.672:895.914
1167610079,72845;457.536:903.474
1167610079,76885;454.848:891.81
1167610079,80959;437.952:893.322
1167610079,84967;446.208:897.642
1167610079,8928;506.496:399.762
1167610079,93694;495.552:331.83
1167610079,98731;485.184:333.072
1167610080,02608;498.24:327.294
1167610080,06607;503.232:329.292
1167610080,10532;494.688:336.42
1167610080,14527;598.08:493.29
1167610080,18811;601.632:493.614
1167610080,22971;611.712:494.316
1167610080,27572;612.384:489.024
1167610080,31811;449.76:79.002
1167610080,36616;
1167610080,40759;438.24:97.74
1167610080,45414;451.008:86.778
1167610080,48851;450.624:87.534
1167610080,53136;366.912:59.616
1167610080,5693;378.72:61.668
1167610080,61254;381.984:57.456
1167610080,65185;373.44:57.24
1167610080,69714;503.616:83.592
1167610080,7391;1446.336:169.074
1167610080,77839;1485.888:170.154
1167610080,82131;1497.024:168.588
1167610080,86059;1488.288:172.854
1167610080,9045;
1167610080,94482;
1167610080,97555;
1167610081,00491;
1167610081,03465;
1167610081,07619;
1167610081,11312;
1167610081,14478;1343.904:142.344
1167610081,18268;
1167610081,21786;1341.312:144.72
1167610081,24509;1331.904:157.302
1167610081,28388;1342.848:152.388
1167610081,32227;1467.072:359.37
1167610081,35946;1468.128:362.394
1167610081,39926;1463.328:358.614
1167610081,439;1464.096:368.28
1167610081,47988;1457.28:350.352
1167610081,51925;1381.248:203.04
1167610081,55925;1367.424:193.86
1167610081,59797;1367.04:196.506
1167610081,63663;1361.568:191.052
