Timestamp;GazePoint
636192220403,853;
1167610041,81016;965.568:488.862
1167610041,85117;972.672:491.67
1167610041,88831;969.408:495.072
1167610041,93076;972.0:490.536
1167610041,96844;971.712:502.308
1167610042,00915;967.776:506.358
1167610042,04579;983.616:483.516
1167610042,08222;1064.736:420.228
1167610042,11942;1067.232:417.744
1167610042,15675;1063.392:411.048
1167610042,19307;1128.864:408.564
1167610042,2292;1200.096:392.256
1167610042,26775;1187.136:383.454
1167610042,30481;1204.8:385.128
1167610042,34109;1209.312:390.042
1167610042,3776;1263.456:272.268
1167610042,41595;1349.28:230.472
1167610042,45334;1352.16:217.242
1167610042,49063;1355.328:230.202
1167610042,52844;1322.784:239.814
1167610042,56528;1281.888:252.828
1167610042,60112;1294.944:253.854
1167610042,63716;1300.416:244.404
1167610042,67334;1027.008:285.984
1167610042,70928;748.128:332.802
1167610042,74581;744.192:330.966
1167610042,78326;739.2:338.202
1167610042,81972;755.136:334.422
1167610042,85636;745.344:333.126
1167610042,89358;707.328:419.526
1167610042,93082;710.4:414.828
1167610042,96808;704.544:396.522
1167610043,00588;711.072:421.092
1167610043,04391;707.52:405.594
1167610043,08513;705.696:328.05
1167610043,12436;711.936:319.842
1167610043,16263;714.912:310.932
1167610043,20023;707.616:326.7
1167610043,23712;714.816:326.16
1167610043,2753;193.536:383.832
1167610043,31633;95.328:384.102
1167610043,35694;174.912:381.24
1167610043,40315;171.456:377.028
1167610043,44721;177.024:385.56
1167610043,4924;175.392:273.24
1167610043,53216;188.928:287.982
1167610043,57867;183.744:288.522
1167610043,61827;176.832:284.04
1167610043,66396;164.832:296.568
1167610043,70285;124.608:554.58
1167610043,74606;128.544:555.768
1167610043,78598;121.92:565.812
1167610043,82869;140.832:567.378
1167610043,8677;119.808:455.274
1167610043,90945;110.88:453.492
1167610043,94932;121.824:458.082
1167610043,99232;119.136:461.052
1167610044,03107;107.52:597.51
1167610044,06952;78.048:711.126
1167610044,10712;86.976:722.412
1167610044,14614;91.392:730.62
1167610044,18752;81.312:721.494
1167610044,22762;76.992:635.742
1167610044,26976;77.28:635.958
1167610044,30914;58.848:639.414
1167610044,34911;69.792:633.852
1167610044,38768;108.96:637.416
1167610044,42538;293.472:593.244
1167610044,46382;284.352:618.03
1167610044,50354;288.96:597.888
1167610044,5415;286.368:603.072
1167610044,58086;78.624:637.848
1167610044,61855;71.616:633.312
1167610044,65569;75.936:636.768
1167610044,69266;77.088:643.356
1167610044,73059;74.976:637.362
1167610044,76812;69.792:687.582
1167610044,80629;73.92:684.126
1167610044,8457;82.848:696.978
1167610044,88396;79.488:698.274
1167610044,92269;91.488:688.014
1167610044,96322;83.424:685.152
1167610045,00246;79.68:687.744
1167610045,04181;363.36:710.748
1167610045,0845;586.272:745.146
1167610045,12336;584.832:752.22
1167610045,16333;584.352:755.946
1167610045,20331;587.04:754.218
1167610045,24428;571.008:754.704
1167610045,28681;573.696:752.112
1167610045,32666;563.904:757.512
1167610045,37216;558.624:761.994
1167610045,41261;
1167610045,45985;554.112:773.442
1167610045,49509;571.488:756.27
1167610045,53957;558.72:764.208
1167610045,5812;551.424:773.226
1167610045,62765;569.472:762.75
1167610045,66952;574.272:685.098
1167610045,71615;574.848:693.63
1167610045,75516;577.728:696.33
1167610045,79815;566.496:693.738
1167610045,83713;564.384:704.808
1167610045,88152;565.728:697.896
1167610045,9217;570.432:703.674
1167610045,96469;565.824:701.028
1167610046,00261;579.744:697.68
1167610046,04248;569.568:707.67
1167610046,0839;564.576:713.232
1167610046,12582;573.696:708.264
1167610046,16514;577.152:716.904
1167610046,20367;563.712:709.344
1167610046,24261;563.904:712.206
1167610046,28149;579.552:698.544
1167610046,32054;558.816:705.24
1167610046,36112;578.112:703.08
1167610046,40097;562.752:706.374
1167610046,44077;560.64:707.778
1167610046,48099;450.432:665.982
1167610046,52171;137.28:610.038
1167610046,56031;134.4:614.844
1167610046,60016;124.224:612.9
1167610046,63964;64.032:628.56
1167610046,67913;64.704:628.344
1167610046,71915;75.552:619.38
1167610046,75808;77.472:629.424
1167610046,79685;66.048:629.424
1167610046,83649;78.432:630.072
1167610046,87522;87.936:619.218
1167610046,92095;76.992:624.834
1167610046,95952;89.952:618.3
1167610047,00588;
1167610047,04883;
1167610047,08716;
1167610047,11531;
1167610047,14414;
1167610047,17328;84.672:629.1
1167610047,20957;
1167610047,24813;
1167610047,27516;
1167610047,31167;
1167610047,34585;
1167610047,38505;
1167610047,4204;
1167610047,45042;
1167610047,4855;1524.384:547.776
1167610047,52767;1489.728:573.804
1167610047,56481;1485.216:574.614
1167610047,60298;
1167610047,64399;
1167610047,67884;
1167610047,71953;
1167610047,74853;1704.0:646.056
1167610047,78226;
1167610047,81977;1702.944:648.648
1167610047,86393;1691.808:659.826
1167610047,90242;1700.352:656.64
1167610047,94485;1692.288:657.018
