Timestamp;GazePoint
636192218876,626;
1167609889,1305;978.432:460.62
1167609889,16819;965.664:501.39
1167609889,20292;968.64:511.272
1167609889,24172;972.864:515.322
1167609889,2775;971.136:508.41
1167609889,31892;978.72:513.108
1167609889,3542;983.328:500.526
1167609889,39366;959.136:491.832
1167609889,42898;1166.592:450.522
1167609889,46985;1348.992:447.228
1167609889,50473;1339.392:423.252
1167609889,54457;1355.808:448.416
1167609889,57964;1358.592:449.928
1167609889,61925;1359.552:442.746
1167609889,65464;1359.264:441.234
1167609889,69459;1276.608:326.646
1167609889,72963;1280.64:310.986
1167609889,76644;1276.512:321.084
1167609889,7992;1284.192:329.346
1167609889,83243;1291.2:318.222
1167609889,86562;1245.888:337.77
1167609889,89869;1246.368:338.58
1167609889,93184;1242.24:336.312
1167609889,96511;1251.36:345.546
1167609889,99887;1240.512:335.502
1167609890,03162;1352.736:377.568
1167609890,06485;1364.736:384.426
1167609890,09885;1346.112:363.582
1167609890,1328;1354.56:383.13
1167609890,16606;1351.968:378.054
1167609890,20009;989.184:341.442
1167609890,23378;359.904:414.774
1167609890,26755;370.752:420.12
1167609890,30319;364.992:420.39
1167609890,33714;389.472:420.012
1167609890,37284;386.88:424.764
1167609890,40874;413.76:399.168
1167609890,44452;423.456:335.988
1167609890,48028;418.08:331.506
1167609890,51515;415.488:329.724
1167609890,55012;412.128:337.122
1167609890,58418;421.824:282.15
1167609890,61844;430.56:271.782
1167609890,65299;438.24:275.076
1167609890,68825;424.32:271.944
1167609890,724;432.48:271.512
1167609890,75883;443.232:267.246
1167609890,79383;234.144:310.716
1167609890,82872;207.36:323.568
1167609890,86794;216.768:318.816
1167609890,90371;212.928:306.558
1167609890,94051;202.848:309.474
1167609890,97475;191.424:349.11
1167609891,00988;189.984:345.654
1167609891,04887;190.752:337.122
1167609891,08477;183.84:343.872
1167609891,12445;374.496:224.208
1167609891,16239;658.464:97.362
1167609891,20471;686.976:81.486
1167609891,24107;680.64:92.34
1167609891,2818;687.168:99.306
1167609891,31777;688.896:80.622
1167609891,35891;681.696:89.694
1167609891,39611;683.424:86.994
1167609891,43269;579.264:68.796
1167609891,47163;588.096:75.114
1167609891,50735;588.192:77.112
1167609891,54714;588.864:73.872
1167609891,58309;578.688:70.632
1167609891,62268;680.352:109.188
1167609891,65848;679.392:136.296
1167609891,69739;688.032:125.226
1167609891,73145;680.16:132.408
1167609891,76557;679.104:115.236
1167609891,79965;680.448:117.288
1167609891,83414;665.664:140.94
1167609891,86811;605.76:95.526
1167609891,90218;602.592:96.822
1167609891,93662;601.152:94.662
1167609891,97167;606.72:119.502
1167609892,00642;618.528:102.168
1167609892,04075;609.408:110.916
1167609892,0752;617.568:105.786
1167609892,10932;601.44:100.008
1167609892,14391;624.672:92.502
1167609892,17809;615.648:101.034
1167609892,21307;408.672:380.646
1167609892,24778;390.528:412.938
1167609892,28283;378.816:399.114
1167609892,31818;380.16:399.978
1167609892,3531;389.76:390.042
1167609892,38813;380.064:415.098
1167609892,42287;453.696:288.306
1167609892,45745;461.28:283.986
1167609892,49163;453.024:278.424
1167609892,52568;455.808:272.268
1167609892,55978;459.36:287.442
1167609892,59485;459.936:280.26
1167609892,63048;693.888:325.458
1167609892,6652;690.048:316.656
1167609892,69957;688.224:320.652
1167609892,73446;688.032:332.91
1167609892,76879;649.824:337.77
1167609892,80727;650.496:343.71
1167609892,84209;659.04:348.57
1167609892,87622;659.616:338.85
1167609892,91082;655.392:346.896
1167609892,94568;605.952:394.956
1167609892,985;490.56:436.212
1167609893,02096;485.088:443.826
1167609893,05978;486.912:447.714
1167609893,09493;490.464:427.896
1167609893,13569;486.048:436.32
1167609893,17076;409.152:378.54
1167609893,21191;411.072:362.934
1167609893,2482;420.864:361.962
1167609893,2896;412.512:378.27
1167609893,32491;413.376:360.99
1167609893,36476;410.016:360.18
1167609893,39958;292.896:412.992
1167609893,43478;292.224:444.366
1167609893,47354;278.784:451.17
1167609893,50866;281.376:446.742
1167609893,54819;276.192:441.936
1167609893,58312;281.76:435.78
1167609893,62296;404.736:331.344
1167609893,65713;502.464:305.856
