Timestamp;Action;ActionArgs;LeftEye;RightEye
729,54753;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609729,5901;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609729,633;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609729,67018;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609729,71309;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609729,75595;EyeTracking;NoEyesTracked;[-,-];[-,-]
1167609729,78012;EyeTracking;BothEyesTracked;[0,1099,0,2319];[0,1120,0,2155]
1167609729,80947;EyeTracking;BothEyesTracked;[0,1268,0,4937];[0,0811,0,3174]
1167609729,87099;EyeTracking;BothEyesTracked;[0,1380,0,4587];[0,1052,0,4278]
1167609729,92884;EyeTracking;BothEyesTracked;[0,1337,0,3271];[0,1002,0,3953]
1167609729,97345;EyeTracking;BothEyesTracked;[0,1337,0,4428];[0,0978,0,3998]
1167609730,03417;EyeTracking;BothEyesTracked;[0,1284,0,3160];[0,1079,0,3071]
1167609730,08384;EyeTracking;BothEyesTracked;[0,1217,0,4463];[0,0819,0,4094]
1167609730,13693;EyeTracking;BothEyesTracked;[0,1382,0,4816];[0,1028,0,4053]
1167609730,18614;EyeTracking;BothEyesTracked;[0,1417,0,4734];[0,1105,0,4201]
1167609730,23964;EyeTracking;BothEyesTracked;[0,1441,0,4919];[0,1031,0,4377]
1167609730,28956;EyeTracking;BothEyesTracked;[0,1356,0,4775];[0,1014,0,4294]
1167609730,34485;EyeTracking;BothEyesTracked;[0,1349,0,4622];[0,1073,0,4377]
1167609730,39682;EyeTracking;BothEyesTracked;[0,1490,0,4942];[0,1100,0,3969]
1167609730,4521;EyeTracking;BothEyesTracked;[0,2558,0,4508];[0,2209,0,3904]
1167609730,50189;EyeTracking;BothEyesTracked;[0,4530,0,3616];[0,4200,0,3249]
1167609730,5523;EyeTracking;BothEyesTracked;[0,4470,0,3866];[0,4223,0,3149]
1167609730,6017;EyeTracking;BothEyesTracked;[0,4534,0,3957];[0,4103,0,3333]
1167609730,65213;EyeTracking;BothEyesTracked;[0,4426,0,3294];[0,3995,0,3167]
